"Project.Name","PlatformPortfolio","Action_Obligation_OMB24_GDP22","Action_Obligation_2023","rank_total","rank_2023","TopProject"
"CLOSE COMBAT TACTICAL TRA","Facilities and Construction",437192.391231647,0,90,78,NA
"CMM","Ordnance and Missiles",105139.17535711,0,288,185,NA
"CMND SHIP TACTICAL FLEET-","Ships & Submarines",56311760.8767149,0,91,131,NA
"CMU","Other R&D and Knowledge Based",57931022.2599295,0,19,63,NA
"CNA","Ordnance and Missiles",847930496.556166,0,45,185,NA
"CNA","Other R&D and Knowledge Based",27364472.3696433,0,26,63,NA
"CNG","Ordnance and Missiles",-2663362.34442884,0,325,185,NA
"CNN","Electronics, Comms, & Sensors",23137242.9814059,0,276,376.5,NA
"CNQ","Aircraft",19177083.9555558,0,277,273.5,NA
"CNQ","Space Systems",159785305.924616,0,28,36.5,NA
"CNR","Other R&D and Knowledge Based",24075273.001232,0,28,63,NA
"CNS","Other R&D and Knowledge Based",3204497.29030318,0,53,63,NA
"CNT","Other R&D and Knowledge Based",7013568.28376125,0,35,63,NA
"CNT","Space Systems",46717050.7167555,0,37,36.5,NA
"CNU","Ordnance and Missiles",4365043.52833786,0,190,185,NA
"CNY","Other R&D and Knowledge Based",6047827.83918064,0,37,63,NA
"CNY","Space Systems",30037214.8605997,0,39,36.5,NA
"CNZ","Electronics, Comms, & Sensors",91814949.9622591,0,164,376.5,NA
"CNZ","Ordnance and Missiles",-6279070.56984624,0,327,185,NA
"CNZ","Ships & Submarines",276629082.373195,0,53,131,NA
"COBRA DANE","Missile Defense",118878693.265524,0,37,48.5,NA
"COBRA JUDY","Electronics, Comms, & Sensors",81444899.0357829,0,173,376.5,NA
"COBRA JUDY REPLACEMENT","Missile Defense",2386659166.02616,0,18,48.5,NA
"COLL PROT EQUIP, TEMPER T","Facilities and Construction",59021041.6901622,0,27,78,NA
"COMANCHE","Aircraft",1161111752.16636,1161111752.16636,115,66,NA
"COMBAT ENGINEER FT T118 M","Land Vehicles",8572258.96366334,0,94,114,NA
"COMBAT GRANDE","Aircraft",-61472.7874837638,0,455,273.5,NA
"COMBAT SUPPORT TRAINING S","Electronics, Comms, & Sensors",57043589.8393444,0,200,376.5,NA
"COMM RLY SHIP (MAJOR)-AGM","Ships & Submarines",387654.069199679,0,188,131,NA
"COMMANCHE","Aircraft",3296260.22779638,0,334,273.5,NA
"COMMAND POST M577","Land Vehicles",15225325.0734212,0,79,114,NA
"COMMAND SHIP-CC","Ships & Submarines",98900496.4803525,0,76,131,NA
"COMMON GROUND EQUIPMENT","Electronics, Comms, & Sensors",14081364.2894178,0,317,376.5,NA
"COMPASS EARS","Electronics, Comms, & Sensors",4185163.44827919,0,420,376.5,NA
"CONDOR","Electronics, Comms, & Sensors",44740313.0668453,0,215,376.5,NA
"CONTAINER EXPANDABLE SHEL","Facilities and Construction",3459003.43703939,0,60,78,NA
"CONTAINER HANDL SD LOADER","Land Vehicles",17986778.583349,0,76,114,NA
"CONTAINERIZED KITCHEN","Facilities and Construction",23310283.8465923,0,37,78,NA
"CORPS SAM","Missile Defense",29234771.0447225,0,46,48.5,NA
"CORPS/THEATER ADP SVC CTR","Electronics, Comms, & Sensors",92966.3291828,0,636,376.5,NA
"CRANE 5 TON 3/8 CU YD","Land Vehicles",5901585.70962971,0,105,114,NA
"CRANE 750 TON","Facilities and Construction",-111491.132851162,0,140,78,NA
"CRANE HYDRAULIC 25 TON (C","Land Vehicles",4757221.36216645,0,114,114,NA
"CRANE RT SP 7 1/21","Ships & Submarines",2592334.39678922,0,163,131,NA
"CRANE WHEEL MTD 20T 3/4 C","Land Vehicles",8360140.84173935,0,96,114,NA
"CRASH P-10","Aircraft",692348.272351309,0,381,273.5,NA
"CRASH P-2","Land Vehicles",5419741.73561832,0,106,114,NA
"CRASH P-4","Facilities and Construction",213017.830104774,0,99,78,NA
"CRAWLER T-11 W/RIPPER CCE","Land Vehicles",881099.196468623,0,152,114,NA
"CRU-99A OBOGS OXYGEN MONI","Aircraft",4472301.40704061,0,322,273.5,NA
"CRU-99A OBOGS OXYGEN MONI","Other Products",220932.754241698,0,39,31.5,NA
"CRUISER GD MSL NUCLEAR-CG","Ships & Submarines",262190356.944445,0,54,131,NA
"CRUISER GUIDED MISSILE-CG","Ships & Submarines",1875736810.30463,0,26,131,NA
"CRUISER HEAVY-CA","Ships & Submarines",137139.678091795,0,207,131,NA
"CRUISER LIGHT GD MISSILE-","Ships & Submarines",5344034.41105108,0,148,131,NA
"CRUSADER","Land Vehicles",187147.968341052,0,178,114,NA
"CSSCS CBT SRV SPPT CTRL S","Electronics, Comms, & Sensors",325789.151915344,0,579,376.5,NA
"CV HELO (SH-60F)","Aircraft",103025085.25349,0,210,273.5,NA
"CV-7 BUFFALO","Aircraft",1433564.22777335,0,360,273.5,NA
"CVN 21","Ships & Submarines",31999370014.6957,703986140323.306,4,5,"CVN 21"
"CVN 68","Ships & Submarines",12748330712.4223,114734976411.801,12,9,NA
"CVN-68","Ships & Submarines",4272809.88431765,0,155,131,NA
"CVN-69","Ships & Submarines",20364636.0979839,20364636.0979839,116,16,NA
"CX-2","Ordnance and Missiles",5721746.5891464,0,178,185,NA
"CX-3","Aircraft",27050613.5940703,0,260,273.5,NA
"CX-4566 A/G CABLE ASSEMBL","Electronics, Comms, & Sensors",265045.996867326,0,589,376.5,NA
"Convergence","Other R&D and Knowledge Based",534643.797462148,0,82,63,NA
"DAD","Land Vehicles",17773859.5286003,0,77,114,NA
"DADS","Facilities and Construction",110791.425080618,0,112,78,NA
"DADS","Ordnance and Missiles",212905.231190398,0,270,185,NA
"DADS","Other Products",35881.9563869094,0,51,31.5,NA
"DADS","Other R&D and Knowledge Based",1699670.19907252,0,64,63,NA
"DAL","Land Vehicles",324147330.450533,0,42,114,NA
"DCAPES","Electronics, Comms, & Sensors",37859905.8313201,0,228,376.5,NA
"DCAPES","Ordnance and Missiles",90017.1375213089,0,291,185,NA
"DCD/DCW","Other R&D and Knowledge Based",924838.343933307,0,75,63,NA
"DCD/DCW","Other Services",390023.530026999,0,21,23,NA
"DCGS ARMY","Electronics, Comms, & Sensors",411590977.302361,1234772931.90708,63,23,NA
"DCGS-N INC 2","Electronics, Comms, & Sensors",1402562.23464867,0,494,376.5,NA
"DCS TRANSMISSION FACILITI","Electronics, Comms, & Sensors",13741199.5406682,0,319,376.5,NA
"DD 963","Aircraft",935967.953821357,0,371,273.5,NA
"DD(X)","Ships & Submarines",22212478110.1959,444249562203.918,7,6,"DD(X)"
"DDG 51","Ships & Submarines",37745224663.0983,3434815444341.94,3,4,"DDG 51"
"DEAMS","Electronics, Comms, & Sensors",1020303.14103751,0,516,376.5,NA
"DEAMS","Other R&D and Knowledge Based",4214741.61094221,0,45,63,NA
"DEAMS Inc 1","Aircraft",47946.0537907092,0,436,273.5,NA
"DEAMS Inc 1","Electronics, Comms, & Sensors",126155233.439488,1892328501.59231,136,18,NA
"DEAMS Inc 1","Facilities and Construction",1618001.45921895,0,70,78,NA
"DEAMS Inc 1","Ordnance and Missiles",3075013.70891519,0,204,185,NA
"DEAMS Inc 1","Other Products",802465.194879371,0,25,31.5,NA
"DEAMS Inc 1","Other R&D and Knowledge Based",1030368.01399042,0,71,63,NA
"DECON APP PWR DR LT WT M1","Other Products",10646333.6883605,0,10,31.5,NA
"DEF ENVIR & RESTORA PRG (","Facilities and Construction",7115643786.20029,0,4,78,"DEF ENVIR & RESTORA PRG ("
"DEF MET SAT PROGRAM (DMSP","Ordnance and Missiles",1479749167.39429,0,39,185,NA
"DEF METEOR SAT PROG","Aircraft",198908266.385483,0,190,273.5,NA
"DEF METEOR SAT PROG","Electronics, Comms, & Sensors",8837395.58655717,0,347,376.5,NA
"DEF METEOR SAT PROG","Other R&D and Knowledge Based",463094.855005627,0,84,63,NA
"DEF METEOR SAT PROG","Other Services",18783073.5832505,0,13,23,NA
"DEF METEOR SAT PROG","Space Systems",498701688.022064,0,22,36.5,NA
"DEF SATELLITE COMMS SYS","Space Systems",27327918.5998551,0,41,36.5,NA
"DEFENSE SUPPORT PROGRAM","Missile Defense",3235857125.9789,0,15,48.5,NA
"DEICING UNIT ACFT","Aircraft",432580.596089261,0,391,273.5,NA
"DELTA II BOOSTER PROGRAM","Space Systems",4387015.85242805,0,47,36.5,NA
"DEMOLITION MUNITIONS ALL","Facilities and Construction",3942362.93757601,0,57,78,NA
"DERP","Facilities and Construction",5943597826.50486,1200606760953.98,6,4,"DERP"
"DESTROYER DD-819 USS HOLD","Ships & Submarines",10327176.5099712,0,133,131,NA
"DESTROYER DD-862 CLASS","Ships & Submarines",6720616.5858281,0,141,131,NA
"DESTROYER DD-931 CLASS","Ships & Submarines",25636408.6864591,0,109,131,NA
"DESTROYER DD-963 CLASS","Ships & Submarines",897961780.209498,0,31,131,NA
"DESTROYER DD-993 CLASS","Ships & Submarines",66338086.7592567,0,88,131,NA
"DESTROYER DD-997 CLASS","Ships & Submarines",112326212.591543,0,72,131,NA
"DESTROYER DDG-47 AEGIS","Ships & Submarines",3370493995.97391,0,19,131,NA
"DESTROYER DDG-51","Ships & Submarines",24052109885.7649,0,6,131,"DESTROYER DDG-51"
"DESTROYER DE 1101","Ships & Submarines",847062.207742267,0,177,131,NA
"DESTROYER GD MSL DDG-2 CL","Ships & Submarines",175263207.721605,0,62,131,NA
"DESTROYER GD MSL MODULE-D","Ships & Submarines",5119285.24874193,0,152,131,NA
"DESTROYER RADAR PICKET-DD","Ships & Submarines",568324436.109504,0,38,131,NA
"DGTL TOPOGRAPHIC SPPT SYS","Electronics, Comms, & Sensors",84356645.3892501,0,171,376.5,NA
"DIAMOND","Electronics, Comms, & Sensors",179926.746784933,0,608,376.5,NA
"DIGITAL COMPUTER 152-MOD-","Electronics, Comms, & Sensors",25220407.6430682,0,266,376.5,NA
"DIMHRS","Electronics, Comms, & Sensors",66813937.8509659,0,186,376.5,NA
"DIMHRS","Facilities and Construction",3920092.610463,0,58,78,NA
"DIMHRS","Other R&D and Knowledge Based",68976682.3221714,0,18,63,NA
"DIMHRS","Other Services",2152.00520166304,0,32,23,NA
"DIMHRS","Ships & Submarines",330362.42545705,0,191,131,NA
"DISTRIBUTION CENTER SECON","Other Products",13400510.377,0,9,31.5,NA
"DJAS","Other R&D and Knowledge Based",484065.852064519,0,83,63,NA
"DJC2","Electronics, Comms, & Sensors",120086368.079717,0,140,376.5,NA
"DJM","Land Vehicles",896449865.325944,0,23,114,NA
"DJN","Aircraft",1156979565.20863,0,116,273.5,NA
"DJN","Electronics, Comms, & Sensors",24566738.3426095,0,270,376.5,NA
"DJN","Land Vehicles",634822966.963923,0,28,114,NA
"DJN","Ordnance and Missiles",59111785.0717123,0,115,185,NA
"DJN","Other Services",63013230.4207465,0,8,23,NA
"DKE","Land Vehicles",3109726.62767997,0,125,114,NA
"DLS","Electronics, Comms, & Sensors",95876846.322891,0,160,376.5,NA
"DLS","Other Products",335699.149671408,0,36,31.5,NA
"DLS","Other R&D and Knowledge Based",669256.499298257,0,79,63,NA
"DLS","Other Services",9811.7078706526,0,30,23,NA
"DMLSS","Aircraft",42977.38760834,0,439,273.5,NA
"DMLSS","Electronics, Comms, & Sensors",4173778.40698354,0,421,376.5,NA
"DMLSS","Facilities and Construction",216155.831908547,0,97,78,NA
"DMLSS","Other Products",8275278.74454429,0,15,31.5,NA
"DMLSS","Other R&D and Knowledge Based",2993240.26745445,0,55,63,NA
"DMLSS","Other Services",120396.182462881,0,25,23,NA
"DMLSS","Ships & Submarines",5292.43815267386,0,225,131,NA
"DMMIS","Electronics, Comms, & Sensors",22330683.0822338,0,278,376.5,NA
"DMS","Aircraft",4194.40435001675,0,445,273.5,NA
"DMS","Electronics, Comms, & Sensors",299290720.97952,0,86,376.5,NA
"DMS","Ordnance and Missiles",1330374.1810644,0,234,185,NA
"DMS","Other R&D and Knowledge Based",13575216.8833341,0,30,63,NA
"DMSP","Space Systems",419065868.591471,0,24,36.5,NA
"DNC","Aircraft",2157036.62172506,0,342,273.5,NA
"DOCK AMPHIB TRANSPORT-LPD","Ships & Submarines",2605137745.50097,0,23,131,NA
"DPH","Land Vehicles",31805.8454321571,0,197,114,NA
"DPPS","Aircraft",64448.2904639163,0,432,273.5,NA
"DPPS","Electronics, Comms, & Sensors",1923455.45538246,0,476,376.5,NA
"DPPS","Facilities and Construction",1728292.40977398,0,67,78,NA
"DPPS","Land Vehicles",3648.7441003238,0,203,114,NA
"DPPS","Ordnance and Missiles",89437.2963541873,0,293,185,NA
"DPPS","Other R&D and Knowledge Based",617568.805199973,0,80,63,NA
"DRAGON","Facilities and Construction",13082.2771608701,0,128,78,NA
"DRAMA","Electronics, Comms, & Sensors",2471958.61436379,0,456,376.5,NA
"DSCS II","Space Systems",360082.879793912,0,55,36.5,NA
"DSCS III","Space Systems",424016.714383729,0,54,36.5,NA
"DSCS-3 DEF STAT COMM SYS","Space Systems",998590054.347745,0,18,36.5,NA
"DSP","Space Systems",853655.819587642,0,53,36.5,NA
"DSSCS DEF SPEC SECUR COM","Electronics, Comms, & Sensors",114209.485472226,0,630,376.5,NA
"DTS","Aircraft",-521275.817504548,0,458,273.5,NA
"DTS","Electronics, Comms, & Sensors",304139140.799927,0,85,376.5,NA
"DTS","Facilities and Construction",93028.5097230143,0,115,78,NA
"DTS","Other Products",17476.6847917365,0,54,31.5,NA
"DTS","Other R&D and Knowledge Based",9374559.19137756,0,34,63,NA
"DTS","Other Services",259019724.387513,0,5,23,"DTS"
"DTS","Ships & Submarines",10422.7676561007,0,224,131,NA
"DUMP 20T CE","Land Vehicles",1360743.62244971,0,143,114,NA
"DUMP 5 TON M51A2","Land Vehicles",36248902.8148377,0,62,114,NA
"Defense Enterprise Office Solution (DEOS)","Electronics, Comms, & Sensors",871547.101919097,871547.101919097,527,58,NA
"Defense Enterprise Office Solution (DEOS)","Facilities and Construction",53725.2054522919,0,122,78,NA
"Defense Enterprise Office Solution (DEOS)","Other Products",124587.149879475,0,42,31.5,NA
"Defense Enterprise Office Solution (DEOS)","Other R&D and Knowledge Based",167976.052625256,0,91,63,NA
"Department of Defense Healthcare Management System Modernization (DHMSM)","Electronics, Comms, & Sensors",2509499841.44558,45170997146.0205,14,7,"Department of Defense Healthcare Management System Modernization (DHMSM)"
"Department of Defense Healthcare Management System Modernization (DHMSM)","Facilities and Construction",7179,0,131,78,NA
"Department of Defense Healthcare Management System Modernization (DHMSM)","Other Products",1234498.03613614,0,23,31.5,NA
"Department of Defense Healthcare Management System Modernization (DHMSM)","Other R&D and Knowledge Based",44573725.588998,133721176.766994,24,12,NA
"Department of Defense Healthcare Management System Modernization (DHMSM)","Other Services",16296758.7025344,32593517.4050688,14,7,"Department of Defense Healthcare Management System Modernization (DHMSM)"
"Distributed Common Ground System - Army Increment 2 (DCGS-A Inc 2)","Electronics, Comms, & Sensors",1403826.25879058,15442088.8466963,493,49,NA
"E-1 TRACER","Aircraft",2049975.51438467,0,343,273.5,NA
"E-10","Aircraft",47413773.1289401,0,245,273.5,NA
"E-2 HAWKEYE","Aircraft",9389308377.24547,0,31,273.5,NA
"E-2C","Aircraft",6145288.57807424,6145288.57807424,311,83,NA
"E-2C ADVANCED HAWKEYE","Aircraft",20492714569.7954,2438633033805.65,17,7,"E-2C ADVANCED HAWKEYE"
"E-2C REPRODUCTION","Aircraft",1786645322.94224,7146581291.76896,97,51,NA
"E-3A","Aircraft",9159631660.39087,9159631660.39087,33,48,NA
"E-4 (AABNCP)","Aircraft",1255561500.21858,0,111,273.5,NA
"E-5","Aircraft",771295.511780191,0,376,273.5,NA
"E-6A (TACAMO)","Aircraft",896141059.857477,1792282119.71495,129,63,NA
"E-O BOMB GUIDANCE KIT","Ordnance and Missiles",128578.329883062,0,280,185,NA
"EA-18G","Aircraft",15066800973.7677,1566947301271.84,21,9,NA
"EA-3","Aircraft",8308577.8954757,0,299,273.5,NA
"EA-6B","Aircraft",264184800.315306,264184800.315306,177,75,NA
"EA-6B PROWLER","Aircraft",4991691900.34476,0,57,273.5,NA
"EASTERN TEST RANGE","Facilities and Construction",3161437377.10806,0,11,78,NA
"EB-66 ACFT (DESTROYER)","Ships & Submarines",253318.500665137,0,197,131,NA
"EBE","Ordnance and Missiles",1134698.14274397,1134698.14274397,239,39,NA
"EBE","Other R&D and Knowledge Based",163545219.020225,0,10,63,NA
"EBJ","Ordnance and Missiles",520349134.418007,0,60,185,NA
"ECHELON ABOVE CORPS COMMS","Electronics, Comms, & Sensors",228713.875285903,0,594,376.5,NA
"ECSS","Other Services",0,0,35,23,NA
"ECSS","Ships & Submarines",15099.8556600603,0,223,131,NA
"EDK","Land Vehicles",3130749.49787206,0,124,114,NA
"EDK","Ordnance and Missiles",5097879.33487852,0,184,185,NA
"EELV","Space Systems",28797634388.2373,835131397258.881,2,2,"EELV"
"EF-111A","Aircraft",1934927.96350756,0,348,273.5,NA
"EFV (AAAV)","Land Vehicles",1519040746.33651,1519040746.33651,18,11,NA
"EH-1H ELECTRONIC","Aircraft",6975598.69913655,0,305,273.5,NA
"ELECTRONIC DECEPTION SYST","Electronics, Comms, & Sensors",113252.75182622,0,631,376.5,NA
"ELECTRONICS ALL SOURCE AN","Electronics, Comms, & Sensors",189624744.276381,0,116,376.5,NA
"EMSP","Electronics, Comms, & Sensors",4592.20634039444,0,662,376.5,NA
"ENGINE GAS TURB AN/32 85-","Aircraft",18137501.9731125,0,280,273.5,NA
"ENGINE TEST STAND","Aircraft",9330652.64578876,0,297,273.5,NA
"ENVIR PROTECT AGENCY SUPE","Facilities and Construction",2769043469.84379,0,12,78,NA
"EPA SUPERFUND","Facilities and Construction",4350043094.1354,609006033178.957,9,5,"EPA SUPERFUND"
"ERINT","Missile Defense",5230306.69612613,0,64,48.5,NA
"ES-3A VIKING","Aircraft",3883139.91683089,0,327,273.5,NA
"ESGN TEST EQUIP","Aircraft",607563.40127497,0,386,273.5,NA
"ESGN TEST EQUIP","Electronics, Comms, & Sensors",248141.770866428,0,592,376.5,NA
"ESS-DIGIT EURO BACK COMMU","Electronics, Comms, & Sensors",2493408.71508456,0,453,376.5,NA
"EVOLVED EXPENDABLE LV PRO","Space Systems",754226836.416296,0,19,36.5,NA
"EX-41 VLS COVER VERT LNCH","Ordnance and Missiles",76763.1820197384,0,297,185,NA
"EXCALIBUR","Ordnance and Missiles",375078033.698496,1500312134.79398,68,25,NA
"F-1 FURY","Electronics, Comms, & Sensors",46640253.6213084,0,211,376.5,NA
"F-10 SKY KNIGHT","Aircraft",6008753.78918645,0,314,273.5,NA
"F-100 Engine","Aircraft",19293278873.5338,0,18,273.5,NA
"F-100 SUPER SABRE","Aircraft",36510613.4746268,0,256,273.5,NA
"F-100 UPGRADE","Aircraft",126853131.400956,0,203,273.5,NA
"F-101","Aircraft",2979992793.70245,0,74,273.5,NA
"F-101 VOODO","Aircraft",-8161.97538963036,0,450,273.5,NA
"F-101 VOODOO","Aircraft",9648208.85033289,0,296,273.5,NA
"F-102 DELTA DAGGER","Aircraft",1382979.66798691,0,362,273.5,NA
"F-103","Aircraft",58840865.2847961,0,235,273.5,NA
"F-104 STARFIGHTER","Aircraft",56262154.3655664,0,238,273.5,NA
"F-105 THUNDERCHIEF","Aircraft",324627.986366629,0,404,273.5,NA
"F-106 DELTA DART","Aircraft",21820915.287604,0,271,273.5,NA
"F-108","Aircraft",3130107042.25242,0,71,273.5,NA
"F-110","Aircraft",5406609665.91247,0,52,273.5,NA
"F-111","Aircraft",1869621523.83707,0,93,273.5,NA
"F-111 TFX","Aircraft",354842.776373076,0,400,273.5,NA
"F-111A/D/E/F","Aircraft",0,0,449,273.5,NA
"F-117 STEALTH","Aircraft",88405797.0626073,0,218,273.5,NA
"F-12","Aircraft",58172008.7786527,0,236,273.5,NA
"F-14 TOMCAT","Aircraft",9637843552.93169,0,28,273.5,NA
"F-14D","Aircraft",6442969.13078508,0,308,273.5,NA
"F-15","Aircraft",8019562304.71631,256625993750.922,41,23,NA
"F-15 EAGLE","Aircraft",33638577866.814,0,13,273.5,NA
"F-16","Aircraft",5175378209.74092,103507564194.818,56,28,NA
"F-16 FALCON","Aircraft",44555282759.0724,89110565518.1449,6,29,"F-16 FALCON"
"F-18 HORNET","Aircraft",56569800067.278,0,3,273.5,"F-18 HORNET"
"F-22 Raptor","Aircraft",37779418685.9186,0,12,273.5,NA
"F-4 PHANTOM","Aircraft",201451338.404719,0,189,273.5,NA
"F-4 PHANTOM II","Aircraft",1652116963.44709,0,100,273.5,NA
"F-5 FREEDOM FIGHTER","Aircraft",1202290563.91703,0,113,273.5,NA
"F-5E","Aircraft",155679649.409707,155679649.409707,197,76,NA
"F-6 SKYRAY","Aircraft",54672195.0501176,0,239,273.5,NA
"F-8 CRUSADER","Electronics, Comms, & Sensors",224422655.276089,0,101,376.5,NA
"F-80 SHOOTING STAR","Aircraft",1335679.88768446,0,363,273.5,NA
"F-86 SABRE","Aircraft",1011169.24347941,0,369,273.5,NA
"F-89 SCORPION","Electronics, Comms, & Sensors",1937246.8750004,0,475,376.5,NA
"F-9 COUGAR","Aircraft",10592826.9456337,0,291,273.5,NA
"F/A-18 E/F","Aircraft",39065468458.3511,781309369167.021,11,14,NA
"F/A-18A/B/C/D","Aircraft",1424005544.81358,5696022179.25433,106,52,NA
"F/A-22","Aircraft",54697994495.1519,1422147856873.95,4,11,"F/A-22"
"F404-GE-400 OR 402","Aircraft",392692485.925741,0,160,273.5,NA
"F404-RR-408 ENGINE","Aircraft",19621200.3438873,0,275,273.5,NA
"F405-RR-401 ENGINE","Aircraft",185432221.514607,0,193,273.5,NA
"F414-GE-400","Aircraft",1498552118.11315,0,104,273.5,NA
"FAAD C2I(ATCCS)","Electronics, Comms, & Sensors",131238789.906833,0,131,376.5,NA
"FAADS C21 (SHORAD)","Missile Defense",493446344.460953,0,27,48.5,NA
"FAB-T","Electronics, Comms, & Sensors",441593597.084048,4857529567.92452,61,15,NA
"FB-111A","Aircraft",297777.781106245,0,409,273.5,NA
"FBCB2","Electronics, Comms, & Sensors",3113673922.46771,9341021767.40313,7,11,"FBCB2"
"FCA","Aircraft",741058279.897642,0,136,273.5,NA
"FCA","Facilities and Construction",7605.13057592972,0,130,78,NA
"FCA","Other R&D and Knowledge Based",718683.083368954,0,78,63,NA
"FCS","Land Vehicles",19077481245.6154,0,2,114,"FCS"
"FFG(X) Guided Missile Frigate","Ships & Submarines",2707905046.14801,5415810092.29603,22,11,NA
"FFG-7","Ships & Submarines",1350623.61756149,1350623.61756149,170,21,NA
"FIM-43 REDEYE","Missile Defense",27353604.065293,0,47,48.5,NA
"FIM-43 REDEYE (LONGBOW)","Ordnance and Missiles",-166959.920892931,0,317,185,NA
"FIRE FIGHTING 500 GPM","Land Vehicles",1824470.020568,0,137,114,NA
"FIRE HIGH CAPACITY","Land Vehicles",32790547.7897518,0,64,114,NA
"FIRE SPT ADA CONVERSION","Land Vehicles",75139.1425017947,0,191,114,NA
"FIRE SUPT TEAM VEH","Land Vehicles",46218264.2280712,0,58,114,NA
"FIREBRAND TARGET","Aircraft",-1849288.63690547,0,461,273.5,NA
"FIREBRAND TARGET","Electronics, Comms, & Sensors",836718.684015148,0,531.5,376.5,NA
"FIREBRAND TARGET","Ordnance and Missiles",12007630.0423302,0,160,185,NA
"FIREFIGHTING SET M530","Electronics, Comms, & Sensors",526112.547831073,0,560,376.5,NA
"FIREFINDER","Electronics, Comms, & Sensors",237259127.733944,0,95,376.5,NA
"FIV","Land Vehicles",-336126.598903655,0,207,114,NA
"FLARE MJU-10","Missile Defense",215032.121417789,0,74,48.5,NA
"FLOAT DRY DOCK AFDM-282","Ships & Submarines",18812605.7438128,0,120,131,NA
"FMTV","Land Vehicles",6551781167.15753,0,8,114,NA
"FMU-113/B","Ordnance and Missiles",113085.196798826,0,286,185,NA
"FMU-124","Ordnance and Missiles",4665708.84832938,0,185,185,NA
"FMU-130","Ordnance and Missiles",68544.4141498063,0,301,185,NA
"FOG-M MISSILE (FAADS NLOS","Ordnance and Missiles",18838141.2874311,0,145,185,NA
"FORCE PROVIDER","Electronics, Comms, & Sensors",4142407.93761784,0,423,376.5,NA
"FORK LIFT 10000 LB DD PT","Land Vehicles",1630255.26862038,0,139,114,NA
"FORK LIFT 15000 LB","Land Vehicles",917449.613810366,0,151,114,NA
"FORK LIFT 4000 LB GE PT","Land Vehicles",79246456.4208764,0,55,114,NA
"FORK LIFT 50000 LB","Land Vehicles",111344825.527748,0,51,114,NA
"FORK LIFT 6000 LB","Facilities and Construction",153526.364039477,0,106,78,NA
"FORK LIFT 6000 LB GE PT","Land Vehicles",22033068.046991,0,71,114,NA
"FORK LIFT ATLAS","Land Vehicles",119830311.901721,0,48,114,NA
"FORK LIFT FRONT/SIDE LOAD","Facilities and Construction",9917556.46014192,0,46,78,NA
"FORKLIFT 10,000 LB","Land Vehicles",64652159.0524541,0,57,114,NA
"FORKLIFT 4000 LB","Facilities and Construction",184917.806577444,0,102,78,NA
"FORKLIFT 6000 LB","Facilities and Construction",558390.282339171,0,84,78,NA
"FQG","Ordnance and Missiles",629043414.058257,0,53,185,NA
"FRIGATE DL","Electronics, Comms, & Sensors",64933820.352674,0,187,376.5,NA
"FRIGATE FF 1076","Ships & Submarines",24476223.8724474,0,110,131,NA
"FRIGATE FF-1049","Ships & Submarines",99564386.2716631,0,75,131,NA
"FRIGATE FF-1052","Ships & Submarines",121282412.055349,0,70,131,NA
"FRIGATE FF-1091","Ships & Submarines",23401944.1622632,0,112,131,NA
"FRIGATE GD MSL-DLG","Ships & Submarines",572780474.29973,0,37,131,NA
"FSCS","Land Vehicles",10576283066.5217,602848134791.736,4,2,"FSCS"
"FUEL BARGE NON-SELF PROP","Ships & Submarines",5167253.63086165,0,149,131,NA
"FWD AREA AD CMD,CTRL&INT","Electronics, Comms, & Sensors",3035632.5057951,0,442,376.5,NA
"FWD AREA AD CMD,CTRL&INT","Ordnance and Missiles",107616.51094197,0,287,185,NA
"FWD AREA AD CMD,CTRL&INT","Other R&D and Knowledge Based",3796938.57161018,0,49,63,NA
"FWD AREA ALRT RDR-FAAR","Electronics, Comms, & Sensors",158681.428750743,0,613,376.5,NA
"FWD AREA ALRT RDR-FAAR","Ordnance and Missiles",255211.758337913,0,268,185,NA
"FWD AREA REFUELING SYS AD","Facilities and Construction",50438538.1058257,0,31,78,NA
"Family Med Tact Veh (FMTV","Land Vehicles",2275828.17291576,0,132,114,NA
"Future Vertical Lift Capability Set Three (FVL CS3)","Other R&D and Knowledge Based",769966742.672962,13089434625.4404,3,3,"Future Vertical Lift Capability Set Three (FVL CS3)"
"GAE","Electronics, Comms, & Sensors",3438299.85526418,0,433,376.5,NA
"GAJ","Electronics, Comms, & Sensors",3177725.90629023,0,439,376.5,NA
"GAJ","Space Systems",4326136353.58484,0,10,36.5,NA
"GAU-5 MACHINE GUN","Ordnance and Missiles",3937568.09398631,0,194,185,NA
"GAV","Electronics, Comms, & Sensors",4713897.65268838,0,408,376.5,NA
"GBI - GROUND BASED INTERC","Missile Defense",940794073.525082,0,25,48.5,NA
"GBR - GROUND BASED RADAR","Missile Defense",93930630.6707699,0,40,48.5,NA
"GBR -GROUND BASED RADAR","Missile Defense",336963737.511659,0,32,48.5,NA
"GBS","Space Systems",553417777.278522,0,21,36.5,NA
"GBSD","Electronics, Comms, & Sensors",12622464.2048592,0,328,376.5,NA
"GBSD","Facilities and Construction",6325800.57052537,0,50,78,NA
"GBSD","Land Vehicles",5228.61000091233,0,202,114,NA
"GBSD","Other R&D and Knowledge Based",6191089145.21951,18573267435.6585,2,2,"GBSD"
"GBSD","Space Systems",121575390.62278,0,31,36.5,NA
"GBU-15","Ordnance and Missiles",696302201.944507,0,51,185,NA
"GBW","Electronics, Comms, & Sensors",0,0,666,376.5,NA
