"Project.Name","PlatformPortfolio","agg_val","agg_val_recent","TopProjectTest_rank_total","TopProjectTest_rank_recent","TopProjectTest"
"AN/ALQ-61 ECM","Electronics, Comms, & Sensors",26345297.1893776,0,263,361,NA
"H-37 MOJAVE","Aircraft",26294058.3863248,0,262,252.5,NA
"AIRCRAFT CARRIER -CVN-72","Ships & Submarines",26246775.8069415,0,107,128.5,NA
"AVENGER (FAADS LOS-R)","Missile Defense",26098263.6280202,0,48,46,NA
"60MM AMMUNITION ALL TYPES","Ordnance and Missiles",25956365.170458,0,136,177.5,NA
"400 HZ POWER GENERATOR","Ships & Submarines",25810579.5932414,0,108,128.5,NA
"MGM-52 LANCE","Ordnance and Missiles",25698395.7733176,0,137,177.5,NA
"AN/AXQ-16 COCKPIT TV SENS","Electronics, Comms, & Sensors",25692260.5786176,0,264,361,NA
"DESTROYER DD-931 CLASS","Ships & Submarines",25636408.6864591,0,109,128.5,NA
"L-188 LOCKHEED ELECTRA CO","Electronics, Comms, & Sensors",25231063.9464405,0,265,361,NA
"DIGITAL COMPUTER 152-MOD-","Electronics, Comms, & Sensors",25220407.6430682,0,266,361,NA
"AHD","Aircraft",25179208.2646458,0,263,252.5,NA
"ALCM","Ordnance and Missiles",24992088.0665853,0,138,177.5,NA
"AN/GYK-29","Electronics, Comms, & Sensors",24930043.5051361,0,267,361,NA
"T-400","Aircraft",24911585.1055361,0,264,252.5,NA
"A-37","Aircraft",24908104.102556,0,265,252.5,NA
"TACTICAL CONTROL SYSTEM","Electronics, Comms, & Sensors",24799265.033128,0,268,361,NA
"TRACTOR 22 1/2 TON 8X8 XM","Land Vehicles",24694082.4270161,0,67,110,NA
"AN/SSQ-36","Electronics, Comms, & Sensors",24567080.4186562,0,269,361,NA
"DJN","Electronics, Comms, & Sensors",24566738.3426095,0,270,361,NA
"FRIGATE FF 1076","Ships & Submarines",24476223.8724474,0,110,128.5,NA
"AN/ALE-41","Electronics, Comms, & Sensors",24474268.1820743,0,271,361,NA
"MLV II MEDIUM LAUNCH VEHI","Space Systems",24459558.0327017,0,42,34,NA
"9MM PERSONAL DEFENSE WEAP","Ordnance and Missiles",24389374.3082799,0,139,177.5,NA
"GCSS-A INC 1","Electronics, Comms, & Sensors",24367433.3409311,-285424.165046019,272,686,NA
"HAND GRENADES ALL TYPES","Ordnance and Missiles",24269782.8594148,0,140,177.5,NA
"GCI","Electronics, Comms, & Sensors",24261959.1912554,0,273,361,NA
"MSE","Other R&D and Knowledge Based",24261128.7630827,0,27,59.5,NA
"1GDC","Electronics, Comms, & Sensors",24251335.6308863,0,274,361,NA
"CNR","Other R&D and Knowledge Based",24075273.001232,0,28,59.5,NA
"AN/APR-38","Electronics, Comms, & Sensors",24053181.0909632,0,275,361,NA
"T-63","Aircraft",23733840.0503564,0,266,252.5,NA
"AN/PAQ-1 TGT DESIGNATE LA","Ordnance and Missiles",23716892.3715099,0,141,177.5,NA
"CG-47","Ships & Submarines",23681703.823962,6080610.18915587,111,11,NA
"HIGH MOBILITY TRAILER","Land Vehicles",23623509.7297514,0,68,110,NA
"CALIBRATIONS SET, EQUIPME","Land Vehicles",23442576.6094615,0,69,110,NA
"FRIGATE FF-1091","Ships & Submarines",23401944.1622632,0,112,128.5,NA
"CONTAINERIZED KITCHEN","Facilities and Construction",23310283.8465923,0,37,77,NA
"CHEM AGENT DETECTOR NETWO","Facilities and Construction",23179672.4997962,0,38,77,NA
"CNN","Electronics, Comms, & Sensors",23137242.9814059,0,276,361,NA
"J-57","Aircraft",23087494.1599154,0,267,252.5,NA
"SJU-17(V) NACES","Aircraft",23053574.0528351,0,268,252.5,NA
"M718/M741 ISS MM AT","Ordnance and Missiles",22930209.8476245,0,142,177.5,NA
"TRACTOR M915A2/M916A LINE","Land Vehicles",22918688.9184027,0,70,110,NA
"SKM","Ships & Submarines",22790945.488944,0,113,128.5,NA
"AUTO CHEM AGENT ALARM","Facilities and Construction",22619433.4777626,0,39,77,NA
"NAVY AREA TBMD","Missile Defense",22523517.1869691,0,49,46,NA
"ACN","Aircraft",22489912.9574523,0,269,252.5,NA
"404L TRAFF CNTRL & LAND S","Electronics, Comms, & Sensors",22484723.6265916,0,277,361,NA
"ABMS","Aircraft",22411108.9219976,2655945.65590282,270,50,NA
"DMMIS","Electronics, Comms, & Sensors",22330683.0822338,0,278,361,NA
"AN/BQQ-1  SONAR","Electronics, Comms, & Sensors",22169210.5732307,0,279,361,NA
"M-12 (AIMS) IFF","Electronics, Comms, & Sensors",22076738.070667,0,280,361,NA
"FORK LIFT 6000 LB GE PT","Land Vehicles",22033068.046991,0,71,110,NA
"SEEK SKYHOOK","Facilities and Construction",21916726.4917916,0,40,77,NA
"F-106 DELTA DART","Aircraft",21820915.287604,0,271,252.5,NA
"SHELTER GENERAL PURPOSE","Electronics, Comms, & Sensors",21771304.5315839,0,281,361,NA
"HEAVY EQ XM523/524 M123/1","Land Vehicles",21684970.3747305,0,72,110,NA
"AN/VVS-2","Electronics, Comms, & Sensors",21630738.4172551,0,282,361,NA
"SIGHT CREW SRVD WPNS AN/T","Electronics, Comms, & Sensors",21579973.8869529,0,283,361,NA
"C-4 GULFSTREAM","Aircraft",21332702.3754531,0,272,252.5,NA
"GSS","Ships & Submarines",21315825.9026055,0,114,128.5,NA
"M60A2 TANK","Land Vehicles",21171469.1727281,0,73,110,NA
"AN/TRC-112 RADIO","Electronics, Comms, & Sensors",21133797.8117089,0,284,361,NA
"AN/ASC-15 COMM CENTRAL","Electronics, Comms, & Sensors",21019172.3069248,0,285,361,NA
"AN/USG-13 TACMO 3","Electronics, Comms, & Sensors",20691130.3799296,0,286,361,NA
"PATROL HYDROFOIL MSL PHM","Ships & Submarines",20687521.7048423,0,115,128.5,NA
"C-3","Ordnance and Missiles",20567743.8413077,0,143,177.5,NA
"IRST","Aircraft",20517566.413068,0,273,252.5,NA
"AN/TSC-60","Electronics, Comms, & Sensors",20440528.8199686,0,287,361,NA
"CVN-69","Ships & Submarines",20364636.0979839,0,116,128.5,NA
"TELEPORT","Space Systems",20289497.1584789,0,43,34,NA
"AN/GPS-6","Missile Defense",20248215.6864153,0,50,46,NA
"SURTASS","Electronics, Comms, & Sensors",20170241.7682994,0,288,361,NA
"WINDJAMMER","Electronics, Comms, & Sensors",20109661.2053701,0,289,361,NA
"Other UAS","Other Products",20077903.8745695,0,8,31.5,NA
"BJL","Aircraft",20054916.1241926,-498707.998354534,274,454,NA
"MK-82 500 LB","Ordnance and Missiles",19791310.8327066,0,144,177.5,NA
"SSDS","Ships & Submarines",19724177.3204312,0,117,128.5,NA
"F404-RR-408 ENGINE","Aircraft",19621200.3438873,0,275,252.5,NA
"AN/SQR-18","Electronics, Comms, & Sensors",19577641.6874974,0,290,361,NA
"SHIP STORE-AF","Other Services",19497760.3570852,0,12,20,NA
"CARGO 5 TON M54A2C","Land Vehicles",19446670.7848862,0,74,110,NA
"UH-19 CHICKASAW","Aircraft",19379611.0037566,0,276,252.5,NA
"AN/ALR-46","Electronics, Comms, & Sensors",19344931.8123154,0,291,361,NA
"AMPHIBIOUS 15 TON LARC","Land Vehicles",19344321.8689741,0,75,110,NA
"CNQ","Aircraft",19177083.9555558,0,277,252.5,NA
"ABL","Aircraft",19175418.7999642,0,278,252.5,NA
"AN/USQ-20 NTDS","Electronics, Comms, & Sensors",18974435.4327503,0,292,361,NA
"ARMY DATA DISTRIBUTION SY","Electronics, Comms, & Sensors",18956152.691232,0,293,361,NA
"SUBMARINE SS BN-741","Ships & Submarines",18950310.9206132,0,118,128.5,NA
"TUG SALVAGE ATS","Ships & Submarines",18861312.351942,0,119,128.5,NA
"FOG-M MISSILE (FAADS NLOS","Ordnance and Missiles",18838141.2874311,0,145,177.5,NA
"FLOAT DRY DOCK AFDM-282","Ships & Submarines",18812605.7438128,0,120,128.5,NA
"DEF METEOR SAT PROG","Other Services",18783073.5832505,0,13,20,NA
"SIGHT INDIVIDUAL AN/PVS-4","Electronics, Comms, & Sensors",18672235.9642472,0,294,361,NA
"CHCS II","Electronics, Comms, & Sensors",18648757.8507884,0,295,361,NA
"AN/APN-175 DOPPLER","Electronics, Comms, & Sensors",18491539.8770499,0,296,361,NA
"ROCKET LAUNCHER LAU-10","Aircraft",18333695.647548,0,279,252.5,NA
"AN/USM-247 (VAST)","Electronics, Comms, & Sensors",18320459.8771662,0,297,361,NA
"ENGINE GAS TURB AN/32 85-","Aircraft",18137501.9731125,0,280,252.5,NA
"AGM-154C","Ordnance and Missiles",18069706.9850275,0,146,177.5,NA
"CONTAINER HANDL SD LOADER","Land Vehicles",17986778.583349,0,76,110,NA
"AN/TYA-20","Electronics, Comms, & Sensors",17926701.700602,0,298,361,NA
"MANEUVER CONTROL SYSTEM (","Aircraft",17888972.9889995,0,281,252.5,NA
"AN/SPS-58","Electronics, Comms, & Sensors",17778676.0188772,0,299,361,NA
"DAD","Land Vehicles",17773859.5286003,0,77,110,NA
"AN/GRC-212","Electronics, Comms, & Sensors",17597225.9150402,0,300,361,NA
"AN/TPS-63 RADAR SET","Missile Defense",17593131.4943135,0,51,46,NA
"433L WEATHER SYSTEM","Electronics, Comms, & Sensors",17541263.8781894,0,301,361,NA
"MINUTEMAN II","Ordnance and Missiles",17456673.5448858,7793396.04522206,147,19,NA
"M509 8"" DPICM","Ordnance and Missiles",17421458.8648305,0,148,177.5,NA
"TRIDENT SUB","Ships & Submarines",17220218.6358226,660595.988605005,121,15,NA
"GEN SET, SMOKE, MECH XM15","Ordnance and Missiles",16973858.588774,0,149,177.5,NA
"AN/SQR-15","Electronics, Comms, & Sensors",16777920.9699747,0,302,361,NA
"MK71 MCLWG GUN MOUNT","Ordnance and Missiles",16612363.7136109,0,150,177.5,NA
"AN/BQR-20","Electronics, Comms, & Sensors",16509041.8999709,0,303,361,NA
"RESCUE SHIP SUBMARINE-ASR","Ships & Submarines",16492285.6060944,0,122,128.5,NA
"AN/WLR-1","Electronics, Comms, & Sensors",16461543.7772902,0,304,361,NA
"ACD","Electronics, Comms, & Sensors",16334676.9820167,0,305,361,NA
"Department of Defense Healthcare Management System Modernization (DHMSM)","Other Services",16296758.7025344,144323.675486337,14,5,"Department of Defense Healthcare Management System Modernization (DHMSM)"
"SALVAGE SHIP-ARS","Ships & Submarines",16293345.1368176,0,123,128.5,NA
"AH-1S COBRA TOW","Aircraft",16282786.2773445,0,282,252.5,NA
"C-121 CONSTELLATION","Aircraft",16145929.487989,0,283,252.5,NA
"CARGO SHIP LKA117","Ships & Submarines",16132361.0854274,0,124,128.5,NA
"OTH-B RADAR","Missile Defense",16044159.5484621,0,52,46,NA
"50MM M85 MACHINE GUN","Ordnance and Missiles",16016050.8844879,0,151,177.5,NA
"AN/TYC-5 DATA COMM TERMIN","Electronics, Comms, & Sensors",15677921.338777,0,306,361,NA
"CARGO 1 1/2 TON M105 TRAI","Land Vehicles",15419261.4038164,0,78,110,NA
"586","Electronics, Comms, & Sensors",15405287.645129,918552.667920046,307,28,NA
"TOMAHAWK STRIKE COOR MDLE (TSCM)","Ordnance and Missiles",15392793.4481169,0,152,177.5,NA
"AHJ","Aircraft",15308993.7496614,0,284,252.5,NA
"HARM (AIR FORCE)","Ordnance and Missiles",15268210.4995655,854304.235371558,153,25,NA
"COMMAND POST M577","Land Vehicles",15225325.0734212,0,79,110,NA
"MLRS-TGW","Ordnance and Missiles",15156230.2303109,0,154,177.5,NA
"LOADER SCOOP TYPE 4-6 CU","Land Vehicles",15118391.2140683,0,80,110,NA
"M110 8'' SP HOWITZER","Land Vehicles",15068917.0562552,0,81,110,NA
"443","Ordnance and Missiles",15004578.4946813,0,155,177.5,NA
"AN/FPN-16 PRECISION APPRO","Electronics, Comms, & Sensors",14947629.0102593,0,308,361,NA
"214 COMMERCIAL","Electronics, Comms, & Sensors",14916538.4640098,0,309,361,NA
"ARMORED SECURITY VEHICLE","Land Vehicles",14907823.6785907,0,82,110,NA
"STINGRAY","Electronics, Comms, & Sensors",14900662.3783363,0,310,361,NA
"BSM ENERGY","Electronics, Comms, & Sensors",14873948.0608811,0,311,361,NA
"MISSION DISTRIBUTION SYS","Space Systems",14839030.1706655,0,44,34,NA
"MCS (ATCCS)","Electronics, Comms, & Sensors",14682621.6084381,-6011.62884909664,312,682,NA
"AN/FLR-11","Electronics, Comms, & Sensors",14672570.4587107,0,313,361,NA
"NAVY ERP","Ordnance and Missiles",14667644.2153402,0,156,177.5,NA
"AN/ALQ-26 PAVE TACK","Electronics, Comms, & Sensors",14582835.935598,0,314,361,NA
"OJ-172 DATA EXC AUX CONSO","Electronics, Comms, & Sensors",14515998.7260968,0,315,361,NA
"AIR CUSHION VEH 30 TON","Land Vehicles",14445948.1955259,0,83,110,NA
"GPALS (SDS)","Missile Defense",14394743.6741925,2479837.32909503,53,13,NA
"CHAALS","Electronics, Comms, & Sensors",14170535.5406439,0,316,361,NA
"COMMON GROUND EQUIPMENT","Electronics, Comms, & Sensors",14081364.2894178,0,317,361,NA
"ASAS (ATCCS)","Electronics, Comms, & Sensors",13769406.7062471,0,318,361,NA
"DCS TRANSMISSION FACILITI","Electronics, Comms, & Sensors",13741199.5406682,0,319,361,NA
"TENDER SUB (NON-FBM)-AS","Ships & Submarines",13650931.0222597,0,125,128.5,NA
"BJL","Other R&D and Knowledge Based",13646020.4799964,0,29,59.5,NA
"DMS","Other R&D and Knowledge Based",13575216.8833341,0,30,59.5,NA
"CHAFF DECOY WARHEADS","Missile Defense",13569450.197467,0,54,46,NA
"LAND COMBAT SUPT SYS (LCS","Facilities and Construction",13488226.6975566,0,41,77,NA
"AN/BQS-15 SONAR","Electronics, Comms, & Sensors",13487620.0094278,0,320,361,NA
"Stryker Armored Vehicles","Land Vehicles",13407540.3592545,0,84,110,NA
"DISTRIBUTION CENTER SECON","Other Products",13400510.377,0,9,31.5,NA
"ARL","Electronics, Comms, & Sensors",13368270.8869024,0,321,361,NA
"XV-6","Aircraft",13333710.8582738,0,285,252.5,NA
"SUBMARINE AUXILARY-AGSS(A","Ships & Submarines",13309347.7120575,0,126,128.5,NA
"J-75","Aircraft",13262849.7460152,0,286,252.5,NA
"AN/GRC-193","Electronics, Comms, & Sensors",13246450.5464028,0,322,361,NA
"Key Management Infrastructure Increment 3 (KMI Inc 3)","Electronics, Comms, & Sensors",13244338.3307541,868659.444933275,323,29,NA
"MK60 CAPTOR","Ordnance and Missiles",13209122.2885669,0,157,177.5,NA
"JTIDY (AIR FORCE)","Electronics, Comms, & Sensors",13208597.33805,0,324,361,NA
"MK-27","Facilities and Construction",13076331.090561,0,42,77,NA
"AN/ASN-84 INER NAV SYS","Electronics, Comms, & Sensors",13050809.6423753,0,325,361,NA
"M-48 TANK","Land Vehicles",12916059.5358652,0,85,110,NA
"MK75 MOD3 RANGE FINDER","Ordnance and Missiles",12883273.2003788,0,158,177.5,NA
"AN/SPS-52 RADAR","Missile Defense",12794720.4879084,0,55,46,NA
"AN/APX-72","Electronics, Comms, & Sensors",12779707.8932058,0,326,361,NA
"AN/BPS-15 RADAR","Missile Defense",12769594.584859,0,56,46,NA
"1GIC","Facilities and Construction",12744477.0536478,0,43,77,NA
"GROUND BASED COMMON SENSO","Electronics, Comms, & Sensors",12704982.2111133,0,327,361,NA
"CARGO 5 TON(TRUCK)","Land Vehicles",12652503.1481605,0,86,110,NA
"RIM-24 TARTER","Ordnance and Missiles",12642894.3940615,0,159,177.5,NA
"GBSD","Electronics, Comms, & Sensors",12622464.2048592,0,328,361,NA
"AN/ASW-20","Electronics, Comms, & Sensors",12600331.6742215,0,329,361,NA
"RU-21","Aircraft",12509350.4316506,0,287,252.5,NA
"AN/MSC-46 SAT COMM TERM","Electronics, Comms, & Sensors",12410873.7915623,0,330,361,NA
"UTILITY 1/4 TON 4X4 M151","Land Vehicles",12361434.5678086,0,87,110,NA
"AN/FPS-108 PHASED ARRAY R","Missile Defense",12355741.3176322,0,57,46,NA
"ZBL","Facilities and Construction",12191119.7280337,0,44,77,NA
"AN/BQH-2","Ships & Submarines",12138119.2744536,0,127,128.5,NA
"AIG","Electronics, Comms, & Sensors",12099759.1617348,0,331,361,NA
"LOW SPEED(FT)DIESEL MEDIU","Land Vehicles",12065891.2669647,0,88,110,NA
"SUBMARINE CHASER (173 FT)","Ships & Submarines",12054166.0358929,0,128,128.5,NA
"MATCALS","Electronics, Comms, & Sensors",12051221.8666007,0,332,361,NA
"PACER BOUNCE HF RADIO","Electronics, Comms, & Sensors",12044174.1683368,0,333,361,NA
"FIREBRAND TARGET","Ordnance and Missiles",12007630.0423302,0,160,177.5,NA
"AN/WRN-5","Electronics, Comms, & Sensors",11939097.8994588,0,334,361,NA
"SHOP EQUIPMENT MAINT TRK","Land Vehicles",11829703.7946715,0,89,110,NA
"AGM-62 WALLEYE","Ordnance and Missiles",11828987.0480587,0,161,177.5,NA
"YEH-60","Aircraft",11788769.779575,0,288,252.5,NA
"NSIPS","Electronics, Comms, & Sensors",11709162.9879894,0,335,361,NA
"CAESAR","Ships & Submarines",11412396.0881079,0,129,128.5,NA
"JT8D-9","Aircraft",11366863.8589141,0,289,252.5,NA
"GUPPY I SUBMARINE","Ships & Submarines",11365162.5435215,0,130,128.5,NA
"442","Space Systems",11173883.6290573,0,45,34,NA
"105MM TANK AMMO ALL TYPES","Ordnance and Missiles",11163337.7284732,0,162,177.5,NA
"BSM","Other R&D and Knowledge Based",11153878.7509901,0,31,59.5,NA
"ARMORED VEHICLE","Land Vehicles",11147746.3707141,0,90,110,NA
"C-119 FLYING BOXCAR","Aircraft",11048047.1703107,0,290,252.5,NA
"AN/SQR-17 SONAR","Ships & Submarines",11008353.1599364,0,131,128.5,NA
"1FVC","Ordnance and Missiles",10952713.4669483,0,163,177.5,NA
"MK-23 TAS","Missile Defense",10820796.8440859,0,58,46,NA
"750 KW TURBINE","Ships & Submarines",10728115.1269053,0,132,128.5,NA
"RA-5 VIGILANTE","Electronics, Comms, & Sensors",10658032.8094533,0,336,361,NA
"DECON APP PWR DR LT WT M1","Other Products",10646333.6883605,0,10,31.5,NA
"JCALS","Other R&D and Knowledge Based",10624482.7099592,0,32,59.5,NA
"F-9 COUGAR","Aircraft",10592826.9456337,0,291,252.5,NA
"TACSATCOM","Electronics, Comms, & Sensors",10582058.5569374,0,337,361,NA
"CLEANER RUNWAY/STREET","Facilities and Construction",10573313.5447885,0,45,77,NA
"LAUNCHER, ROCKET 2.75","Ordnance and Missiles",10532575.6159695,0,164,177.5,NA
"433","Aircraft",10486002.3163733,250926.767971812,292,57,NA
"C-11 GULFSTREAM II","Other Products",10470958.4741103,0,11,31.5,NA
"AN/UGC-74 FATT PAGE PRINT","Electronics, Comms, & Sensors",10398731.2671172,0,338,361,NA
"NV LASER SYSTEMS","Aircraft",10383391.4072028,0,293,252.5,NA
"M14 7.62 MM RIFLE","Ordnance and Missiles",10377461.6130466,0,165,177.5,NA
"RECOVERY VEHICLE (FT) M57","Land Vehicles",10359213.7825867,0,91,110,NA
"MK-113 FIRE CONTROL","Electronics, Comms, & Sensors",10339061.8136093,0,339,361,NA
"DESTROYER DD-819 USS HOLD","Ships & Submarines",10327176.5099712,0,133,128.5,NA
"GCSS-A INC 2","Land Vehicles",10228099.6676619,0,92,110,NA
"MK76 GD MSL FIRE CTRL SYS","Ordnance and Missiles",10208873.8913632,0,166,177.5,NA
"443","Ships & Submarines",10199358.2042649,0,134,128.5,NA
"TEST SET TTU 205 C/E","Electronics, Comms, & Sensors",10164459.8530494,0,340,361,NA
"QM-107 GD MSL TGT SYS","Other R&D and Knowledge Based",10132881.1947317,0,33,59.5,NA
"C-14","Aircraft",10049550.421261,0,294,252.5,NA
"ADV WIDEBAND","Electronics, Comms, & Sensors",10017806.0055717,0,341,361,NA
"B-50 SUPER FORTRESS","Aircraft",9972524.41403034,0,295,252.5,NA
"FORK LIFT FRONT/SIDE LOAD","Facilities and Construction",9917556.46014192,0,46,77,NA
"NAVY ERP","Other Services",9899659.36771295,8891.30849309605,15,6,"NAVY ERP"
"AN/MSQ-103 TEAM PACK","Electronics, Comms, & Sensors",9852193.97537722,0,342,361,NA
"AN/BRD() LF-VHF-DF","Electronics, Comms, & Sensors",9810087.2349933,0,343,361,NA
"CARRIER GM901 ITV","Land Vehicles",9783821.29252764,0,93,110,NA
"TRANSPORT COASTAL SMALL-A","Ships & Submarines",9691055.09282664,0,135,128.5,NA
"F-101 VOODOO","Aircraft",9648208.85033289,0,296,252.5,NA
"AN/GRC-143 RADIO","Electronics, Comms, & Sensors",9639519.68095371,0,344,361,NA
"AGM-80 VIPER","Ordnance and Missiles",9624517.0063314,0,167,177.5,NA
"MK-65 MINE","Ordnance and Missiles",9577914.61919363,0,168,177.5,NA
"CHCS II","Ordnance and Missiles",9535714.04228903,0,169,177.5,NA
"AN/ULQ-6","Electronics, Comms, & Sensors",9406242.28919258,0,345,361,NA
"DTS","Other R&D and Knowledge Based",9374559.19137756,0,34,59.5,NA
"ENGINE TEST STAND","Aircraft",9330652.64578876,0,297,252.5,NA
"AN/APQ-109 RADAR","Missile Defense",9303947.12972651,0,59,46,NA
"AN/SQQ-14 SONAR","Electronics, Comms, & Sensors",9101861.98573967,0,346,361,NA
"NCES","Ships & Submarines",8960990.90498666,2098356.4347577,136,12,NA
"DEF METEOR SAT PROG","Electronics, Comms, & Sensors",8837395.58655717,0,347,361,NA
"AN/ASD-1 ARBNE ELECT SUB-","Electronics, Comms, & Sensors",8767573.90176009,0,348,361,NA
"CARGO SHIP ATTACK-AKA","Ships & Submarines",8765861.86574374,0,137,128.5,NA
"COMBAT ENGINEER FT T118 M","Land Vehicles",8572258.96366334,0,94,110,NA
"SEDAN 4 DR 4X2","Land Vehicles",8555899.62972453,0,95,110,NA
"LTH TRAINER","Other Products",8552816.43094781,0,12,31.5,NA
"NEMAIS","Electronics, Comms, & Sensors",8464754.45750977,0,349,361,NA
"BRIDGE FIXED HWY ALUM","Other Products",8377494.36140368,0,13,31.5,NA
"CRANE WHEEL MTD 20T 3/4 C","Land Vehicles",8360140.84173935,0,96,110,NA
"C-131 SAMARITAN","Aircraft",8358900.9072103,0,298,252.5,NA
"QM-107 GD MSL TGT SYS","Other Products",8357664.95837265,0,14,31.5,NA
"EA-3","Aircraft",8308577.8954757,0,299,252.5,NA
"DMLSS","Other Products",8275278.74454429,0,15,31.5,NA
"AIRCRAFT TOW MB-4","Land Vehicles",8259600.56827294,0,97,110,NA
"ASM","Other Products",8229114.28598719,0,16,31.5,NA
"SIMP COLL PROT EQMT, M20","Facilities and Construction",8183781.88730854,0,47,77,NA
"ATACMS BAT","Ordnance and Missiles",8179858.18751191,0,170,177.5,NA
"LANTRIN","Electronics, Comms, & Sensors",8011442.19293569,0,350,361,NA
"100 KW MOD MER-007","Electronics, Comms, & Sensors",7996717.97455847,0,351,361,NA
"AHE","Aircraft",7995328.29025665,0,300,252.5,NA
"PUMP, ASSY LIQ GAS WHL 35","Facilities and Construction",7962205.64967748,0,48,77,NA
"AN/PRC-25 PRC-77 RADIO SE","Electronics, Comms, & Sensors",7956564.82980198,0,352,361,NA
"AN/TSM-55 ELEC TEST EQUIP","Electronics, Comms, & Sensors",7922286.18605666,0,353,361,NA
"GIGBE","Electronics, Comms, & Sensors",7874825.32448787,0,354,361,NA
"INTGR FAMILY OF TEST EQUI","Electronics, Comms, & Sensors",7857808.61661916,0,355,361,NA
"200 KW MOD MEP-009","Aircraft",7834273.94454176,0,301,252.5,NA
"PACER SPEAK","Electronics, Comms, & Sensors",7812899.32229563,0,356,361,NA
"WCS","Electronics, Comms, & Sensors",7810022.19257118,6848773.99562267,357,20,NA
"1CRO","Ordnance and Missiles",7733678.41994185,0,171,177.5,NA
"MSE","Electronics, Comms, & Sensors",7658149.50540903,0,358,361,NA
"ROYAL THAI AIR DEF SYS (R","Electronics, Comms, & Sensors",7632200.12201529,0,359,361,NA
"CARGO 16 TON 4X4 XM437(GO","Land Vehicles",7621645.6339861,0,98,110,NA
"5 TON 8X8 XM656","Land Vehicles",7578367.04285606,0,99,110,NA
"PWN-11 PROBE","Ordnance and Missiles",7576069.61130838,0,172,177.5,NA
"A-9","Other Products",7485359.06340923,0,17,31.5,NA
"JOINT C2","Aircraft",7466109.73780476,-85092.9291817703,302,448,NA
"60 KW","Electronics, Comms, & Sensors",7216112.63139432,0,360,361,NA
"SPECTRUM ANALYZER","Electronics, Comms, & Sensors",7162428.16925354,0,361,361,NA
"AN/APN-221 DOPPLER","Electronics, Comms, & Sensors",7162004.5598191,0,362,361,NA
"ASSAULT GEN SHERIDAN XM55","Land Vehicles",7127660.27086437,0,100,110,NA
"HAEUAV","Aircraft",7127315.92950342,0,303,252.5,NA
"ASSAULT BREAKER","Space Systems",7117744.40291917,0,46,34,NA
"AN/TTC-3 CENT  OFF TEL","Electronics, Comms, & Sensors",7107043.55802763,0,363,361,NA
"AH-64E New Build","Other Products",7070925.39633344,7070925.39633344,18,2,"AH-64E New Build"
"T-46A","Aircraft",7064983.58975605,0,304,252.5,NA
"AN/TPS-43","Electronics, Comms, & Sensors",7059109.59968637,0,364,361,NA
"CALIBER .50 AMMO ALL TYPE","Ordnance and Missiles",7028425.71649589,0,173,177.5,NA
"AN/GRC-206","Electronics, Comms, & Sensors",7015865.82517047,0,365,361,NA
"CNT","Other R&D and Knowledge Based",7013568.28376125,0,35,59.5,NA
"M-551 RANGE FINDER LASER","Land Vehicles",6991740.51324124,0,101,110,NA
"EH-1H ELECTRONIC","Aircraft",6975598.69913655,0,305,252.5,NA
"120MM","Ordnance and Missiles",6961353.43386721,0,174,177.5,NA
"AUJ","Electronics, Comms, & Sensors",6960219.75641544,0,366,361,NA
"UH-2","Aircraft",6948206.92991732,0,306,252.5,NA
"LHA","Ships & Submarines",6937490.2793617,0,138,128.5,NA
"AN/ARN-84 TACAN NAVIG","Electronics, Comms, & Sensors",6850379.49206217,0,367,361,NA
"ROCKET LAUNCHER LAU-68","Electronics, Comms, & Sensors",6806987.73483741,0,368,361,NA
"PREDATOR B","Aircraft",6760555.65878267,1127049.65537028,307,52,NA
"AN/APN-147 DOPPLER","Electronics, Comms, & Sensors",6753668.01495254,0,369,361,NA
"CARRIER AIRCRAFT-CVA-67","Ships & Submarines",6750917.66279219,0,139,128.5,NA
"AN/USP-1 RADAR","Missile Defense",6741316.52079913,0,60,46,NA
"AN/BQS-13","Ships & Submarines",6734962.54425419,0,140,128.5,NA
"DESTROYER DD-862 CLASS","Ships & Submarines",6720616.5858281,0,141,128.5,NA
"B1-CMUP COMPUTER UPGRADE","Electronics, Comms, & Sensors",6694959.3042784,0,370,361,NA
"CBDP","Electronics, Comms, & Sensors",6686266.55465736,2935945.58058614,371,25,NA
"PATROL GUNBOAT-PG","Ships & Submarines",6671163.1624075,0,142,128.5,NA
"GIL","Electronics, Comms, & Sensors",6649980.47181217,0,372,361,NA
"AN/APN-59 WEATHER RADAR","Missile Defense",6611381.15497887,0,61,46,NA
"AN/BQN-17","Ships & Submarines",6537387.09167002,0,143,128.5,NA
"ASDS","Ships & Submarines",6527667.80209458,0,144,128.5,NA
"4500 PSI AIR COMPRESSOR S","Ships & Submarines",6524931.78445113,0,145,128.5,NA
"ARN-127 VOR/ILS","Electronics, Comms, & Sensors",6511436.91482431,0,373,361,NA
"T-33 SHOOTING STAR","Electronics, Comms, & Sensors",6495774.87053389,0,374,361,NA
"F-14D","Aircraft",6442969.13078508,0,308,252.5,NA
"AN/ASQ-104 NAVIGATION SYS","Electronics, Comms, & Sensors",6438224.27477509,0,375,361,NA
"ANTENNA TEST STATION","Electronics, Comms, & Sensors",6413854.42191275,0,376,361,NA
"MASK, AIRCREW (M43/M43A1/","Facilities and Construction",6326120.42104585,0,49,77,NA
"GBSD","Facilities and Construction",6325800.57052537,0,50,77,NA
