GlobalVendorName,Amount.max,X500million,StandardizedVendorName,parentid
ADNOC DISTRIBUTION," 321,669,649 ", N ,ADNOC DISTRIBUTION,
SUPREME GROUP HOLDING SARL," 2,828,098,274 ", Y ,SUPREME GROUP HOLDING SARL,SUPREME GROUP
PHILLIPS 66," 272,543,279 ", N ,PHILLIPS 66,
TRIWEST HEALTHCARE ALLIANCE CORP.," 3,093,464,842 ", Y ,TRIWEST HEALTHCARE ALLIANCE,TRIWEST HEALTHCARE ALLIANCE
REFINERY ASSOCIATES OF TEXAS  INC," 1,340,110,462 ", Y ,REFINERY ASSOCIATES OF TEXAS,REFINERY ASSOCIATES OF TEXAS
NATIONAL FUEL INC," 914,505,675 ", Y ,NATIONAL FUEL,NATIONAL FUEL
COMPANIA ESPANOLA DE PETROLEOS SA," 709,422,017 ", Y ,COMPANIA ESPANOLA DE PETROLEOS SA,COMPANIA ESPANOLA DE PETROLEOS
SUPREME FUELS TRADING FZE," 613,809,321 ", Y ,SUPREME FUELS TRADING FZE,SUPREME GROUP
WORLD FUEL SERVICES CORP," 782,736,076 ", Y ,WORLD FUEL SERVICES,WORLD FUEL SERVICES CORPORATION
MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.," 724,853,533 ", Y ,MOTOR OILCORINTH REFINERIES SA,MOTOR OILCORINTH REFINERIES SA
KUWAIT PETORLEUM CORPORATION .," 1,011,618,404 ", Y ,KUWAIT PETORLEUM,KUWAIT PETROLEUM
WEEKS MARINE  INC," 294,713,931 ", N ,WEEKS MARINE,WEEKS MARINE
WORLD FUEL SERVICES EUROPE LTD," 507,422,957 ", Y ,WORLD FUEL SERVICES EUROPE,WORLD FUEL SERVICES CORPORATION
ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION," 1,895,207,544 ", Y ,ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION,ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION
GAZPROMNEFT-AERO KYRGYZSTAN LLC," 358,322,382 ", N ,GAZPROMNEFT AERO KYRGYZSTAN,GAZPROM NEFT AERO KYRGYZSTAN [Joint Venture]
BP P.L.C.," 1,962,557,873 ", Y ,BP PLC,BP GLOBAL
WORLD FUEL CAYMAN HOLDING COMPANY I," 1,151,706,246 ", Y ,WORLD FUEL CAYMAN HOLDING COMPANY I,WORLD FUEL SERVICES CORPORATION
BP  PRODUCTS NORTH AMERICA INC," 552,521,276 ", Y ,BP PRODUCTS NORTH AMERICA,AMOCO
TESORO CORPORATION," 462,994,477 ", N ,TESORO,TESORO
WEEKS MARINE  INC.," 198,606,703 ", N ,WEEKS MARINE,WEEKS MARINE
KRAFT FOODS INC.," 417,838,385 ", N ,KRAFT FOODS,KRAFT FOODS
EXPRESS SCRIPTS  INC.," 425,093,991 ", N ,EXPRESS SCRIPTS,EXPRESS SCRIPTS
MENLO WORLDWIDE GOVERNMENT SERVICES  LLC," 407,388,534 ", N ,MENLO WORLDWIDE GOVERNMENT SERVICES,
TYSON FOODS  INC.," 415,179,488 ", N ,TYSON FOODS,TYSON FOODS
HIGHMARK INC.," 585,688,408 ", Y ,HIGHMARK,HIGHMARK
EVERGREEN INTERNATIONAL AIRLINES," 1,612,054,324 ", Y ,EVERGREEN INTERNATIONAL AIRLINES,EVERGREEN INTERNATIONAL
KUWAIT PETORLEUM CORPORATION," 805,182,603 ", Y ,KUWAIT PETORLEUM,KUWAIT PETROLEUM
ARTEL  INC.," 381,510,999 ", N ,ARTEL,ARTEL
OWENS & MINOR  INC.," 390,248,972 ", N ,OWENS & MINOR,OWENS & MINOR
THE PUBLIC WAREHOUSING COMPANY (K.S.C.)," 1,302,596,361 ", Y ,THE PUBLIC WAREHOUSING COMPANY,AGILITY DEFENSE & GOVERNMENT SERVICES
SK ENERGY CO.  LTD.," 760,801,383 ", Y ,SK ENERGY CO,SK ENERGY
AGILITY," 2,010,685,577 ", Y ,AGILITY,AGILITY DEFENSE & GOVERNMENT SERVICES
THE BAHRAIN PETROLEUM COMPANY B.S.C. (CLOSED)," 1,754,513,644 ", Y ,THE BAHRAIN PETROLEUM COMPANY BSC,BAHRAIN PETROLEUM COMPANY
INTERNATIONAL OIL TRADING CO LIMITED," 1,178,743,763 ", Y ,INTERNATIONAL OIL TRADING CO,INTERNATIONAL OIL TRADING
SUPREME FOODSERVICE AG," 912,510,126 ", Y ,SUPREME FOODSERVICE AG,SUPREME GROUP
ANTHEM HEALTH OF INDIANA INC," 750,304,989 ", Y ,ANTHEM HEALTH OF INDIANA,ANTHEM INSURANCE COMPANIES
PETROMAX REFINING COMPANY LLC," 539,735,943 ", Y ,PETROMAX REFINING COMPANY,Petromax Refining
SIERRA MILITARY HEALTH SERVICES LLC," 527,348,655 ", Y ,SIERRA MILITARY HEALTH SERVICES,SIERRA MILITARY HEALTH SERVICE [UNITEDHEALTH GROUP]
B P WEST COAST PRODUCTS L. L. C.," 516,830,010 ", Y ,BP WEST COAST PRODUCTS,ARCO
CONOCOPHILLIPS," 433,007,454 ", N ,CONOCOPHILLIPS,CONOCO [CONOCOPHILLIPS]
WORLD AIRWAYS  INC.," 558,273,606 ", Y ,WORLD AIRWAYS,WORLD AIRWAYS
KRAFT FOODS INC," 466,704,419 ", N ,KRAFT FOODS,KRAFT FOODS
TYSON FOODS  INC," 399,900,586 ", N ,TYSON FOODS,TYSON FOODS
EMERSON CONSTRUCTION COMPANY  INC.," 13,931,307,017 ", Y ,EMERSON CONSTRUCTION COMPANY,EMERSON CONSTRUCTION
THE PUBLIC WAREHOUSING COMPANY KSC," 2,141,188,027 ", Y ,THE PUBLIC WAREHOUSING COMPANY KSC,AGILITY DEFENSE & GOVERNMENT SERVICES
INTERNATIONAL OIL TRADING COMPANY  LLC," 456,802,653 ", N ,INTERNATIONAL OIL TRADING COMPANY,INTERNATIONAL OIL TRADING
CERBERUS CAPITAL MANAGEMENT II  L.P.," 1,284,713,543 ", Y ,CERBERUS CAPITAL MANAGEMENT II,CERBERUS
SK HOLDINGS CO.  LTD.," 623,282,323 ", Y ,SK HOLDINGS CO,SK GROUP
GS HOLDINGS CORP.," 372,207,972 ", N ,GS HOLDINGS,
MINA CORP LTD," 364,420,792 ", N ,MINA CORP,MINA CORPORATION
THE PROCTER & GAMBLE COMPANY," 392,806,767 ", N ,THE PROCTER & GAMBLE COMPANY,PROCTER & GAMBLE
KUWAIT PETROLEUM CORPORATION (," 1,011,270,194 ", Y ,KUWAIT PETROLEUM,KUWAIT PETROLEUM
EQUILON ENTERPRISES L  L  C," 804,836,908 ", Y ,EQUILON ENTERPRISES,ROYAL DUTCH SHELL
NATIONAL AGRICULTURAL COOPERATIVE FEDERATION," 762,328,685 ", Y ,NATIONAL AGRICULTURAL COOPERATIVE FEDERATION,National Agricultural Cooperative Federation
PHILLIPS & JORDAN INC," 707,759,130 ", Y ,PHILLIPS & JORDAN,PHILLIPS AND JORDAN
ABU DHABI NATIONAL OIL CO," 494,286,000 ", N ,ABU DHABI NATIONAL OIL,ABU DHABI NATIONAL OIL COMPANY
CERES ENVIRONMENTAL SERVICES  INC," 454,718,957 ", N ,CERES ENVIRONMENTAL SERVICES,CERES ENVIRONMENTAL SERVICES
ASHBRITT  INC.," 445,287,311 ", N ,ASHBRITT,ASHBRITT
NJVC  LLC," 369,424,539 ", N ,NJVC,NJVC
KEMYONG FARM LTD," 350,511,935 ", N ,KEMYONG FARM,KEMYONG FARM
UBS PROVEDORES PTY LTD," 343,909,940 ", N ,UBS PROVEDORES PTY,UBS PROVEDORES PTY
DOGOG FARM," 338,526,945 ", N ,DOGOG FARM,DOGOG FARM
VINNELL CORPORATION," 314,571,133 ", N ,VINNELL,VINNELL [NORTHROP GRUMMAN]
PROCURENET INC," 292,338,891 ", N ,PROCURENET,
