SIC,Part Indicator,SIC Titles and Part Descriptions,1997 NAICS,1997 NAICS Titles and Part Indicators
6282,pt,.   Portfolio Managers,52392,Portfolio Management (pt)
6282,pt,.   Other,52393,Investment Advice
6289,,"Services Allied With the Exchange of Securities or Commodities, NEC",,
6289,pt,.   Securities Custodians,523991,"Trust, Fiduciary, and Custody Activities (pt)"
6289,pt,.   Other,523999,Miscellaneous Financial Investment Activities (pt)
63,,Insurance carriers,,
6311,,Life Insurance,,
6311,pt,".   Life Insurers, Direct",524113,Direct Life Insurance Carriers
6311,pt,".   Reinsurance Carriers, Life",52413,Reinsurance Carriers (pt)
6321,,Accident and Health Insurance,,
6321,pt,".   Disability Insurers, Direct",524113,Direct Life Insurance Carriers (pt)
6321,pt,".   Accident and Health Insurers, Direct",524114,Direct Health and Medical Insurance Carriers (pt)
6321,pt,.   Self Insurers,52519,Other Insurance Funds (pt)
6321,pt,".   Reinsurance Carriers, Accident and Health",52413,Reinsurance Carriers (pt)
6324,,Hospital and Medical Service Plans,,
6324,pt,".   Health and Medical Insurers, Direct",524114,Direct Health and Medical Insurance Carriers (pt)
6324,pt,.   Self Insurers,52519,Other Insurance Funds (pt)
6324,pt,".   Reinsurance Carriers, Health and Medical",52413,Reinsurance Carriers (pt)
6331,,"Fire, Marine, and Casualty Insurance",,
6331,pt,".   Fire, Marine, and Casualty Insurers, Direct",524126,Direct Property and Casualty Insurance Carriers (pt)
6331,pt,.   Contact Lens Insurance,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers (pt)"
6331,pt,.   Self Insurers,52519,Other Insurance Funds (pt)
6331,pt,".   Reinsurance Carriers, Fire, Marine, and Casualty",52413,Reinsurance Carriers (pt)
6351,,Surety Insurance,,
6351,pt,".   Financial Responsibility Insurers, Direct",524126,Direct Property and Casualty Insurance Carriers (pt)
6351,pt,".   Reinsurance Carriers, Financial Responsibility",52413,Reinsurance Carriers (pt)
6361,,Title Insurance,,
6361,pt,".   Title Insurers, Direct",524127,Direct Title Insurance Carriers
6361,pt,".   Reinsurance Carriers, Title",52413,Reinsurance Carriers (pt)
6371,,"Pension, Health, and Welfare Funds",,
6371,pt,.   Managers,52392,Portfolio Management (pt)
6371,pt,.   Administrators,524292,Third Party Administration of Insurance and Pension Funds (pt)
6371,pt,.   Pension Funds,52511,Pension Funds
6371,pt,.   Health and Welfare Funds,52512,Health and Welfare Funds
6371,pt,.   Profit Sharing Funds,52599,Other Financial Vehicles (pt)
6399,,"Insurance Carriers, NEC",524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers"
64,,"Insurance agents, brokers, and service",,
6411,,"Insurance Agents, Brokers, and Service",,
6411,pt,.   Insurance Agents and Brokers,52421,Insurance Agencies and Brokerages
6411,pt,.   Claim Adjusters,524291,Claims Adjusting
6411,pt,.   Claim Processors,524292,Third Party Administrators of Insurance and Pension Funds (pt)
6411,pt,.   Other,524298,All Other Insurance Related Activities
65,,Real estate,,
6512,,Operators of Nonresidential Buildings,,
6512,pt,.   Stadium and Arena Owners,71131,"Promoters of Performing Arts, Sports, and Similar Events with Facilities (pt)"
6512,pt,.   Except Stadium and Arena Owners,53112,Lessors of Nonresidential Buildings (except Miniwarehouses)
6513,,Operators of Apartment Buildings,53111,Lessors of Residential Buildings and Dwellings (pt)
6514,,Operators of Dwellings Other Than Apartment Buildings,53111,Lessors of Residential Buildings and Dwellings (pt)
6515,,Operators of Residential Mobile Home Sites,53119,Lessors of Other Real Estate Property(pt)
6517,,Lessors of Railroad Property,53119,Lessors of Other Real Estate Property (pt)
6519,,"Lessors of Real Property, NEC",53119,Lessors of Other Real Estate Property (pt)
6531,,Real Estate Agents and Managers,,
6531,pt,.   Real Estate Agents and Brokers,53121,Offices of Real Estate Agents and Brokers
6531,pt,.   Condominium Associations,81399,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (pt)"
6531,pt,.   Residential Property Managers,531311,Residential Property Managers
6531,pt,.   Nonresidential Property Managers,531312,Nonresidential Property Managers
6531,pt,.   Real Estate Appraisers,53132,Offices of Real Estate Appraisers
6531,pt,.   Cemetery Management,81222,Cemeteries and Crematories (pt)
6531,pt,.   Other,53139,Other Activities Related to Real Estate
6541,,Title Abstract Offices,541191,Title Abstract and Settlement Offices
6552,,"Land Subdividers and Developers, Except Cemeteries",23311,Land Subdivision and Land Development
6553,,Cemetery Subdividers and Developers,81222,Cemeteries and Crematories (pt)
67,,Holding and other investment offices,,
6712,,Offices of Bank Holding Companies,551111,Offices of Bank Holding Companies
6719,,"Offices of Holding Companies, NEC",551112,Offices of Other Holding Companies
6722,,"Management Investment Offices, Open-End",52591,Open-End Investment Funds
6726,,"Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices",52599,Other Financial Vehicles
6732,,"Education, Religious, and Charitable Trusts",813211,Grantmaking Foundations
6733,,"Trusts, Except Educational, Religious, and Charitable",,
6733,pt,.   Managers,52392,Portfolio Management (pt)
6733,pt,.   Administrators of Private Estates,523991,"Trust, Fiduciary, and Custody Services (pt)"
6733,pt,.   Vacation Funds for Employees,52519,Other Insurance Funds (pt)
6733,pt,".   Personal Trusts, Estates, and Agency Accounts",52592,"Trusts, Estates, and Agency Accounts"
6792,,Oil Royalty Traders,,
6792,pt,.   Investing on Own Account,52391,Miscellaneous Intermediation (pt)
6792,pt,.   Oil Royalty Companies,53311,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) (pt)
6794,,Patent Owners and Lessors,53311,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) (pt)
6798,,Real Estate Investment Trusts,52593,Real Estate Investment Trusts
6799,,"Investors, NEC",,
6799,pt,".   Venture Capital Companies, Investment Clubs, and Operators on Own Account",52391,Miscellaneous Intermediation (pt)
6799,pt,.   Commodity Contract Pool Operators,52392,Portfolio Management (pt)
6799,pt,.   Commodity Contract Trading Companies,52313,Commodity Contracts Dealing (pt)
,,Service industries,,
70,,"Hotels, rooming houses, camps, and other lodging places",,
7011,,Hotels and Motels,,
7011,pt,".   Hotels and Motels, except Casino Hotels",72111,Hotels (except Casino Hotels) and Motels (pt)
7011,pt,.   Casino Hotels,72112,Casino Hotels
7011,pt,.   Bed and Breakfast Inns,721191,Bed and Breakfast Inns
7011,pt,.   Other,721199,All Other Traveler Accommodation
7021,,Rooming and Boarding Houses,72131,Rooming and Boarding Houses (pt)
7032,,Sporting and Recreational Camps,721214,Recreational and Vacation Camps (except Campgrounds)
7033,,Recreational Vehicle Parks and Campsites,721211,RV (Recreational Vehicle Parks) and Campgrounds
7041,,"Organization Hotels and Lodging Houses, on Membership Basis",,
7041,pt,.   Organization Hotels,72111,Hotels (except Casino Hotels) and Motels (pt)
7041,pt,.   Other,72131,Rooming and Boarding Houses (pt)
72,,Personal services,,
7211,,"Power Laundries, Family and Commercial",81232,Drycleaning and Laundry Services (except Coin-Operated) (pt)
7212,,"Garment Pressing, and Agents for Laundries and Drycleaners",81232,Drycleaning and Laundry Services (except Coin-Operated) (pt)
7213,,Linen Supply,812331,Linen Supply (pt)
7215,,Coin-Operated Laundries and Drycleaning,81231,Coin-Operated Laundries and Drycleaners
7216,,"Drycleaning Plants, Except Rug Cleaning",81232,Drycleaning and Laundry Services (except Coin-Operated) (pt)
7217,,Carpet and Upholstery Cleaning,56174,Carpet and Upholstery Cleaning Services
7218,,Industrial Launderers,812332,Industrial Launderers
7219,,"Laundry and Garment Services, NEC",,
7219,pt,.   Diaper Service,812331,Linen Supply (pt)
7219,pt,.   Clothing Alteration and Repair,81149,Other Personal and Household Goods Repair and Maintenance (pt)
7219,pt,.   Except Diaper Service and Clothing Alteration and Repair,81232,Drycleaning and Laundry Services (except Coin-Operated)
7221,,"Photographic Studios, Portrait",541921,"Photographic Studios, Portrait"
7231,,Beauty Shops,,
7231,pt,.   Beauty Shops and Salons,812112,Beauty Salons
7231,pt,.   Manicure and Pedicure Salons,812113,Nail Salons
7231,pt,.   Beauty and Cosmetology Schools,611511,Cosmetology and Barber Schools (pt)
7241,,Barber Shops,,
7241,pt,.   Barber Shops,812111,Barber Shops
7241,pt,.   Barber Colleges,611511,Cosmetology and Barber Schools (pt)
7251,,Shoe Repair Shops and Shoeshine Parlors,,
7251,pt,.   Shoe Repair Shops,81143,Footwear and  Leather Goods Repair (pt)
7251,pt,.   Shoeshine Parlors,81299,All Other Personal Services (pt)
7261,,Funeral Services and Crematories,,
7261,pt,.   Crematories,81222,Cemeteries and Crematories (pt)
7261,pt,.   Funeral Homes and Funeral Services,81221,Funeral Homes
7291,,Tax Return Preparation Services,541213,Tax Preparation Services
7299,,"Miscellaneous Personal Services, NEC",,
7299,pt,.   Babysitting Bureaus,56131,Employment Placement Agencies (pt)
7299,pt,.   Diet and Weight Reducing Services,812191,Diet and Weight Reducing Centers
7299,pt,.   Valet Parking Services,81293,Parking Lots and Garages (pt)
7299,pt,.   Formal Wear and Costume Rental,53222,Formal Wear and Costume Rental (pt)
7299,pt,.   Personal Care Services,812199,Other Personal Care Services
7299,pt,".   All Other Miscellaneous Personal Services, NEC",81299,All Other Personal Services (pt)
73,,Business services,,
7311,,Advertising Agencies,54181,Advertising Agencies
7312,,Outdoor Advertising Services,54185,Display Advertising (pt)
7313,,"Radio, Television, and Publishers' Advertising Representatives",54184,Media Representatives
7319,,"Advertising, NEC",,
7319,pt,.   Media Buying Services,54183,Media Buying Agencies
7319,pt,".   Display Advertising, Except Outdoor",54185,Display Advertising (pt)
7319,pt,.   Advertising Materials Distributor Services,54187,Advertising Material Distribution Services
7319,pt,.   Other,54189,Other Services Related to Advertising (pt)
7322,,Adjustment and Collection Services,56144,Collection Agencies
7323,,Credit Reporting Services,56145,Credit Bureaus
7331,,Direct Mail Advertising Services,,
7331,pt,.   Mailing List Compilers,51114,Database and Directory Publishers (pt)
7331,pt,.   Other,54186,Direct Mail Advertising
7334,,Photocopying and Duplicating Services,,
7334,pt,.   Instant Printing,323114,Quick Printing (pt)
7334,pt,".   Photocopying and Duplicating Services, Except Instant Printing",561439,Other Business Service Centers (including Copy Shops) (pt)
7335,,Commercial Photography,541922,Commercial Photography (pt)
7336,,Commercial Art and Graphic Design,54143,Graphic Design Services (pt)
7338,,Secretarial and Court Reporting Services,,
7338,pt,.   Secretarial Services,56141,Document Preparation Services
7338,pt,.   Court Reporting Services,561492,Court Reporting and Stenotype Services
7342,,Disinfecting and Pest Control Services,,
7342,pt,.   Disinfecting Services,56172,Janitorial Services (pt)
7342,pt,.   Exterminating and Pest Control Services,56171,Exterminating and Pest Control Services (pt)
7349,,"Building Cleaning and Maintenance Services, NEC",,
7349,pt,.   Lighting Maintenance Services,56179,Other Services to Buildings and Dwellings (pt)
7349,pt,.   Except Lighting Maintenance Services,56172,Janitorial Services (pt)
7352,,Medical Equipment Rental and Leasing,,
7352,pt,.   Home Health Furniture and Equipment Rental and Leasing,532291,Home Health Equipment Rental
7352,pt,.   Medical Machinery Rental and Leasing,53249,Other Commercial and Industrial Machinery and Equipment Rental and Leasing (pt)
7353,,Heavy Construction Equipment Rental and Leasing,,
7353,pt,.   With Operator,23499,All Other Heavy Construction (pt)
7353,pt,.   Without Operator,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing (pt)"
7359,,"Equipment Rental and Leasing, NEC",,
7359,pt,.   Consumer Electronics and Appliances Rental,53221,Consumer Electronics and Appliances Rental
7359,pt,.   General Rental Centers,53231,General Rental Centers
7359,pt,".   Residential Furniture, Party Supplies, and All Other Miscellaneous Consumer Goods Rental and Leasing",532299,All  Other Consumer Goods Rental
7359,pt,.   Oilfield and Well Drilling Machinery and Equipment Rental and Leasing,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing (pt)"
7359,pt,.   Aircraft Rental and Leasing,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing (pt)"
7359,pt,.   Portable Toilet Rental,562991,Septic Tank and Related Services (pt)
7359,pt,.   Office Machinery and Equipment Rental and Leasing,53242,Office Machinery and Equipment Rental and Leasing (pt)
7359,pt,.   Industrial Trucks Rental and Leasing,53249,Other Commercial and Industrial Machinery and Equipment Rental and Leasing (pt)
7361,,Employment Agencies,,
7361,pt,.   Executive Placing Services,541612,Human Resources and Executive Search Consulting Services (pt)
7361,pt,.   Except Executive Placing Services,56131,Employment Placement Agencies (pt)
7363,,Help Supply Services,,
7363,pt,.   Temporary Help Supply,56132,Temporary Help Services
7363,pt,.   Employee Leasing Services,56133,Employee Leasing Services
7371,,Computer Programming Services,541511,Custom Computer Programming Services
7372,,Prepackaged Software,,
7372,pt,.   Software Publishing,51121,Software Publishers
7372,pt,.   Reproduction of Software,334611,Software Reproducing
7373,,Computer Integrated Systems Design,541512,Computer Systems Design Services (pt)
7374,,Computer Processing and Data Preparation and Processing Services,51421,Data Processing Services
7375,,Information Retrieval Services,514191,On-Line Information Services
7376,,Computer Facilities Management Services,541513,Computer Facilities Management Services
7377,,Computer Rental and Leasing,53242,Office Machinery and Equipment Rental and Leasing (pt)
7378,,Computer Maintenance and Repair,,
7378,pt,.   Retailing Computers From a Storefront and Repairing,44312,Computer and Software Stores (pt)
7378,pt,.   All Other Repair,811212,Computer and Office Machine Repair and Maintenance (pt)
7379,,"Computer Related Services, NEC",,
7379,pt,.   Disk and Diskette Conversion and Recertification,51421,Data Processing Services (pt)
7379,pt,.   Computer Systems Consultants,541512,Computer Systems Design Services (pt)
7379,pt,.   Except Computer Systems Consultants and Disk and Diskette Conversion and Recertification,541519,Other Computer Related Services
7381,,"Detective, Guard, and Armored Car Services",,
7381,pt,.   Detective Services,561611,Investigation Services
7381,pt,.   Guard Services,561612,Security Guards and Patrol Services
7381,pt,.   Armored Car Services,561613,Armored Car Services
7382,,Security Systems Services,561621,Security Systems Services (except Locksmiths) (pt)
7383,,News Syndicates,,
7383,pt,.   Independent Correspondents,71151,"Independent Artists, Writers, and Performers (pt)"
7383,pt,.   Except Independent Correspondents,51411,News Syndicates
7384,,Photofinishing Laboratories,,
7384,pt,.   Photofinishing Laboratories (Except 1-Hour),812921,Photofinishing Laboratories (except One-Hour)
7384,pt,.   One-Hour Photofinishing,812922,One-Hour Photo Finishing
7389,,"Business Services, NEC",,
7389,pt,.   Sound Recording Studios,51224,Sound Recording Studios
7389,pt,.   Audio Taping Services,51229,Other Sound Recording Industries (pt)
7389,pt,.   Stock Photo Agencies and Press Clipping Services,514199,All Other Information Services (pt)
7389,pt,".   Process Services, Patent Agents, Notaries Public and Paralegal Services",541199,All Other Legal Services
7389,pt,.   Bail Bonding,81299,All Other Personal Services (pt)
7389,pt,.   Mapmaking Services,54137,Surveying and Mapping (except Geophysical) Services (pt)
7389,pt,.   Interior Design,54141,Interior Design Services
7389,pt,.   Industrial Design,54142,Industrial Design Services
7389,pt,.   Drafting Service,54134,Drafting Services
7389,pt,.   Fashion and Other Design Services,54149,Other Specialized Design Services
7389,pt,".   Sign Painting and Lettering Shops, Showcard Painting, Mannequin Decorating Services, and Other Advertising Related Business Services",54189,Other Services Related to Advertising (pt)
7389,pt,.   Translation and Interpretation Services,54193,Translation and Interpretation Services
7389,pt,.   Home and Building Inspection Services,54135,Building Inspection Services
7389,pt,".   Appraisers, Except Insurance and Real Estate, and  Miscellaneous Professional, Scientific, and Technical Services",54199,"All Other Professional, Scientific, and Technical Services"
7389,pt,.   Microfilm Services,51421,Data Processing Services (pt)
7389,pt,.   Agents and Brokers for Authors and Artists and Speaker Bureaus,71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (pt)"
7389,pt,.   Yacht Brokers,42186,Transportation Equipment and Supplies (except Motor Vehicle) Wholesalers
7389,pt,.   Telephone Answering Services,561421,Telephone Answering Services
7389,pt,.   Aerosol Packaging,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing (pt)
7389,pt,.   Telemarketing Bureaus and Telephone Soliciting Services,561422,Telemarketing Bureaus
7389,pt,.   Private Mail Centers and Mail Box Rental,561431,Private Mail Centers
7389,pt,".   Business Service Centers, Except Private Mail Centers and Mail Box Rental",561439,Other Business Service Centers (including Copy Shops)
7389,pt,.   Embroidery of Advertising on Shirts and Rug Binding for the Trade,314999,All Other Miscellaneous Textile Product Mills (pt)
7389,pt,.   Sponging Fabric for Tailors and Dressmakers,313311,Broadwoven Fabric Finishing Mills (pt)
7389,pt,.   Distribution of Telephone Directories on a Fee or Contract Basis,54187,Advertising Material Distribution Services
7389,pt,.   Post Office Contract Stations,49111,Postal Services (pt)
7389,pt,.   Apparel Pressing for the Trade,81232,Drycleaning and Laundry Services (except Coin-Operated)
7389,pt,.   Recovery and Repossession,561491,Repossession Services (pt)
7389,pt,.   Packaging and Labeling Services,56191,Packaging and Labeling Services
7389,pt,.   Swimming Pool Cleaning and Maintenance,56179,Other Services to Buildings and Dwellings (pt)
7389,pt,.   Hotel and Restaurant Reservation Services and Time Share Condominium Exchange,561599,All Other Travel Arrangement and Reservation Services (pt)
7389,pt,.   Convention and Trade Show Services,56192,Convention and Trade Show  Organizers
7389,pt,.   Convention and Visitors Bureaus and Tourist Information Service,561591,Convention and Visitors Bureaus
7389,pt,.   Credit Card and Check Validation Services,52232,"Financial Transactions, Processing, Reserve, and Clearinghouse Activities (pt)"
7389,pt,".   Business Support Services, Except Telephone Answering, Telemarketing Bureaus, Private Mail Centers, and Repossession Services",561499,All Other Business Support Services
7389,pt,.   All Other Support Services,56199,All Other Support Services
75,,"Automotive repair, services, and parking",,
7513,,"Truck Rental and Leasing, Without Drivers",53212,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing (pt)"
7514,,Passenger Car Rental,532111,Passenger Cars Rental
7515,,Passenger Car Leasing,532112,Passenger Cars Leasing
7519,,Utility Trailer and Recreational Vehicle Rental,53212,"Truck, Utility Trailer and RV (Recreational Vehicles) Rental and Leasing  (pt)"
7521,,Automobile Parking,81293,Parking Lots and Garages (pt)
7532,,"Top, Body, and Upholstery Repair Shops and Paint Shops",811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
7533,,Automotive Exhaust System Repair Shops,811112,Automotive Exhaust System Repair
7534,,Tire Retreading and Repair Shops,,
7534,pt,.   Retreading,326212,Tire Retreading
7534,pt,.   Repair,811198,All Other Automotive Repair and Maintenance (pt)
7536,,Automotive Glass Replacement Shops,811122,Automotive Glass Replacement Shops (pt)
7537,,Automotive Transmission Repair Shops,811113,Automotive Transmission Repair
7538,,General Automotive Repair Shops,811111,General Automotive Repair
7539,,"Automotive Repair Shops, NEC",811118,Other Automotive Mechanical and Electrical Repair and Maintenance
7542,,Carwashes,811192,Carwashes
7549,,"Automotive Services, Except Repair and Carwashes",,
7549,pt,.   Automotive Window Tinting,811122,Automotive Glass Replacement Shops (pt)
7549,pt,".   Lubricating Services, Automotive",811191,Automotive Oil Change and Lubrication Shops
7549,pt,.   Towing,48841,Motor Vehicle Towing
7549,pt,".   Except Automotive Window Tinting, Lubricating Services, and Towing",811198,All Other Automotive Repair and Maintenance (pt)
76,,Miscellaneous repair services,,
7622,,Radio and Television Repair Shops,,
7622,pt,.   Retailing New Electronic Equipment from a Storefront and Repairing,443112,"Radio, Television, and Other Electronics Stores (pt)"
7622,pt,".   Other Stereo, TV, VCR, and Radio Repair",811211,Consumer Electronics Repair and Maintenance (pt)
7622,pt,.   Other Telecommunications Equipment Repair,811213,Communication Equipment Repair and Maintenance (pt)
7623,,Refrigeration and Air-Conditioning Services and Repair Shops,,
7623,pt,.   Retailing New Refrigerators from a Storefront and Repairing Refrigerators,443111,Household Appliance Stores (pt)
7623,pt,.   Commercial Refrigerator Equipment Repair,81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance (pt)
7623,pt,.   Except Commercial and Retailing New Refrigerators from a Storefront and Repairing Refrigerators,811412,Appliance Repair and Maintenance (pt)
7629,,"Electrical and Electronic Repair Shops, NEC",,
7629,pt,.   Retailing New Electrical and Electronic Appliances from a Storefront and Repairing,443111,Household Appliance Stores (pt)
7629,pt,".   Business and Office Machine Repair, Electrical",811212,Computer and Office Machine Repair and Maintenance (pt)
7629,pt,.   Telephone Set Repair,811213,Communication Equipment Repair and Maintenance (pt)
7629,pt,".   Electrical Measuring Instrument Repair and Calibration,  Medical Equipment Repair, Electrical",811219,Other Electronic and Precision Equipment Repair and Maintenance (pt)
7629,pt,".   Appliance Repair, Electrical; Washing Machine Repair;   Electric Razor Repair (except Retailing New Appliances from a Storefront and Repairing)",811412,Appliance Repair and Maintenance (pt)
7629,pt,".   Other Consumer Electronic Equipment Repair Except Computer, Radio, Television, Stereo, and VCR",811211,Consumer Electronics Repair and Maintenance (pt)
7631,,"Watch, Clock, and Jewelry Repair",81149,Other Personal and Household Goods Repair and Maintenance (pt)
7641,,Reupholstery and Furniture Repair,,
7641,pt,.   Antique Furniture Restoration,71151,"Independent Artists, Writers, and Performers (pt)"
7641,pt,.   Except Antique Furniture Restoration,81142,Reupholstery and Furniture Repair
7692,,Welding Repair,81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance (pt)
7694,,Armature Rewinding Shops,,
7694,pt,.   Repair,81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance (pt)
7694,pt,.   Remanufacturing,335312,Motor and Generator Manufacturing (pt)
7699,,"Repair Shops and Related Services, NEC",,
7699,pt,.   Boiler Cleaning,23511,"Plumbing, Heating, and Air-Conditioning Contractors (pt)"
7699,pt,.   Custom Picture Framing,442299,All Other Home Furnishings Stores (pt)
7699,pt,.   Locksmith Shops,561622,Locksmiths
7699,pt,.   Cesspool and Septic Tank Cleaning,562991,Septic Tank and Related Services (pt)
7699,pt,".   Furnace Ducts, Chimney, and Gutter Cleaning Services",56179,Other Services to Buildings and Dwellings (pt)
7699,pt,.   Sewer Cleaning and Rodding,562998,All Other Miscellaneous Waste Management Services (pt)
7699,pt,.   Ship Scaling,48839,Other Supporting Activities for Water Transportation (pt)
7699,pt,.   Other Non-Automotive Transportation Equipment and Industrial Machinery and Equipment,81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance (pt)
7699,pt,.   Retailing New Bicycles from a Storefront and Repairing Bicycles,45111,Sporting Goods Stores (pt)
7699,pt,.   Farriers,11521,Support Activities for Animal Production (pt)
7699,pt,.   Camera Repair,811211,Consumer Electronics Repair and Maintenance (pt)
7699,pt,.   Typewriter Repair,811212,Computer and Office Machine Repair and Maintenance (pt)
7699,pt,".   Dental Instrument Repair, Laboratory Instrument Repair,  Medical Equipment and Other Electronic and Precision  Equipment Repair, Except Typewriters",811219,Other Electronic and Precision Equipment Repair and Maintenance (pt)
7699,pt,".   Lawnmower Repair Shops, Sharpening and Repairing Knives, Saws and Tools",811411,Home and Garden Equipment Repair and Maintenance
7699,pt,".   Taxidermists, and Antique Repair and Maintenance, Except Antique Car Restoration",71151,"Independent Artists, Writers, and Performers"
7699,pt,".   Gas Appliance Repair Service, Sewing Machine Repair, Stove Repair Shops, and Other Non-Electrical Appliances",811412,Appliance Repair and Maintenance (pt)
7699,pt,".   Leather Goods Repair Shops, Luggage Repair Shops, Pocketbook Repair Shops",81143,Footwear and  Leather Goods Repair (pt)
7699,pt,".   Except Industrial, Electronic, Home and Garden, Appliance, Locksmith, and Leather Goods",81149,Other Personal and Household Goods Repair and Maintenance (pt)
78,,Motion pictures,,
7812,,Motion Picture and Video Tape Production,51211,Motion Picture and Video Production
7819,,Services Allied to Motion Picture Production,,
7819,pt,.   Teleproduction and Post-Production Services,512191,Teleproduction and Other Post-Production Services
7819,pt,.   Casting Bureaus,56131,Employment Placement Agencies (pt)
7819,pt,.   Wardrobe Rental (Motion Pictures),53222,Formal Wear and Costumes Rental (pt)
7819,pt,.   Rental of Motion Picture Equipment,53249,Other Commercial and Industrial Machinery and Equipment Rental and Leasing (pt)
7819,pt,.   Talent Payment Services,541214,Payroll Services (pt)
7819,pt,".   Film Directors and Related Motion Picture Production Services, Independent",71151,"Independent Artists, Writers, and Performers (pt)"
7819,pt,.   Reproduction of Video,334612,"Prerecorded Compact Disc (Except Software), Tape, and Record Manufacturing (pt)"
7819,pt,.   All Other Services,512199,Other Motion Picture and Video Industries (pt)
7822,,Motion Picture and Video Tape Distribution,,
7822,pt,.   Prerecorded Video Tapes (Wholesaling of),42199,Other Miscellaneous Durable Goods Wholesalers (pt)
7822,pt,.   All Other,51212,Motion Picture and Video Distribution (pt)
7829,,Services Allied to Motion Picture Distribution,,
7829,pt,.   Booking Agencies,512199,Other Motion Picture and Video Industries (pt)
7829,pt,.   Film Archives,51412,Libraries and Archives (pt)
7829,pt,.   Commercial Distribution Film Libraries,51212,Motion Picture and Video Distribution (pt)
7832,,"Motion Picture Theaters, Except Drive-In",512131,"Motion Picture Theaters, Except Drive-In"
7833,,Drive-In Motion Picture Theaters,512132,Drive-In Motion Picture Theaters
7841,,Video Tape Rental,53223,Video Tapes and Disc Rental
79,,Amusement and recreational services,,
7911,,"Dance Studios, Schools, and Halls",,
7911,pt,.   Dance Studios and Halls,71399,All Other Amusement and Recreation Industries (pt)
7911,pt,.   Dance Schools,61161,Fine Arts Schools (pt)
7922,,Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Services,,
7922,pt,.   Casting Agencies,56131,Employment Placement Agencies (pt)
7922,pt,.   Theater and Opera Companies,71111,Theater Companies and Dinner Theaters (pt)
7922,pt,.   Theatrical Agents,71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (pt)"
7922,pt,.   Theatrical Ticket Agencies,561599,All Other Travel Arrangement and Reservation Services (pt)
7922,pt,".   Costume Design, Theatrical",71151,"Independent Artists, Writers, and Performers (pt)"
7922,pt,.   Ballet and Dance Companies,71112,Dance Companies
7922,pt,.   Theater Operators,71131,"Promoters of Performing Arts, Sports, and Similar Events with Facilities (pt)"
7922,pt,.   Theatrical Promoters,71132,"Promoters of  Performing Arts, Sports, and Similar Events without Facilities (pt)"
7922,pt,.   Producers of Radio Programs,51229,Other Sound Recording Industries (pt)
7922,pt,.   Theatrical Equipment Rental,53249,Other Commercial and Industrial Machinery and Equipment Rental and Leasing (pt)
7929,,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",,
7929,pt,".   Musical Groups and Artists, Orchestras",71113,Musical Groups and Artists
7929,pt,.   Actors and Actresses,71151,"Independent Artists, Writers, and Performers (pt)"
7929,pt,".   Except Musical Groups and Artists, Actors and Actresses",71119,Other Performing Arts Companies (pt)
7933,,Bowling Centers,71395,Bowling Centers
7941,,Professional Sports Clubs and Promoters,,
7941,pt,.   Professional Sports Clubs,711211,Sports Teams and Clubs
7941,pt,.   Sports Agents,71141,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (pt)"
7941,pt,.   Sports Promoters,71132,"Promoters of Arts, Sports, and Similar Events without Facilities (pt)"
7941,pt,.   Stadium Operators,71131,"Promoters of Arts, Sports, and Similar Events with Facilities (pt)"
7948,,"Racing, Including Track Operations",,
7948,pt,.   Racetrack Operators,711212,Racetracks
7948,pt,".   Racing, except Track Operators",711219,Other Spectator Sports (pt)
7991,,Physical Fitness Facilities,71394,Fitness and Recreational Sports Centers (pt)
7992,,Public Golf Courses,71391,Golf Courses and Country Clubs (pt)
7993,,Coin-Operated Amusement Devices,,
7993,pt,.   Amusement Arcades,71312,Amusement Arcades
7993,pt,.   Gambling (Slot Machine) Operators,71329,Other Gambling Industries (pt)
7993,pt,.   Except Amusement Arcades and Slot Machine Operators,71399,All Other Amusement and Recreation Industries (pt)
7996,,Amusement Parks,71311,Amusement and Theme Parks
7997,,Membership Sports and Recreation Clubs,,
7997,pt,.   Golf Clubs,71391,Golf Courses and Country Clubs (pt)
7997,pt,.   Recreation Clubs with Facilities,71394,Fitness and Recreational Sports Centers (pt)
