Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,gfe_gfp_value,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2017,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,TRUE,N,Y,NA,2017,NA,2015,>2-7 Months,>1-2 Years,3,0,NA,3,2017-01-01,2017,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2007,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,FFP,J,Large,TRUE,N,N,X,2008,FALSE,1900,NA,>2-4 Years,1,0,NA,1,2007-01-01,2007,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Large,0,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2025,1,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Large,TRUE,Y,N,X,2024,FALSE,2024,>7-12 Months,>7-12 Months,1,-520.96,NA,1,2025-01-01,2025.1,YTD,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Large,-496.51457840703733,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,4,Defense,Navy,Applied Research (6.2),Other R&D and Knowledge Based,NA,NA,DCA,Full Competition (Multiple Offers),100+ Offers,Other CB,U,Small,TRUE,N,N,X,2025,FALSE,2025,>2-4 Years,>2-4 Years,1,0,NA,1,2024-01-01,2024.4,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Navy,Small,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2007,NA,Defense,Navy,Aircraft,Aircraft,NA,TRUE,NA,Competition with single offer,One Offer,FFP,J,Large,TRUE,N,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2007-01-01,2007,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Remotely Crewed,Navy,Large,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2020,NA,Defense,DLA,Other,Ships & Submarines,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,FALSE,N,N,NA,2021,NA,2021,>2-7 Months,>2-7 Months,12,704379.73,18986.76,12,2020-01-01,2020,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ships & Submarines,DLA,Medium,815242.567823548,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2004,NA,Defense,DLA,Electronics & Communications,Aircraft,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,FALSE,N,N,X,2005,FALSE,1900,NA,>7-12 Months,1,313725,NA,1,2004-01-01,2004,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Medium,485563.7219685638,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2015,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,DCA,Limited Competition with multiple offers,10-24 Offers,FFP,J,Small,FALSE,Y,Y,X,2016,FALSE,2016,>2-4 Years,>2-4 Years,2,606789.72,NA,2,2015-01-01,2015,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,759233.5088065809,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2016,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,FSS,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,Y,N,NA,2016,FALSE,2016,>7-12 Months,>7-12 Months,8,184786.12,NA,8,2016-01-01,2016,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Large,229376.05936595035,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2010,NA,Defense,Other DoD,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,N,N,X,2011,FALSE,2010,>2-7 Months,>2-4 Years,45,-197824.8406,NA,45,2010-01-01,2010,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Other DoD,Small,-269273.8434789358,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2008,NA,Defense,Navy,Clothing & Subsistence,Other Products,NA,NA,FSS,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,FALSE,Y,N,X,2007,FALSE,2007,>7-12 Months,>7-12 Months,1,-24348.7109,NA,1,2008-01-01,2008,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Navy,Medium,-33771.697970231246,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2002,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,NA,Full Competition (Multiple Offers),10-24 Offers,FFP,J,Medium <1B,FALSE,N,N,X,NA,FALSE,NA,NA,NA,3,0,NA,NA,2002-01-01,2002,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2014,NA,Defense,DLA,Other,Other Products,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,Other FP,K,Small,FALSE,N,N,NA,2014,FALSE,2014,<=2 Months,>2-7 Months,1,0,NA,1,2014-01-01,2014,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Fixed Price with Economic Price Adjustment,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,DLA,Small,0,FP-Econ. Price Adj.,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,2,Defense,Navy,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,N,N,NA,2022,FALSE,2022,>7-12 Months,>7-12 Months,1,-190230.125,NA,1,2022-01-01,2022.2,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,-198932.50543164965,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,2,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,GWAC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,FALSE,Y,N,NA,2025,NA,2026,>2-4 Years,>2-4 Years,1,333372.04,NA,1,2024-01-01,2024.2,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Small,324700.5899414312,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2010,NA,Defense,Other DoD,Engineering Development,Land Vehicles,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,UCA,U,Small,TRUE,N,N,X,NA,NA,NA,NA,NA,2,0,NA,NA,2010-01-01,2010,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Crosscutting,No Government Furnished,R&D,R&D,R&D,Land Vehicles,Other DoD,Small,0,UCA,NA,Cost-Based,UCA,Crosscutting,NA
2021,NA,Defense,DLA,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Large,TRUE,Y,Y,X,2022,FALSE,2023,>2-4 Years,>1-2 Years,2,12630766.08,NA,2,2021-01-01,2021,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",DLA,Large,14132333.779865617,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2013,NA,Defense,Navy,PAMS,Other Services,NA,NA,PO,Limited Competition with multiple offers,Two Offers,FFP,J,Unlabeled,TRUE,Y,N,NA,2014,NA,2014,>2-7 Months,>2-7 Months,1,27515,NA,1,2013-01-01,2013,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other Services,Navy,Unlabeled,35418.70767532818,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2017,NA,Defense,Navy,Electronics & Communications,Ships & Submarines,NA,NA,BOA,No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),FFP,J,Large,TRUE,N,Y,NA,2018,NA,2018,>2-7 Months,>2-7 Months,5,51745.6309,NA,5,2017-01-01,2017,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),Ships & Submarines,Navy,Large,63165.89165176416,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,Army,Construction,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,TRUE,N,N,NA,2015,FALSE,2015,>2-7 Months,>1-2 Years,1,0,NA,1,2015-01-01,2015,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2013,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,TRUE,N,N,X,2013,FALSE,2012,>7-12 Months,>2-4 Years,1,0,NA,5,2013-01-01,2013,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2012,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,FALSE,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Small,TRUE,Y,N,X,2010,FALSE,2010,>2-7 Months,>2-7 Months,1,0,NA,1,2012-01-01,2012,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Small,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
1998,NA,Defense,Air Force,Construction,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Unlabeled Exception),No competition,FFP,J,Medium <1B,FALSE,N,N,X,1998,FALSE,1900,NA,>7-12 Months,2,664010,NA,2,1998-01-01,1998,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,1153653.5833357512,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2011,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,FALSE,N,N,X,2011,FALSE,2011,<=2 Months,>2-7 Months,10,2729.74,NA,10,2011-01-01,2011,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,3642.537844482227,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2010,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,DCA,Limited Competition with multiple offers,Two Offers,FFP,J,Small,TRUE,N,Y,Y,2010,FALSE,2009,>1-2 Years,>2-4 Years,1,2640.8401,NA,1,2010-01-01,2010,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,3594.640397957673,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2025,2,Defense,Army,FRS,Facilities and Construction,NA,NA,NA,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,FFP,J,Medium <1B,FALSE,Y,N,X,NA,TRUE,NA,NA,NA,4,0,NA,NA,2025-01-01,2025.2,YTD,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2011,NA,Defense,DLA,Clothing & Subsistence,Other Products,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Medium <1B,TRUE,N,N,NA,2011,NA,2011,<=2 Months,<=2 Months,4,1345307,NA,4,2011-01-01,2011,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,DLA,Medium,1795164.2500556286,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
1996,NA,Defense,Air Force,ERS,"Electronics, Comms, & Sensors",NA,NA,NA,No Competition (Other Exception),No competition,NA,J,Small,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,190292,NA,2,1996-01-01,1996,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Crosscutting,NA,ERS,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Small,340700.27036410215,FFP,NA,FFP,FFP,Crosscutting,NA
2019,NA,Defense,Army,PAMS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,NA,2020,FALSE,2020,>7-12 Months,>7-12 Months,17,1337580.1008,NA,17,2019-01-01,2019,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,1568325.8377846954,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2017,NA,Defense,Navy,Other,Other Products,NA,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,N,N,X,2018,FALSE,2018,>7-12 Months,>7-12 Months,3,973944.97,NA,3,2017-01-01,2017,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Navy,Small,1188894.6251073866,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
1999,NA,Defense,Army,PAMS,Facilities and Construction,FALSE,NA,NA,Limited Competition with multiple offers,3-4 Offers,NA,U,Medium <1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10665835,NA,19,1999-01-01,1999,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Crosscutting,NA,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,18304210.28817149,Cost-Based,NA,Cost-Based,Cost-Based,Crosscutting,NA
2013,NA,Defense,Army,Construction,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Small,TRUE,N,N,NA,2012,FALSE,2011,>2-7 Months,>1-2 Years,5,-95385,NA,5,2013-01-01,2013,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,-122784.42419084784,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2011,NA,Defense,Army,Construction,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,FALSE,N,N,X,2008,FALSE,2008,>2-7 Months,>2-7 Months,3,-199048,NA,3,2011-01-01,2011,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,-265607.666982386,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,4,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,X,2025,FALSE,2022,>1-2 Years,>4 years,1,16672519.16,NA,1,2022-01-01,2022.4,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Small,17435230.13695114,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2011,NA,Defense,Army,ERS,Other Services,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,Other FP,M,Large: Big 5,TRUE,N,N,X,2012,FALSE,2010,>1-2 Years,>2-4 Years,2,0,NA,2,2011-01-01,2011,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Fixed Price Award Fee,Other FP,All Other,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Big Five,0,All Other,>1 year,All Other,All Other,Fixed-Price,>1 year
2012,NA,Defense,Army,ERS,Other Services,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,NA,2013,FALSE,2013,>2-7 Months,>2-7 Months,2,1221025.25,NA,2,2012-01-01,2012,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Medium,1600285.0797145606,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2020,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Large,TRUE,N,Y,Y,NA,FALSE,NA,NA,NA,1,0,NA,NA,2020-01-01,2020,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Large,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2025,1,Defense,Army,Experimental Development,Other R&D and Knowledge Based,NA,NA,DCA,Competition with single offer,One Offer,Other CB,U,Large,TRUE,N,N,Y,2026,FALSE,2026,>2-4 Years,>2-4 Years,2,0,NA,2,2025-01-01,2025.1,YTD,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Army,Large,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2004,NA,Defense,Army,PAMS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,TRUE,N,N,Y,2003,FALSE,1900,NA,>7-12 Months,2,30478,NA,2,2004-01-01,2004,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,47171.92164525584,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2018,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Small,TRUE,Y,N,NA,2018,NA,2018,>1-2 Years,>1-2 Years,1,0,NA,1,2018-01-01,2018,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2013,NA,Defense,Air Force,PAMS,Aircraft,NA,NA,DCA,Limited Competition with multiple offers,Two Offers,FFP,J,Small,TRUE,N,N,X,2014,FALSE,2013,>7-12 Months,>1-2 Years,1,53366.4,NA,1,2013-01-01,2013,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Aircraft,Air Force,Small,68695.94480409354,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
