Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2013,NA,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,TRUE,N,N,X,NA,FALSE,NA,NA,NA,2,0,NA,NA,2013-01-01,2013,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ordnance and Missiles,Navy,Small,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2000,NA,Defense,Navy,Advanced Development,Ships & Submarines,NA,NA,SINGLE AWARD IDC,No Competition (Unlabeled Exception),No competition,Other CB,U,Medium <1B,NA,N,N,X,2002,FALSE,1900,NA,>1-2 Years,1,330000,NA,1,2000-01-01,2000,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Ships & Submarines,Navy,Medium,554787.2191543321,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2016,NA,Defense,Army,FRS,Land Vehicles,NA,NA,BPA,Competition with single offer (Overrode blank Fair Opportunity),One Offer,FFP,J,Medium <1B,FALSE,Y,N,NA,2016,NA,2016,<=2 Months,<=2 Months,2,2130,NA,2,2016-01-01,2016,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Land Vehicles,Army,Medium,2643.981087158896,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2007,NA,Defense,Other DoD,PAMS,Other R&D and Knowledge Based,NA,NA,DCA,Full Competition (Multiple Offers),100+ Offers,FFP,J,Medium <1B,TRUE,N,N,X,2008,FALSE,2009,>1-2 Years,>7-12 Months,1,252224,NA,1,2007-01-01,2007,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Other DoD,Medium,357097.93188785086,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2023,4,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,NA,2026,TRUE,2026,>2-4 Years,>2-4 Years,1,0,NA,1,2023-01-01,2023.4,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Air Force,Big Five,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2018,NA,Defense,Navy,ERS,Ships & Submarines,NA,NA,BOA,Competition with single offer (Overrode blank Fair Opportunity),One Offer,FFP,J,Medium <1B,FALSE,N,N,NA,2019,NA,2018,>7-12 Months,>1-2 Years,1,0,NA,1,2018-01-01,2018,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Ships & Submarines,Navy,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2004,NA,Defense,Navy,Electronics & Communications,Ordnance and Missiles,NA,NA,DCA,Competition with single offer,One Offer,FFP,J,Medium <1B,TRUE,N,N,Y,2007,FALSE,1900,NA,>2-4 Years,1,453696,NA,1,2004-01-01,2004,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ordnance and Missiles,Navy,Medium,702201.9870977752,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2010,NA,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,TRUE,N,Y,X,2010,FALSE,2010,>2-7 Months,>7-12 Months,1,171589.9531,NA,1,2010-01-01,2010,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ordnance and Missiles,Navy,Small,233563.62140097862,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,DCA,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,X,2009,FALSE,2009,<=2 Months,<=2 Months,9,294254.64,NA,9,2009-01-01,2009,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Small,404000.26863363164,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,Army,Other,Facilities and Construction,NA,NA,FSS,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,X,2007,FALSE,2007,>7-12 Months,>7-12 Months,2,4914,NA,2,2006-01-01,2006,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Army,Small,7148.754376829959,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,3,Defense,Air Force,Launchers & Munitions,Ordnance and Missiles,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,FFP,J,Medium <1B,TRUE,N,N,X,NA,FALSE,NA,NA,NA,4,0,NA,NA,2022-01-01,2022.3,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ordnance and Missiles,Air Force,Medium,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2012,NA,Defense,Navy,Other,Facilities and Construction,NA,NA,FSS,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,NA,2013,FALSE,2013,>2-7 Months,>2-7 Months,15,898113.8281,NA,15,2012-01-01,2012,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Navy,Small,1177074.8876763668,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2016,NA,Defense,DLA,Engines & Power Plants,Land Vehicles,NA,NA,PO,Competition with single offer,One Offer,FFP,J,Medium <1B,TRUE,N,N,NA,2016,NA,2016,<=2 Months,>2-7 Months,1,0,NA,1,2016-01-01,2016,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Land Vehicles,DLA,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,Army,ERS,Land Vehicles,NA,NA,BPA,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,FFP,J,Medium <1B,FALSE,Y,N,NA,2017,NA,2017,<=2 Months,<=2 Months,1,-8721,NA,1,2018-01-01,2018,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Land Vehicles,Army,Medium,-10414.52230127902,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2011,NA,Defense,DLA,Other,Ships & Submarines,NA,NA,PO,Full Competition (Multiple Offers),Two Offers,FFP,J,Large,TRUE,N,N,NA,2011,NA,2011,>2-7 Months,>2-7 Months,14,279676.9595,NA,14,2011-01-01,2011,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,DLA,Large,373198.14678631414,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,Army,Other,Facilities and Construction,NA,NA,FSS,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,NA,2018,NA,2018,<=2 Months,<=2 Months,1,14176.5498,NA,1,2018-01-01,2018,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Army,Small,16929.479881583837,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2021,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Competition with single offer,One Offer,FFP,J,Small,FALSE,Y,N,NA,2022,NA,2022,>7-12 Months,>7-12 Months,42,3446219.99,NA,42,2021-01-01,2021,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Small,3855912.6872473243,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,3,Defense,DLA,Engines & Power Plants,Facilities and Construction,NA,NA,BOA,No Competition (Other Exception),No competition,FFP,J,Large,TRUE,N,N,Y,2025,NA,2025,>1-2 Years,>1-2 Years,4,108689.48,NA,4,2024-01-01,2024.3,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,DLA,Large,105862.32209644033,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2023,4,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,X,2024,FALSE,2027,>4 years,>1-2 Years,4,1420082.76,NA,4,2023-01-01,2023.4,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Small,1420082.76,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2015,NA,Defense,Navy,Electronics & Communications,Ships & Submarines,NA,NA,BOA,No Competition (Other Exception),No competition,FFP,J,Large,TRUE,N,N,NA,2015,NA,2014,>2-7 Months,>7-12 Months,2,7992,NA,2,2015-01-01,2015,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,Navy,Large,9999.830258136533,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,DLA,Engines & Power Plants,Ships & Submarines,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,TRUE,N,N,NA,2013,NA,2013,>7-12 Months,>7-12 Months,1,16956,NA,1,2012-01-01,2012,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,DLA,Medium,22222.66395526226,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2014,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,DCA,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,TRUE,N,N,X,2014,FALSE,2014,>1-2 Years,>1-2 Years,3,0,NA,3,2014-01-01,2014,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2016,NA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,BOA,Competition with single offer,One Offer,FFP,J,Large: Big 5,TRUE,N,N,NA,2017,NA,2016,>1-2 Years,>1-2 Years,1,0,NA,1,2016-01-01,2016,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Big Five,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2002,NA,Defense,Navy,ERS,Aircraft,FALSE,NA,DCA,No Competition (Only One Source Exception),No competition,T&M/LH/FPLOE,Y,Large: Big 5,TRUE,N,N,Y,2002,FALSE,1900,NA,>2-4 Years,2,297385,NA,2,2002-01-01,2002,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Time and Materials,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Cost or Effort-Based,ERS,Services (Non-R&D),Services (Non-R&D),Aircraft,Navy,Big Five,480563.7670281024,All Other,>1 year,All Other,All Other,Cost or Effort-Based,NA
2023,2,Defense,DLA,Engines & Power Plants,Aircraft,NA,NA,BOA,No Competition (Other Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,NA,2024,NA,2023,>1-2 Years,>2-4 Years,1,0,NA,1,2023-01-01,2023.2,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,DLA,Big Five,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2008,NA,Defense,Air Force,Ground Vehicles,Land Vehicles,NA,NA,PO,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,FALSE,N,N,X,2008,FALSE,2008,>7-12 Months,>7-12 Months,2,-8344.96,NA,2,2008-01-01,2008,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Land Vehicles,Air Force,Medium,-11574.471841696593,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2002,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),100+ Offers,NA,NO,Medium <1B,TRUE,Y,N,X,2002,FALSE,1900,NA,<=2 Months,1,99894,NA,1,2002-01-01,2002,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Medium,161425.2129176161,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2022,1,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Medium >1B,TRUE,N,N,X,2023,FALSE,2023,>4 years,>4 years,1,850597,NA,1,2022-01-01,2022.1,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Medium,889508.916227884,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2011,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,10-24 Offers,FFP,J,Small,TRUE,N,N,X,2015,FALSE,2015,>4 years,>4 years,3,256769,NA,3,2011-01-01,2011,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,342629.99398838606,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2018,NA,Defense,Navy,ERS,Facilities and Construction,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Large: Big 5,TRUE,Y,Y,NA,2018,NA,2017,<=2 Months,>1-2 Years,1,0,NA,1,2018-01-01,2018,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Big Five,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2018,NA,Defense,Navy,Aircraft,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,TRUE,N,N,NA,2018,FALSE,2018,<=2 Months,<=2 Months,1,6375.7002,NA,1,2018-01-01,2018,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Small,7613.791069736167,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2001,NA,Defense,Navy,Basic Research (6.1),"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Competition with single offer (Overrode blank Fair Opportunity),One Offer,Other CB,U,Small,FALSE,N,N,X,2002,FALSE,1900,NA,>7-12 Months,1,200000,NA,1,2001-01-01,2001,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,"Electronics, Comms, & Sensors",Navy,Small,328277.5310772132,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2006,NA,Defense,Navy,FRS,Facilities and Construction,FALSE,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,Other CB,R,Large,TRUE,N,N,X,2006,FALSE,1900,NA,>7-12 Months,1,2507159,NA,1,2006-01-01,2006,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Large,3647347.145840176,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
1992,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,NA,Limited Competition with multiple offers,Two Offers,NA,Z,Unlabeled,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,818936,NA,NA,1992-01-01,1992,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Labor Hours,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Crosscutting,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Unlabeled,1595396.0666349777,All Other,NA,All Other,All Other,Crosscutting,NA
2001,NA,Defense,Navy,Clothing & Subsistence,Other Products,NA,NA,FSS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,NA,NO,Small,FALSE,N,N,X,2001,FALSE,1900,NA,NA,1,62487,NA,1,2001-01-01,2001,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,Products,Products (All),Products (All),Other Products,Navy,Small,102565.39042210909,NA,NA,NA,NA,Crosscutting,NA
2020,NA,Defense,Army,Basic Research (6.1),"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,Other CB,U,Small,TRUE,N,N,NA,2020,FALSE,2020,>1-2 Years,>2-4 Years,2,0,NA,2,2020-01-01,2020,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,"Electronics, Comms, & Sensors",Army,Small,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2004,NA,Defense,DLA,Aircraft,Aircraft,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,X,2005,FALSE,1900,NA,>1-2 Years,6,898769,NA,6,2004-01-01,2004,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,DLA,Small,1391057.8399233855,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2020,NA,Defense,Army,ERS,Facilities and Construction,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,NA,2021,NA,2025,>4 years,>1-2 Years,2,44596,NA,2,2020-01-01,2020,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Small,51614.99686349428,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2010,NA,Defense,Army,Other,Facilities and Construction,NA,NA,FSS,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,X,2010,FALSE,2012,>4 years,>2-4 Years,11,1220556.6012,NA,11,2010-01-01,2010,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Facilities and Construction,Army,Medium,1661388.7628665715,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2015,NA,Defense,DLA,Other,Other Products,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium >1B,TRUE,N,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2015-01-01,2015,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,DLA,Medium,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2008,NA,Defense,Air Force,Construction,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,TRUE,N,N,X,2009,FALSE,2008,>7-12 Months,>1-2 Years,2,0,NA,2,2008-01-01,2008,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2010,NA,Defense,Navy,Basic Research (6.1),Aircraft,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,U,Large: Big 5,TRUE,N,N,Y,2011,FALSE,2011,>2-4 Years,>2-4 Years,1,0,NA,1,2010-01-01,2010,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Aircraft,Navy,Big Five,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2013,NA,Defense,Army,ERS,Land Vehicles,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Medium <1B,TRUE,N,N,X,2014,FALSE,2013,>2-4 Years,>2-4 Years,4,4578459.76,NA,4,2013-01-01,2013,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Land Vehicles,Army,Medium,5893626.307203096,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
