"Product_or_Service_Code","Product_or_Service_Description","Action_Obligation2020","Action_Obligation2021"
"5510","LUMBER AND RELATED BASIC WOOD MATERIALS",5037.65,7162
"1080","CAMOUFLAGE AND DECEPTION EQUIPMENT",12041.5,0
"W063","LEASE OR RENTAL OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",11956,0
"5675","NONWOOD CONSTRUCTION LUMBER AND RELATED MATERIALS",0,11923
"5315","NAILS, MACHINE KEYS, AND PINS",0,11801.22
"AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)",11780,0
"F019","NATURAL RESOURCES/CONSERVATION- OTHER WILDLIFE MANAGEMENT",11525,0
"F099","NATURAL RESOURCES/CONSERVATION- OTHER",11357,0
"5133","DRILL BITS, COUNTERBORES, AND COUNTERSINKS: HAND AND MACHINE",11171,0
"5305","SCREWS",11167.67,0
"5910","CAPACITORS",11065.04,0
"AD26","R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT)",11000,0
"J012","MAINT/REPAIR/REBUILD OF EQUIPMENT- FIRE CONTROL EQUIPMENT",10785,0
"8030","PRESERVATIVE AND SEALING COMPOUNDS",10415.24,213.32
"W025","LEASE OR RENTAL OF EQUIPMENT- VEHICULAR EQUIPMENT COMPONENTS",10611.14,0
"T013","PHOTO/MAP/PRINT/PUBLICATION- TECHNICAL WRITING",10560,0
"H365","INSPECTION- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",10485.45,0
"Z1QA","MAINTENANCE OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE)",10379.7,0
"H973","OTHER QC/TEST/INSPECT- FOOD PREPARATION AND SERVING EQUIPMENT",10321.21,0
"AF11","R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)",10000,0
"W051","LEASE OR RENTAL OF EQUIPMENT- HAND TOOLS",10000,0
"4930","LUBRICATION AND FUEL DISPENSING EQUIPMENT",6229.78,3770
"Q901","ASEPTIC HOUSEKEEPING SERVICES",0,9705.15
"1650","AIRCRAFT HYDRAULIC, VACUUM, AND DE-ICING SYSTEM COMPONENTS",9689.88,0
"2915","ENGINE FUEL SYSTEM COMPONENTS, AIRCRAFT AND MISSILE PRIME MOVERS",9620.03,0
"9535","PLATE, SHEET, STRIP, AND FOIL; NONFERROUS BASE METAL",2037.9,6578
"H296","EQUIPMENT AND MATERIALS TESTING- ORES, MINERALS, AND THEIR PRIMARY PRODUCTS",0,8400
"X1PZ","LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES",5180.68,3030
"8020","PAINT AND ARTISTS' BRUSHES",8018.61,0
"5419","COLLECTIVE MODULAR SUPPORT SYSTEM",8001.52,0
"H943","OTHER QC/TEST/INSPECT- PUMPS AND COMPRESSORS",7900,0
"5365","BUSHINGS, RINGS, SHIMS, AND SPACERS",7853.33,0
"2835","GAS TURBINES AND JET ENGINES; NON-AIRCRAFT PRIME MOVER, AIRCRAFT NON-PRIME MOVER, AND COMPONENTS",7830.06,0
"B509","SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL",7705.45,0
"N093","INSTALLATION OF EQUIPMENT- NONMETALLIC FABRICATED MATERIALS",7664.72,0
"U014","EDUCATION/TRAINING- SECURITY",7478.57999999999,0
"J084","MAINT/REPAIR/REBUILD OF EQUIPMENT- CLOTHING, INDIVIDUAL EQUIPMENT, AND INSIGNIA",7200,0
"H159","QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS",7000,0
"N083","INSTALLATION OF EQUIPMENT- TEXTILES, LEATHER, FURS, APPAREL AND SHOE FINDINGS, TENTS AND FLAGS",7000,0
"L099","TECHNICAL REPRESENTATIVE- MISCELLANEOUS",0,6885
"5940","LUGS, TERMINALS, AND TERMINAL STRIPS",197.8,6681.15
"S202","HOUSEKEEPING- FIRE PROTECTION",6857,0
"J054","MAINT/REPAIR/REBUILD OF EQUIPMENT- PREFABRICATED STRUCTURES  AND SCAFFOLDING",6845,0
"AS11","TRANSPORTATION R&D SERVICES; SURFACE TRANSPORTATION, PUBLIC TRANSIT, AND RAIL; BASIC RESEARCH",0,6410.54
"AJ43","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (ADVANCED DEVELOPMENT)",0,6329.79
"5360","COIL, FLAT, LEAF, AND WIRE SPRINGS",3009,3293.75
"3940","BLOCKS, TACKLE, RIGGING, AND SLINGS",0,6060.65
"9925","ECCLESIASTICAL EQUIPMENT, FURNISHINGS, AND SUPPLIES",2218.87,3832.16
"R423","SUPPORT- PROFESSIONAL: INTELLIGENCE",5907,0
"9530","BARS AND RODS, NONFERROUS BASE METAL",5788.16,0
"J073","MAINT/REPAIR/REBUILD OF EQUIPMENT- FOOD PREPARATION AND SERVING EQUIPMENT",5615.16,0
"F018","NATURAL RESOURCES/CONSERVATION- OTHER FOREST/RANGE IMPROVEMENTS (NON-CONSTRUCTION)",4945,0
"M1HZ","OPERATION OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) ENVIRONMENTAL LABORATORIES",4900,0
"9515","PLATE, SHEET, STRIP, FOIL, AND LEAF",1239.2,3450
"N072","INSTALLATION OF EQUIPMENT- HOUSEHOLD AND COMMERCIAL FURNISHINGS AND APPLIANCES",4543.2,0
"N062","INSTALLATION OF EQUIPMENT- LIGHTING FIXTURES AND LAMPS",4160,0
"2940","ENGINE AIR AND OIL FILTERS, STRAINERS, AND CLEANERS, NONAIRCRAFT",3968.56,174.34
"J052","MAINT/REPAIR/REBUILD OF EQUIPMENT- MEASURING TOOLS",3065,0
"4820","VALVES, NONPOWERED",2898.01,0
"L020","TECHNICAL REPRESENTATIVE- SHIP AND MARINE EQUIPMENT",2800,0
"L036","TECHNICAL REPRESENTATIVE- SPECIAL INDUSTRY MACHINERY",0,2716
"Q901","HEALTHCARE ENVIRONMENTAL CLEANING",0,2456.42
"1630","AIRCRAFT WHEEL AND BRAKE SYSTEMS",2360.7,0
"6260","NONELECTRICAL LIGHTING FIXTURES",2085.52,0
"8510","PERFUMES, TOILET PREPARATIONS, AND POWDERS",2071.34,0
"8125","BOTTLES AND JARS",2000,0
"H366","INSPECTION- INSTRUMENTS AND LABORATORY EQUIPMENT",1900,0
"R498","SUPPORT- PROFESSIONAL: PATENT AND TRADEMARK",1850,0
"5640","WALLBOARD, BUILDING PAPER, AND THERMAL INSULATION MATERIALS",1847.9,0
"Z2DB","REPAIR OR ALTERATION OF LABORATORIES AND CLINICS",1575,0
"9430","MISCELLANEOUS CRUDE ANIMAL PRODUCTS, INEDIBLE",1533.25,0
"3750","GARDENING IMPLEMENTS AND TOOLS",0,1391.81
"4810","VALVES, POWERED",1074.14,304.56
"3540","WRAPPING AND PACKAGING MACHINERY",1330.38,0
"T001","PHOTO/MAP/PRINT/PUBLICATION- ARTS/GRAPHICS",0,1220
"9520","STRUCTURAL SHAPES",1208.22,0
"H163","QUALITY CONTROL- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",1200,0
"9510","BARS AND RODS",1061.51,0
"5355","KNOBS AND POINTERS",1053.88,0
"6620","ENGINE INSTRUMENTS",944.16,0
"H236","EQUIPMENT AND MATERIALS TESTING- SPECIAL INDUSTRY MACHINERY",900,0
"H125","QUALITY CONTROL- VEHICULAR EQUIPMENT COMPONENTS",840,0
"8120","COMMERCIAL AND INDUSTRIAL GAS CYLINDERS",789.84,0
"6645","TIME MEASURING INSTRUMENTS",670.4,81.5
"2930","ENGINE COOLING SYSTEM COMPONENTS, NONAIRCRAFT",569.75,175.99
"3530","INDUSTRIAL SEWING MACHINES AND MOBILE TEXTILE REPAIR SHOPS",533.75,0
"F006","NATURAL RESOURCES/CONSERVATION- LAND TREATMENT PRACTICES",0,500
"3805","EARTH MOVING AND EXCAVATING EQUIPMENT",418.25,0
"6750","PHOTOGRAPHIC SUPPLIES",387.25,0
"3130","BEARINGS, MOUNTED",263.2,0
"3444","MANUAL PRESSES",234,0
"8460","LUGGAGE",179.9,0
"5331","O-RING",148,0
"K062","MODIFICATION OF EQUIPMENT- LIGHTING FIXTURES AND LAMPS",100,0
"P999","SALVAGE- OTHER",85,0
"5350","ABRASIVE MATERIALS",75.49,0
"5280","SETS, KITS, AND OUTFITS OF MEASURING TOOLS",46.08,0
"5325","FASTENING DEVICES",26.25,0
"5180","SETS, KITS, AND OUTFITS OF HAND TOOLS",24.65,0
"4910","MOTOR VEHICLE MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT",5.34,18.36
"3030","BELTING, DRIVE BELTS, FAN BELTS, AND ACCESSORIES",5.82,0
"5342","HARDWARE, WEAPON SYSTEM",5.6,0
"1010","GUNS, OVER 30MM UP TO 75MM",0,0
"1015","GUNS, 75MM THROUGH 125MM",0,0
"1020","GUNS, OVER 125MM THROUGH 150MM",0,0
"1025","GUNS, OVER 150MM THROUGH 200MM",0,0
"1030","GUNS, OVER 200MM THROUGH 300MM",0,0
"1045","LAUNCHERS, TORPEDO AND DEPTH CHARGE",0,0
"1055","LAUNCHERS, ROCKET AND PYROTECHNIC",0,0
"1075","DEGAUSSING AND MINE SWEEPING EQUIPMENT",0,0
"1090","ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES",0,0
"1190","SPECIALIZED TEST AND HANDLING EQUIPMENT, NUCLEAR ORDNANCE",0,0
"1210","FIRE CONTROL DIRECTORS",0,0
"1220","FIRE CONTROL COMPUTING SIGHTS AND DEVICES",0,0
"1230","FIRE CONTROL SYSTEMS, COMPLETE",0,0
"1240","OPTICAL SIGHTING AND RANGING EQUIPMENT",0,0
"1260","FIRE CONTROL DESIGNATING AND INDICATING EQUIPMENT",0,0
"1265","FIRE CONTROL TRANSMITTING AND RECEIVING EQUIPMENT, EXCEPT AIRBORNE",0,0
"1270","AIRCRAFT GUNNERY FIRE CONTROL COMPONENTS",0,0
"1280","AIRCRAFT BOMBING FIRE CONTROL COMPONENTS",0,0
"1285","FIRE CONTROL RADAR EQUIPMENT, EXCEPT AIRBORNE",0,0
"1305","AMMUNITION, THROUGH 30MM",0,0
"1310","AMMUNITION, OVER 30MM UP TO 75MM",0,0
"1320","AMMUNITION, OVER 125MM",0,0
"1325","BOMBS",0,0
"1336","GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS",0,0
"1337","GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",0,0
"1340","ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS",0,0
"1350","UNDERWATER MINE AND COMPONENTS, INERT",0,0
"1355","TORPEDOS AND COMPONENTS, INERT",0,0
"1356","TORPEDOS AND COMPONENTS, EXPLOSIVE",0,0
"1375","DEMOLITION MATERIALS",0,0
"1376","BULK EXPLOSIVES",0,0
"1377","CARTRIDGE AND PROPELLANT ACTUATED DEVICES AND COMPONENTS",0,0
"1385","SURFACE USE EXPLOSIVE ORDNANCE DISPOSAL TOOLS AND EQUIPMENT",0,0
"1390","FUZES AND PRIMERS",0,0
"1395","MISCELLANEOUS AMMUNITION",0,0
"1398","SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT",0,0
"1420","GUIDED MISSILE COMPONENTS",0,0
"1425","GUIDED MISSILE SYSTEMS, COMPLETE",0,0
"1427","GUIDED MISSILE SUBSYSTEMS",0,0
"1430","GUIDED MISSILE REMOTE CONTROL SYSTEMS",0,0
"1440","LAUNCHERS, GUIDED MISSILE",0,0
"1450","GUIDED MISSILE HANDLING AND SERVICING EQUIPMENT",0,0
"1520","AIRCRAFT, ROTARY WING",0,0
"1550","UNMANNED AIRCRAFT",0,0
"1555","SPACE VEHICLES",0,0
"1610","AIRCRAFT PROPELLERS AND COMPONENTS",0,0
"1615","HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS",0,0
"1675","SPACE VEHICLE COMPONENTS",0,0
"1720","AIRCRAFT LAUNCHING EQUIPMENT",0,0
"1740","AIRFIELD SPECIALIZED TRUCKS AND TRAILERS",0,0
"1810","SPACE VEHICLES",0,0
"1901","AIRCRAFT CARRIERS",0,0
"1915","CARGO AND TANKER VESSELS",0,0
"1935","BARGES AND LIGHTERS, SPECIAL PURPOSE",0,0
"1950","FLOATING DRYDOCKS",0,0
"2010","SHIP AND BOAT PROPULSION COMPONENTS",0,0
"2030","DECK MACHINERY",0,0
"2040","MARINE HARDWARE AND HULL ITEMS",0,0
"2050","BUOYS",0,0
"2420","TRACTORS, WHEELED",0,0
"2541","WEAPONS SYSTEMS SPECIFIC VEHICULAR ACCESSORIES",0,0
"2805","GASOLINE RECIPROCATING ENGINES, EXCEPT AIRCRAFT; AND COMPONENTS",0,0
"2810","GASOLINE RECIPROCATING ENGINES, AIRCRAFT PRIME MOVER; AND COMPONENTS",0,0
"2825","STEAM TURBINES AND COMPONENTS",0,0
"3413","DRILLING AND TAPPING MACHINES",0,0
"3419","MISCELLANEOUS MACHINE TOOLS",0,0
"3426","METAL FINISHING EQUIPMENT",0,0
"3442","HYDRAULIC AND PNEUMATIC PRESSES, POWER DRIVEN",0,0
"3815","CRANE AND CRANE-SHOVEL ATTACHMENTS",0,0
"3835","PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT",0,0
"4030","FITTINGS FOR ROPE, CABLE, AND CHAIN",0,0
"4921","TORPEDO MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT",0,0
"4925","AMMUNITION MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT",0,0
"4931","FIRE CONTROL MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT",0,0
"5650","ROOFING AND SIDING MATERIALS",0,0
"5811","OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS",0,0
"5825","RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE",0,0
"5826","RADIO NAVIGATION EQUIPMENT, AIRBORNE",0,0
"5840","RADAR EQUIPMENT, EXCEPT AIRBORNE",0,0
"5841","RADAR EQUIPMENT, AIRBORNE",0,0
"5860","STIMULATED COHERENT RADIATION DEVICES, COMPONENTS, AND ACCESSORIES",0,0
"5865","ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT",0,0
"5955","OSCILLATORS AND PIEZOELECTRIC CRYSTALS",0,0
"5960","ELECTRON TUBES AND ASSOCIATED HARDWARE",0,0
"5980","OPTOELECTRONIC DEVICES AND ASSOCIATED HARDWARE",0,0
"5990","SYNCHROS AND RESOLVERS",0,0
"6015","FIBER OPTIC CABLES",0,0
"6020","FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES",0,0
"6030","FIBER OPTIC DEVICES",0,0
"6060","FIBER OPTIC INTERCONNECTORS",0,0
"6117","SOLAR ELECTRIC POWER SYSTEMS",0,0
"6120","TRANSFORMERS: DISTRIBUTION AND POWER STATION",0,0
"6340","AIRCRAFT ALARM AND SIGNAL SYSTEMS",0,0
"6610","FLIGHT INSTRUMENTS",0,0
"6655","GEOPHYSICAL INSTRUMENTS",0,0
"6660","METEOROLOGICAL INSTRUMENTS AND APPARATUS",0,0
"8140","AMMUNITION AND NUCLEAR ORDNANCE BOXES, PACKAGES AND SPECIAL CONTAINERS",0,0
"8345","FLAGS AND PENNANTS",0,0
"8425","UNDERWEAR AND NIGHTWEAR, WOMEN'S",0,0
"AB91","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH)",0,0
"AB97","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (COMMERCIALIZED)",0,0
"AC11","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; BASIC RESEARCH",0,0
"AC11","R&D- DEFENSE SYSTEM: AIRCRAFT (BASIC RESEARCH)",0,0
"AC13","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT",0,0
"AC15","R&D- DEFENSE SYSTEM: AIRCRAFT (OPERATIONAL SYSTEMS DEVELOPMENT)",0,0
"AC22","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; APPLIED RESEARCH",0,0
"AC22","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AC25","NATIONAL DEFENSE R&D SVCS; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D FACILITIES & MAJ EQUIP",0,0
"AC26","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (MANAGEMENT/SUPPORT)",0,0
"AC34","R&D- DEFENSE SYSTEM: SHIPS (ENGINEERING DEVELOPMENT)",0,0
"AC42","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AC44","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ENGINEERING DEVELOPMENT)",0,0
"AC51","R&D- DEFENSE SYSTEM: WEAPONS (BASIC RESEARCH)",0,0
"AC52","R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AC53","R&D- DEFENSE SYSTEM: WEAPONS (ADVANCED DEVELOPMENT)",0,0
"AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)",0,0
"AC67","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (COMMERCIALIZED)",0,0
"AC94","R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ENGINEERING DEVELOPMENT)",0,0
"AC95","R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (OPERATIONAL SYSTEMS DEVELOPMENT)",0,0
"AD12","R&D- DEFENSE OTHER: AMMUNITION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AD17","R&D- DEFENSE OTHER: AMMUNITION (COMMERCIALIZED)",0,0
"AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)",0,0
"AD27","R&D- DEFENSE OTHER: SERVICES (COMMERCIALIZED)",0,0
"AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)",0,0
"AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)",0,0
"AE34","R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ENGINEERING DEVELOPMENT)",0,0
"AG76","R&D- ENERGY: SOLAR/PHOTOVOLTAIC (MANAGEMENT/SUPPORT)",0,0
"AG91","R&D- ENERGY: OTHER (BASIC RESEARCH)",0,0
"AG92","R&D- ENERGY: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AH92","R&D- ENVIRONMENTAL PROTECTION: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AH94","R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT)",0,0
"AJ14","R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ENGINEERING DEVELOPMENT)",0,0
"AJ16","R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (MANAGEMENT/SUPPORT)",0,0
"AJ31","R&D- GENERAL SCIENCE/TECHNOLOGY: ENVIRONMENTAL SCIENCES (BASIC RESEARCH)",0,0
"AJ41","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (BASIC RESEARCH)",0,0
"AJ44","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (ENGINEERING DEVELOPMENT)",0,0
"AJ62","R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AJ71","R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (BASIC RESEARCH)",0,0
"AJ91","R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (BASIC RESEARCH)",0,0
"AJ93","R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ADVANCED DEVELOPMENT)",0,0
"AN42","R&D- MEDICAL: HEALTH SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AN75","R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)",0,0
"AR12","R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AR22","R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AR33","R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT)",0,0
"AR35","R&D- SPACE: FLIGHT (OPERATIONAL SYSTEMS DEVELOPMENT)",0,0
"AR43","R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (ADVANCED DEVELOPMENT)",0,0
"AR45","R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (OPERATIONAL SYSTEMS DEVELOPMENT)",0,0
"AR62","R&D- SPACE: STATION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AR67","R&D- SPACE: STATION (COMMERCIALIZED)",0,0
"AR74","R&D- SPACE: COMMERCIAL PROGRAMS (ENGINEERING DEVELOPMENT)",0,0
"AR91","R&D- SPACE: OTHER (BASIC RESEARCH)",0,0
"AS15","R&D- MODAL TRANSPORTATION: AIR (OPERATIONAL SYSTEMS DEVELOPMENT)",0,0
"AS34","TRANSPORTATION R&D SERVICES; WATER TRANSPORTATION; R&D ADMINISTRATIVE EXPENSES",0,0
"AS36","R&D- MODAL TRANSPORTATION: RAIL (MANAGEMENT/SUPPORT)",0,0
"AT32","R&D- OTHER TRANSPORTATION: NAVIGATION/NAVIGATIONAL AIDS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AV72","R&D- MINING: METALLURGICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,0
"AZ15","R&D- OTHER RESEARCH AND DEVELOPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)",0,0
"B517","SPECIAL STUDIES/ANALYSIS- GEOLOGICAL",0,0
"B521","SPECIAL STUDIES/ANALYSIS- HISTORICAL",0,0
"B525","SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE",0,0
"B539","SPECIAL STUDIES/ANALYSIS- AERONAUTICAL/SPACE",0,0
"B552","SPECIAL STUDIES/ANALYSIS- MANPOWER",0,0
"C1KA","ARCHITECT AND ENGINEERING- CONSTRUCTION: DAMS",0,0
"C1KZ","ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER CONSERVATION AND DEVELOPMENT FACILITIES",0,0
"C1NZ","ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER UTILITIES",0,0
"C1PB","ARCHITECT AND ENGINEERING- CONSTRUCTION: EXHIBIT DESIGN (NON-BUILDING)",0,0
"C214","ARCHITECT AND ENGINEERING- GENERAL: MANAGEMENT ENGINEERING",0,0
"C216","ARCHITECT AND ENGINEERING- GENERAL: MARINE ENGINEERING",0,0
"C221","ARCHITECT AND ENGINEERING- GENERAL: PLUMBING SYSTEMS",0,0
"F014","NATURAL RESOURCES/CONSERVATION- TREE THINNING",0,0
"F021","NATURAL RESOURCES/CONSERVATION- SITE PREPARATION",0,0
"F110","ENVIRON SYS PROTECT- DEVELOPMENT OF ENVIRON IMPACT STMTS/ASSESSMENTS, TECH ANALYSIS/ENVIRON AUDITS",0,0
"H161","QUALITY CONTROL- ELECTRIC WIRE AND POWER DISTRIBUTION EQUIPMENT",0,0
"H212","EQUIPMENT AND MATERIALS TESTING- FIRE CONTROL EQUIPMENT",0,0
"H216","EQUIPMENT AND MATERIALS TESTING- AIRCRAFT COMPONENTS AND ACCESSORIES",0,0
"H223","EQUIPMENT AND MATERIALS TESTING- GROUND EFFECT VEHICLES, MOTOR VEHICLES, TRAILERS, AND CYCLES",0,0
"H268","EQUIPMENT AND MATERIALS TESTING- CHEMICALS AND CHEMICAL PRODUCTS",0,0
"H271","EQUIPMENT AND MATERIALS TESTING- FURNITURE",0,0
"H320","INSPECTION- SHIP AND MARINE EQUIPMENT",0,0
"H342","INSPECTION- FIRE FIGHTING/RESCUE/SAFETY EQUIPMENT; ENVIRON PROTECT EQUIPMENT/MATLS",0,0
"H345","INSPECTION- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",0,0
"H349","INSPECTION- MAINTENANCE AND REPAIR SHOP EQUIPMENT",0,0
"H355","INSPECTION- LUMBER, MILLWORK, PLYWOOD, AND VENEER",0,0
"H363","INSPECTION- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",0,0
"H370","INSPECTION- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT",0,0
"H378","INSPECTION- RECREATIONAL AND ATHLETIC EQUIPMENT",0,0
"H389","INSPECTION- SUBSISTENCE",0,0
"H914","OTHER QC/TEST/INSPECT- GUIDED MISSILES",0,0
"J011","MAINT/REPAIR/REBUILD OF EQUIPMENT- NUCLEAR ORDNANCE",0,0
"J014","MAINT/REPAIR/REBUILD OF EQUIPMENT- GUIDED MISSILES",0,0
"J017","MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT LAUNCHING, LANDING, AND GROUND HANDLING EQUIPMENT",0,0
"J022","MAINT/REPAIR/REBUILD OF EQUIPMENT- RAILWAY EQUIPMENT",0,0
"J039","MAINT/REPAIR/REBUILD OF EQUIPMENT- MATERIALS HANDLING EQUIPMENT",0,0
"J043","MAINT/REPAIR/REBUILD OF EQUIPMENT- PUMPS AND COMPRESSORS",0,0
"J068","MAINT/REPAIR/REBUILD OF EQUIPMENT- CHEMICALS AND CHEMICAL PRODUCTS",0,0
"J077","MAINT/REPAIR/REBUILD OF EQUIPMENT- MUSICAL INST/PHONOGRAPH/HOME RADIO",0,0
"K012","MODIFICATION OF EQUIPMENT- FIRE CONTROL EQUIPMENT",0,0
"K014","MODIFICATION OF EQUIPMENT- GUIDED MISSILES",0,0
"K015","MODIFICATION OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS",0,0
"K020","MODIFICATION OF EQUIPMENT- SHIP AND MARINE EQUIPMENT",0,0
"K058","MODIFICATION OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",0,0
"K069","MODIFICATION OF EQUIPMENT- TRAINING AIDS AND DEVICES",0,0
"K095","MODIFICATION OF EQUIPMENT- METAL BARS, SHEETS, AND SHAPES",0,0
"K099","MODIFICATION OF EQUIPMENT- MISCELLANEOUS",0,0
"L010","TECHNICAL REPRESENTATIVE- WEAPONS",0,0
"L014","TECHNICAL REPRESENTATIVE- GUIDED MISSILES",0,0
"L058","TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",0,0
"L059","TECHNICAL REPRESENTATIVE- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS",0,0
"L078","TECHNICAL REPRESENTATIVE- RECREATIONAL AND ATHLETIC EQUIPMENT",0,0
"M111","OPERATION OF OFFICE BUILDINGS",0,0
"M159","OPER OF GOVT OTHER INDUSTRIAL BLDG",0,0
"M1BC","OPERATION OF RADAR AND NAVIGATIONAL FACILITIES",0,0
"M1BZ","OPERATION OF OTHER AIRFIELD STRUCTURES",0,0
"M1EC","OPERATION OF PRODUCTION BUILDINGS",0,0
"M1FB","OPERATION OF RECREATIONAL BUILDINGS",0,0
