Description_of_Requirement,descrip_row_number,Remotely_Crewed,UAS,CUAS,Maritime,mq,rq,any_uas
NO COST EXTENSION,8417,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO FINALIZE PHASE 2B SOW REQUIREMENTS,8418,,,,,,,
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO ADD INCREMENTAL FUNDING IN THE AMOUNT OF $2,200,000.",8419,,,,,,,
"IGF;;OT;;IGF
UAS INSTANT DELIVERY SYSTEM PROTOTYPE PROJECT IN RESPONSE TO THE DIUX COMMERCIAL SOLUTIONS OFFERING (CSO).",8420,UAS,TRUE,,,,,TRUE
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE MILESTONE PAYMENT SCHEDULE.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,8421,,,,,,,
"IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO PLACE AN ORDER FOR 65,000 EMPAAS OPTION #1 DOD BUNDLE LICENSES ON BEHALF OF DISA JSP.",8422,,,,,,,
"IGF::OT::IGF BASE AGREEMENT AWARD TO VIDEORAY LLC
IN THE NEXT GEN EOD UNDERWATER UNMANNED VEHICLE AREA OF INTEREST.",8423,Maritime,,,TRUE,,,
IGF::OT::IGF MODIFICATION TO INCORPORATE ADDITIONAL SITE VISIT LOCATION,8424,,,,,,,
DELIVERY EXTENSION,8425,,,,,,,
"IGF::OT::IGF BASE AGREEMENT AWARD TO TELEDYNE SEABOTIX
IN THE NEXT GEN EOD UNDERWATER UNMANNED VEHICLE AREA OF INTEREST.",8426,Maritime,,,TRUE,,,
A PROTOTYPE SUB-THESHOLD ARM CORTEX-M0 MICROCONTROLLER FOR NEAR-ZERO POWER SENSORS (M0N0).  THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION 1/PHASE 2 OF THE AGREEMENT.,8427,,,,,,,
FLEXIBLE COMPOSITE ELECTRODE SUPERCAPACITOR PROTOTYPE,8428,,,,,,,
PRE-CLINICAL,8429,,,,,,,
FUND PHASE IB,8430,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS ACTION IS TO AWARD AN OTHER TRANSACTION AGREEMENT (OTA), W15QKN-18-9-2002, BETWEEN
THE UNITED STATES ARMY CONTRACTING COMMAND - NEW JERSEY PREVALENT, INC. IN SUPPORT OF THE DEFENSE INNOVATION
UNIT (DIU).",8431,,,,,,,
IGF::OT::IGF   THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE PHASE 3 STATEMENT OF WORK REQUIREMENTS.,8432,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE PHASE 3 AND 4 STATEMENT OF WORK REQUIREMENTS FOR THE F-16 AND F-35 PREDICTIVE MAINTENANCE PROTOTYPE PILOT.,8433,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND THE REMAINING OUTSTANDING BALANCE.,8434,,,,,,,
"ENHANCE ELECTRONIC DESIGN AUTOMATION (EDA) TOOLS IN
SUPPORT OF SUPERCONDUCTING ELECTRONICS (SCE)",8435,,,,,,,
INCREMENTALLY FUND THE PROTOTYPE PROJECT,8436,,,,,,,
MOBILE FORCE PROTECTION.,8437,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS MODIFICATION IS TO EXECUTE OPTION TASK A OF THIS DIUX PROJECT.",8438,,,,,,,
THE PRINCIPLE PURPOSE OF THIS OT IS TO PROVIDE A RAPID ANALYSIS OF THREAT EXPOSURE (RATE) SOLUTION TO ASSIST THE DEPARTMENT OF DEFENSE (DOD) IN IMPROVING FORCE READINESS THROUGH ADVANCED PREDICTIVE MONITORING.,8439,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO ADD PHASE 3B TO ENHANCE THE SAFETY OF THE JOBY S4 PLATFORM AND REDUCE PILOT WORKLOAD THROUGH INCREASINGLY SIMPLIFIED PILOT CONTROLS.,8440,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO ADD PHASE 3B TO ENHANCE
THE SAFETY OF THE JOBY S4 PLATFORM AND REDUCE PILOT WORKLOAD
THROUGH INCREASINGLY SIMPLIFIED PILOT CONTROLS.",8441,,,,,,,
"IGF::OT::IGF
THE PURPOSE OF THIS MODIFICATION IS TO REPLACE FUNDS ON CLIN 0011AC WITH FUNDS ON CLIN 0011AD TO CORRECT THE LINE OF ACCOUNTING FOR THIS FUNDING. THERE IS NO CHANGE TO THE TOTAL OBLIGATED AMOUNT OF THIS AGREEMENT.",8442,,,,,,,
"IGF::OT::IGF
THE PURPOSE OF THIS MODIFICATION IS TO REPLACE FUNDS ON CLIN
0011AC WITH FUNDS ON CLIN 0011AD TO CORRECT THE LINE OF
ACCOUNTING FOR THIS FUNDING. THERE IS NO CHANGE TO THE TOTAL OBLIGATION",8443,,,,,,,
REMOVE FUNDING AND TERMINATE THE REST OF THE AGREEMENT.,8444,,,,,,,
ENHANCED 3D AUTONOMY AND THREAT DETECTION,8445,,,,,,,
P00001-ICD RE-SCOPE MOD,8446,,,,,,,
MODIFICATION TO INCORPORATE ADDITIONAL WORK.,8447,,,,,,,
"IGF::OT::IGF BASE AGREEMENT AWARD FOR PREDICTIVE MAINTENANCE
FOR E-3 AND ADDITIONAL PLATFORM.",8448,,,,,,,
IGF::OT::IGF BASE AGREEMENT AWARD FOR DIGITAL MANUFACTURING/CO-CREATION/CROWDSOURCING AND MICROFACTORIES.,8449,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION WAS TO CORRECT A LINE OF ACCOUNTING ERROR ASSOCIATED WITH THE FUNDING FOR CLINS 0004-0021.,8450,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE WAWF PAYMENT INSTRUCTIONS CLAUSE.,8451,,,,,,,
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO FINALIZE THE PHASE 2 STATEMENT OF WORK REQUIREMENTS FOR THE LAUNCH FORTH PROTOTYPE PILOT OTA.,8452,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE PHASE 2.",8453,,,,,,,
PROTOTYPE IONIC LIQUID FLAME RETARDANT NYLON,8454,,,,,,,
IGF::OT::IGF ENHANCE ELECTRONIC DESIGN AUTOMATION (EDA) TOOLS IN SUPPORT OF SUPERCONDUCTING ELECTRONICS (SCE),8455,,,,,,,
"IGF;;OT;;IGF
THE PURPOSE OF THIS MODIFICATION IS TO CORRECT THE FUNDING ON CLINS 0009AB AND 0010-0013.",8456,,,,,,,
"MODIFICATION TO INCORPORATE UPDATED STATEMENT OF WORK AND
EXERCISE OPTIONS.",8457,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO FINALIZE PHASE 3 SOW REQUIREMENTS.,8458,,,,,,,
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDING IN THE AMOUNT OF $600,000.",8459,,,,,,,
GROUP 1 UNMANNED VEHICLE ARCHITECTURE,8460,UAS,TRUE,,,,,TRUE
LOW-COST ECO-FRIENDLY EDGE COMPUTING FLOAT FOR OCEAN OF THINGS (OOT) TA-1,8461,,,,,,,
"LOW-COST ECO-FRIENDLY EDGE COMPUTING FLOAT FOR OCEAN OF THINGS (OOT) TA-1, THE PURPOSE OF THE MODIFICATION IS TO PROVIDE INCREMENTAL FUNDING.",8462,,,,,,,
LOW-COST ECO-FRIENDLY EDGE COMPUTING FLOAT FOR OCEAN OF THINGS (OOT) TA-1.,8463,,,,,,,
ADDITIONAL STORAGE OF PROTOTYPE,8464,,,,,,,
A PROTOTYPE SUB-THE SHOLD ARM CORTEX-M0 MICROCONTROLLER FOR NEAR-ZERO POWER SENSORS,8465,,,,,,,
IGF::OT::IGF PERIOD OF PERFORMANCE EXTENSION IN SUPPORT OF DATAHUB SUPPORT,8466,,,,,,,
ADDITIONAL COSTS FOR DEVELOPMENT.,8467,,,,,,,
DEOBLIGATE FUNDS.,8468,,,,,,,
R&D OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),8469,,,,,,,
R&D - DIGITAL DUAL USE SENSORS,8470,,,,,,,
TERMINATION AND DEOBLIGATION MOD.,8471,,,,,,,
PROTOTYPE DEVELOPMENT FOR PM WARGAMING CAPABILITIES CENTER,8472,,,,,,,
PROGRAM MANAGER WARGAMING CAPABILITY RISK REDUCTION PROTOTYPE,8473,,,,,,,
SUAS PROTOTYPE,8474,UAS,TRUE,,,,,TRUE
"IGF;;OT;;IGF
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE AT NO-COST FOR SIX MONTHS, NOW ENDING 11OCT2019.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",8475,,,,,,,
ADDITIONAL DEVELOPMENT OF THE PROTOTYPE TO INCLUDE A DOLLY.,8476,,,,,,,
OTAP BALLISTIC PLATES,8477,,,,,,,
"IGF::CT::IGF
ADVANCING WARFIGHTER TECHNOLOGIES IN THE AREA OF EXPEDITIONARY CYBER",8478,,,,,,,
CMO ADDRESS CHANGE,8479,,,,,,,
ADDITIONAL PROTOTYPES,8480,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 10/31/2019.,8481,,,,,,,
PROTOTYPE FOR TESTING ADVANCED SOLDIER RF WIRELESS ELECTRONICS PLATFORM,8482,,,,,,,
RUGGEDIZED OXYBOOT PROTOTYPE,8483,,,,,,,
FUNDING REALIGNMENT.,8484,,,,,,,
CMO MOVE,8485,,,,,,,
HETEROGENEOUS SYSTEM INTEGRATION INCORPORATING INTEL (HI3),8486,,,,,,,
PROTOTYPING,8487,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE SOW LANGUAGE.,8488,,,,,,,
"BLACKJACK PROGRAM, PHASE 1 (TRACK B), BLACKJACK WILL DEVELOP AND
DEMONSTRATE A LOW EARTH ORBIT CONSTELLATION THAT PROVIDES GLOBAL PERSISTENT COVERAGE.",8489,,,,,,,
"BLACKJACK PROGRAM, PHASE 1 (TRACK B)",8490,,,,,,,
NAVAL UNDERSEA WARFARE CENTER OTHER TRANSACTION AUTHORITY AGREEMENT FOR UNDERSEA TECHNOLOGY INNOVATION,8491,,,,,,,
IGF::OT::IGF AWARD UNDER DIUX AOI HARDWARE TO SOFTWARE TRANSFORMATION,8492,,,,,,,
AWARD UNDER DIUX AOI HARDWARE TO SOFTWARE TRANSFORMATION,8493,,,,,,,
"OTHER TRANSACTION AGREEMENT (OTA) AWARDED FOR A PROTOTYPE
PROJECT IN THE COMMERCIAL SOLUTIONS OPENING (CSO) AREA OF
INTEREST (AOI) SPACE SITUATIONAL AWARENESS (SSA).",8494,,,,,,,
THE PURPOSE OF THIS MODIFICATION P00001 IS TO EXERCISE OPTION 4.2.A (TASK 2): DATA DELIVERY.,8495,,,,,,,
"CONCERNING PHOENIX TECHNOLOGIES, THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE MILESTONE DELIVERY SCHEDULE AND TO PROVIDING INCREMENTAL FUNDING.",8496,,,,,,,
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO APPLY INCREMENTAL FUNDING, ADJUST MILESTONE DUE DATES AND INCORPORATE SUCCESSFUL COMPLETION CRITERIA.",8497,,,,,,,
"IGF::OT::IGF AGREEMENT AWARD TO SRI INTERNATIONAL IN SUPPORT OF
DIUX AOI HARDWARE TO SOFTWARE TRANSFORMATION.",8498,,,,,,,
"IGF::OT::IGF AGREEMENT AWARD TO VOLANS I IN SUPPORT OF
DIU AOI CRITICAL SUPPLY DELIVERY.",8499,,,,,,,
"CODE SYNTHESIS FOR HIGH-PERFORMANCE GRAPH ANALYSIS, THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION MILESTONES 10-13.",8500,,,,,,,
"DESIGN, DEVELOP, FABRICATE, TEST, INSTALL, DOCUMENT AND DELIVER RAPID PROTOTYPE MATERIAL SOLUTIONS ASSOCIATED WITH THE PRODUCTS, SYSTEMS, SUBSYSTEMS",8501,,,,,,,
ADDITIONAL STORAGE.,8502,,,,,,,
COMPLETION DATE EXTENSTION.,8503,,,,,,,
"THE PURPOSE OF MODIFICATION P00008 IS TO IMPLEMENT RUGGEDIZED DDUS CAMERA MODULES AND PROVIDE FUNDING IN THE AMOUNT OF $2,250,000.00.",8504,,,,,,,
"SCEC-18-0001, PERFORMANCE",8505,,,,,,,
"SCEC-18-0001, INCORPORATION OF REVISED STATEMENT OF WORK AND MILESTONES PAYMENT SCHEDULE.",8506,,,,,,,
"DESIGN, DEVELOP, FABRICATE, TEST, INSTALL, DOCUMENT AND DELIVER RAPID PROTOTYPE MATERIAL SOLUTIONS ASSOCIATED WITH THE PRODUCTS, SYSTEMS, SUBSYSTEMS, ANCILLARY AND PECULIAR SUPPORT EQUIPMENT",8507,,,,,,,
"INTELLIGENT, REAL-TIME ANALYTICS FOR ENHANCED TRAVELER PROCESSING(PHASE 1)",8508,,,,,,,
"SCEC-18-0001, DDUS",8509,,,,,,,
"MODIFICATION 1, MAKE CHANGES CALLED FOR AT THE TIME OF AWARD, INSERT DCMA ADMIN OFFICE, UPDATE SPECIFICATIONS",8510,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO AWARD AND FUND PHASE 2 OF THIS OTHER TRANSACTION AGREEMENT (OTA).,8511,,,,,,,
"SCEC-18-0001, PROVIDE FUNDING THROUGH MILESTONE 5",8512,,,,,,,
FUNDING FOR MILESTONES 6 AND 7.,8513,,,,,,,
"TO INFORM THE AWARDEE AND SUBAWARDEE TO NOT BEGIN WORK BEYOND MILESTONE 6, WITHOUT WRITTEN INSTRUCTIONS FROM THE GOVERNMENT VIA THE CONTRACTING OFFICER ASSIGNED TO THIS AGREEMENT.",8514,,,,,,,
THE PURPOSE OF THIS MODIFICATION (P00005) IS TO INFORM THE AWARDEE AND SUBAWARDEE TO NOT PROCEED WITH WORK BEYOND MILESTONE #6.,8515,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO TERMINATE PPA AGREEMENT WITH AWARDEE, SOSSEC AND SUBAWARDEE,
LOCKHEED MARTIN IN ITS ENTIRETY IAW ARTICLE VI OF W909MY-18-9-0001, SECTION 15-1. DUE TO THE LACK OF FUNDING
FOR THIS PROJECT, THIS AGREEMENT IS TERMINATED IN ITS ENTIRETY.",8516,,,,,,,
MOLECULAR SCAFFOLD DESIGN COLLECTIVE (MSDC).,8517,,,,,,,
MODIFICATION TO EXERCISE OPTION WITH REVISED STATEMENT OF WORK,8518,,,,,,,
ULTRA-SHORT REACH CHIP-TO-CHIP (USR/C2C) STANDARD INTERFACE,8519,,,,,,,
ULTRA-SHORT REACH CHIP-TO-CHIP USR/C2C STANDARD INTERFACE,8520,,,,,,,
IGF::OT::IGF INCORPORATION OF SATELLITE IMAGERY.,8521,,,,,,,
ADDITIONAL PROTOTYPE DEVELOPMENT,8522,,,,,,,
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE REVISIONS TO THE SOW, OBLIGATE FUNDING AND RESTRUCTURE MILESTONES TO SUPPORT ADDITIONAL BLOCKS OF F-16'S",8523,,,,,,,
HIGH ENTHALPY TESTING OF ADVANCED PRECOOLER,8524,,,,,,,
VIRTUAL REALITY TRAINING FOR E-8 MAINTAINERS,8525,,,,,,,
LOW-COST ECO-FRIENDLY EDGE COMPUTING FLOAT FOR OCEAN OF THINGS,8526,,,,,,,
TAMR AUTOMATED ENTITY RESOLUTION (PHASE 4),8527,,,,,,,
ADDITIONAL DEVELOPMENT,8528,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE (POP).,8529,,,,,,,
MILESTONE 2.1.2.E (Q5),8530,,,,,,,
DAYLONG INTEGRATION LEVEL OF A PORTABLE IODINE CLOCK WITH LENGTHENHANCED SPECTROMETER (DILL PICKLES).,8531,,,,,,,
FUNDING ADJUSTMENT AND SCOPE REALIGNMENT.,8532,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE PAYMENT MADE BY OFFICE TO HQ0339.,8533,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDING FOR PREVIOUSLY NEGOTIATED MILESTONES.,8534,,,,,,,
DELIVERY OF HARDWARE/SOFTWARE PROTOTYPE,8535,,,,,,,
MATERIAL COATING PROTOTYPE DEVELOPMENT,8536,,,,,,,
DISRUPTIVE CAPABILITIES FOR FUTURE WARFARE,8537,,,,,,,
EXTEND THE PERIOD OF PERFORMANCE (NCE),8538,,,,,,,
PROTOTYPE COMBINED EXTRACTION COMPONENT,8539,,,,,,,
PROTOTYPE HEAVY AIRDROP PLATFORM,8540,,,,,,,
FUNDING CORRECTION,8541,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE UPDATES TO
THE DELIVERY SCHEDULE.",8542,,,,,,,
REALIGN CLIN FUNDING,8543,,,,,,,
ADDITIONAL STORAGE,8544,,,,,,,
LOW-COST ECO-FRIENDLY EDGE COMPUTING FLOAT FOR OCEAN OF THINGS (OOT)TA-1,8545,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO FUND USES CASES 2 AND 3. THIS ALSO ADDS LICENSES AND DATA SETS TO USE CASE 2.,8546,,,,,,,
FUNDING SWAP,8547,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO CORRECT AN ERROR WITH THE LINE OF ACCOUNTING ASSOCIATED WITH ACRN AN (ORIGINALLY OBLIGATED UNDER MOD P00012).,8548,,,,,,,
AI FOR MEDICAL CODING,8549,,,,,,,
"OTA MODIFICATION 70RSAT19T00000013, P00001- NO-COST EXTENSION (NCE) VIA PR NO. RSSY-20-00024. END DATE CHANGES FROM 01-05-20 TO 02-05-20. POP IS 5 MONTHS (09-06-2019 TO 02-05-2020)",8550,,,,,,,
OT FOR PROTOTYPE TITLED: INTEGRATING ADVANCED INTERCONNECT BUS WITH TERAPHY,8551,,,,,,,
THE PURPOSE OF THIS AGREEMENT AWARD IS FOR THE DEVELOPMENT OF PROTOTYPE UNMANNED AIRCRAFT SYSTEM (UAS) COMPONENTS.,8552,UAS,TRUE,,,,,TRUE
"THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND MILESTONES 0001AL, 0002AH-0002AL, 0003AA-0003AM AND 0004AA-0004AK.",8553,,,,,,,
IGF::OT::IGF INCORPORATION OF ADDITONAL WORK ENHANCED 3D AUTONOMY AND THREAT DETECTIO,8554,,,,,,,
IGF::OT::IGF INCORPORATION OF INCREMENTAL FUNDING ENHANCED 3D AUTONOMY AND THREAT DETECTIO,8555,,,,,,,
"AUTONOMOUS SUAS FOR DEPLOYED TRUCK-BASED MOBILE USERS
(PHASE 4)",8556,UAS,TRUE,,,,,TRUE
"ADAPTIVELY INTELLIGENT BACKPACKABLE SUAS FOR FIELD OPERATIONS
(PHASE 2)",8557,UAS,TRUE,,,,,TRUE
CORRECT FUNDING,8558,,,,,,,
ADAPT S&T EFFORT,8559,,,,,,,
ADAPT S&T COOL SUITS EFFORT,8560,,,,,,,
ADAPT S&T COMPACT FUEL CELL SYSTEM,8561,,,,,,,
SEA WATER INFLATED LAUNCH AND RECOVERY SYSTEM (SWI-LARS),8562,,,,,,,
UUV COLLAR COMPLIANT OPEN-ENDED LOW VOLUME LAUNCH AND RECOVERY SYSTEM,8563,,,,,,,
ON DEMAND STRUCTURES SUBMARINE LAUNCH OF UUVS,8564,,,,,,,
UNMANNED UNDERWATER VEHICLE SABOT SYSTEMS (UUVSS),8565,Maritime,,,TRUE,,,
ON DEMAND STRUCTURES-SUBMARINE LAUNCH OF UUVS,8566,,,,,,,
THIS ACTION IS ISSUED AS PART OF THE ACCELERATED DELIVERY AND ACQUISITION OF PROTOTYPE TECHNOLOGIES (ADAPT) INITIATIVE TO INVESTIGATE DOWNSTREAM FLOW CONDITIONERS.,8567,,,,,,,
THIS ACTION IS ISSUED AS PART OF THE ACCELERATED DELIVERY AND ACQUISITION OF PROTOTYPE TECHNOLOGIES TO INVESTIGATE READINESS OF A COMBINED COMPACT ACTIVE HEADREST AND A LIGHTWEIGHT ACOUSTIC META MATERIAL CURTAIN TO REDUCE NOISE IN SUBMARINE BUNKS.,8568,,,,,,,
"THIS ACTION IS ISSUED AS PART OF THE ACCELERATED DELIVERY AND
ACQUISITION OF PROTOTYPE TECHNOLOGIES TO INVESTIGATE FUNCTIONING PROTOTYPE THAT WILL REDUCE AIRBORNE SOUND.",8569,,,,,,,
ADAPT R&D EFFORT,8570,,,,,,,
"REAL TIME, INTELLIGENT TRAVELER WAYFINDING FOR THE FIS&AVIATION ENVIRONMENT(PHASE 2)",8571,,,,,,,
UUV COLLAR - COMPLIANT OPEN-ENDED LOW-VOLUME LAUNCH AND RECOVERY SYSTEM,8572,,,,,,,
UNMANNED UNDERWATER VEHICLE SABOT SYSTEM (UUVSS),8573,Maritime,,,TRUE,,,
"THIS ACTION IS ISSUED AS PART OF THE ACCELERATED DELIVERY AND
ACQUISITION OF PROTOTYPE TECHNOLOGIES TO INVESTIGATE READINESS
OF A COMBINED COMPACT ACTIVE HEADREST AND A LIGHTWEIGHT ACOUSTIC.",8574,,,,,,,
SEA WATER INFLATED LAUNCH AND RECOVERY SYSTEM,8575,,,,,,,
"10 USC 2373 PAT3I EQUIPMENT, SPARES, AND LICENSES.",8576,,,,,,,
"PAT3I EQUIPMENT, SPARES, LICENSES",8577,,,,,,,
"IGF::OT::IGF
ENHANCED 3D AUTONOMY AND THREAT DETECTIO",8578,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE PAYMENT WILL BE MADE BY OFFICE TO REFLECT HQ0339.,8579,,,,,,,
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO UPDATE TERMS AND CONDITIONS ARTICLES III, VI, AND VIII.",8580,,,,,,,
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE POP END DATE TO 27-FEB 2020, AND TO INCORPORATE THE STATEMENT THAT SAYS THIS OTA CAN MOVE TO FOLLOW-ON PRODUCTION.",8581,,,,,,,
NAVAL UNDERSEA WARFARE CENTER AUTHORITY AGREEMENT FOR UNDERSEA TECHNOLOGY INNOVATION,8582,,,,,,,
SOFTWARE PROTOTYPE PROJECT,8583,,,,,,,
PASSIVE ACOUSTIC ARRAY PROTOTYPE,8584,,,,,,,
SECURITY FOR THE INTERNET OF THINGS (PHASE 4),8585,,,,,,,
ACTIVE AUTHENTICATION OF NON-PERSON ENTITIES THROUGH CONTEXTUAL AND HISTORICAL ANALYSIS (PHASE 2),8586,,,,,,,
IGF::OT::IGF  THIS IS THE BASE AWARD FOR THE ATLAS REDUCED LATENCY SPACE DATA / MBMM IN SUPPORT OF DIU AND SMC/RN.,8587,,,,,,,
EXTENDED RANGE NON-TRADITIONAL SONAR SYSTEM (ER NTSS) PROTOTYPE,8588,,,,,,,
"IGF;;OT;;IGF
MODIFICATION TO AWARD PHASE 2 FOR THE U.S. AIR FORCE F-35 JOINT
STRIKE FIGHTER REPROGRAMMING ENTERPRISE (JRE).",8589,,,,,,,
"IGF;;OT;;IGF
MODIFICATION TO EXTEND PHASE 1 PERIOD OF PERFORMANCE.",8590,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND CLINS 0013 AND 0014.,8591,,,,,,,
COMBINING MEASUREMENT AND FORECASTING TECHNOLOGIES FOR OPTIMIZATION OF FIS AREAS FOR ALL STAKEHOLDERS(PHASE 1),8592,,,,,,,
RIDIVALT  REMOTE ID VERIFICATION FOR ACCELERATED LAND BORDER TRANSIT(PHASE 3),8593,,,,,,,
"IGF::OT::IGF
THE PRINCIPLE PURPOSE OF THIS OTA IS TO PROVIDE DRAGONEYE STABILIZED MICRO EO/IR CAMERA SYSTEMS FOR SMALL UNMANNED AERIAL SYSTEMS (SUAS) IN SUPPORT OF THE DEFENSE INNOVATION UNIT (DIU).",8594,UAS,TRUE,,,,,TRUE
"IGF::OT::IGF
THE PURPOSE OF THIS MODIFICATION IS TO SWAP THE FUNDING",8595,,,,,,,
SECURE UNMANNED AERIAL SYSTEMS FLIGHT CONTROLLER (SUFC (PHASE 4),8596,UAS,TRUE,,,,,TRUE
IOT SECURE TRUST ANCHOR (PHASE 4),8597,,,,,,,
AIR FORCE PUBLICATIONS REDUCTION PROTOTYPE,8598,,,,,,,
AIR FORCE PUBLICATIONS REDUCTION EFFORT,8599,,,,,,,
IT AND TELECOM - OTHER IT AND TELECOMMUNICATIONS,8600,,,,,,,
"OTA FOR PROTOTYPE, COMBAT HELMET PROTOTYPE.",8601,,,,,,,
"ADD CLIN 0004 FOR $28,796.30 AND FUNDING $304,572.00",8602,,,,,,,
EXTEND THE COMPLETION DATE.,8603,,,,,,,
AIR FORCE PUBLICATIONS REDUCTION,8604,,,,,,,
PROTOTYPE GLIDER DEVELOPMENT,8605,,,,,,,
PILOT ARRAY DEVELOPMENT AND DEMONSTRATION,8606,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE WAWF PAYMENT ARTICLE.,8607,,,,,,,
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO FURTHER REVISE THE INVOICING INSTRUCTIONS TO UPDATE DODAACS.,8608,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE PAY OFFICE AND
AGREEMENTS OFFICER'S EMAIL IN PAYMENT TERMS.",8609,,,,,,,
"IGF::OT::IGF
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE PAY OFFICE AND
AGREEMENTS OFFICER'S EMAIL IN PAYMENT TERMS.",8610,,,,,,,
CHANGE THE LANGUAGE IN THE SOW.,8611,,,,,,,
CLIN 0010 FUNDING,8612,,,,,,,
REVISE MILESTONES 4 AND 5 AT NO COST,8613,,,,,,,
REVISE MILESTONE 4 AT NO COST,8614,,,,,,,
PROTOTYPE HUD,8615,,,,,,,
METEODRONE UNMANNED AERIAL DRONE,8616,UAS,TRUE,,,,,TRUE
CORRECT TYPOGRAPHICAL ERROR.,8617,,,,,,,
PROTOTYPE SHELTERS,8618,,,,,,,
YEAR ONE PROTOTYPE SHELTER DEVELOPMENT,8619,,,,,,,
INCORPORATE SECURITY AND REDUCE CLIN 0001 VALUE.,8620,,,,,,,
A PROTOTYPE SUB-THESHOLD ARM CORTEX-M0 MICROCONTROLLER FOR NEAR-ZERO POWER SENSORS,8621,,,,,,,
REALIGN FUNDING FOR CHANGES BETWEEN CLINS,8622,,,,,,,
POP EXTENSION AND INCLUSION OF ITERATIVE PROTOTYPING LANGUAGE IN TO AGREEMENT,8623,,,,,,,
INCREMENTAL FUNDING.,8624,,,,,,,
PERSISTENT ACOUSTIC DETECTION THROUGH REEF ECOLOGICAL SOUNDSCAPES (PADRES) PROTOTYPE,8625,,,,,,,
IGF::OT::IGF INCORPORATE MILESTONES 4.4.13-4.4.15 FOR MEDIUM SAR IMAGERY AND EXTEND POP BY SIX MONTHS,8626,,,,,,,
$450K MODIFICATION,8627,,,,,,,
NO COST EXTENSION.,8628,,,,,,,
"PROTOTYPE PASSIVE UNDERWATER ACOUSTIC SENSOR AND DATA ACQUISITION SYSTEM FOR AN ANTISUBMARINE WARFARE
(ASW) MARITIME MINE USING NON-DEVELOPMENTAL SENSOR ELEMENTS IN A UNIQUE CONFIGURATION TO ACHIEVE SPECIFIC
PERFORMANCE GOALS",8629,,,,,,,
