"Fiscal Year","Contracting Agency ID","Contracting Agency Name","Product or Service Code","Product or Service Description","Base and All Options Value (Total Contract Value)"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AR75","R&D- SPACE: COMMERCIAL PROGRAMS (OPERATIONAL SYSTEMS DEVELOPMENT)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$0.00"
"2019","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","$0.00"
"2019","9776","USTRANSCOM","D302","IT AND TELECOM- SYSTEMS DEVELOPMENT","$127,010,688.52"
"2019","97AD","IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE","AC15","R&D- DEFENSE SYSTEM: AIRCRAFT (OPERATIONAL SYSTEMS DEVELOPMENT)","$12,946,045.00"
"2019","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AC92","R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$979,340.00"
"2019","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$58,105,602.00"
"2019","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$75,899,913.00"
"2019","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$262,656,457.35"
"2019","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$0.00"
"2019","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$48,879,895.00"
"2019","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","AC61","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)","$8,788,731.43"
"2019","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","$2,999,004.72"
"2019","97AS","DEFENSE LOGISTICS AGENCY","R499","SUPPORT- PROFESSIONAL: OTHER","$600,000.00"
"2019","97AV","DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY","R499","SUPPORT- PROFESSIONAL: OTHER","$75,882,758.62"
"2019","97CY","U.S. CYBER COMMAND","7030","INFORMATION TECHNOLOGY SOFTWARE","$1,524,448.68"
"2019","97CY","U.S. CYBER COMMAND","D302","IT AND TELECOM- SYSTEMS DEVELOPMENT","$4,405,304.80"
"2019","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)","$47,146,679.64"
"2019","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$450,125,087.90"
"2019","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","AZ15","R&D- OTHER RESEARCH AND DEVELOPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","$22,243,109.48"
"2019","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","AZ17","R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED)","$360,000.00"
"2019","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","$7,405,488.00"
"2019","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$152,500.00"
"2019","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$6,250,000.00"
"2019","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","AZ15","R&D- OTHER RESEARCH AND DEVELOPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","$4,536,470.00"
"2019","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","$7,019,055.94"
"2020","1406","DEPARTMENTAL OFFICES","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$97,476,906.82"
"2020","1406","DEPARTMENTAL OFFICES","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2020","1700","DEPT OF THE NAVY","1005","GUNS, THROUGH 30MM","$9,979,768.81"
"2020","1700","DEPT OF THE NAVY","1240","OPTICAL SIGHTING AND RANGING EQUIPMENT","($1.00)"
"2020","1700","DEPT OF THE NAVY","1340","ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS","$68,357,422.92"
"2020","1700","DEPT OF THE NAVY","1367","TACTICAL SETS, KITS, AND OUTFITS","$194,068.63"
"2020","1700","DEPT OF THE NAVY","1425","GUIDED MISSILE SYSTEMS, COMPLETE","$21,294,598.80"
"2020","1700","DEPT OF THE NAVY","1550","UNMANNED AIRCRAFT","$1,848,830.42"
"2020","1700","DEPT OF THE NAVY","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS","$3,217,054.74"
"2020","1700","DEPT OF THE NAVY","2330","TRAILERS","$59,778.94"
"2020","1700","DEPT OF THE NAVY","5865","ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT","$4,202,553.19"
"2020","1700","DEPT OF THE NAVY","5998","ELECTRICAL AND ELECTRONIC ASSEMBLIES, BOARDS, CARDS, AND ASSOCIATED HARDWARE","$274,966.92"
"2020","1700","DEPT OF THE NAVY","6115","GENERATORS AND GENERATOR SETS, ELECTRICAL","$749,000.00"
"2020","1700","DEPT OF THE NAVY","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$1,575,000.00"
"2020","1700","DEPT OF THE NAVY","6615","AUTOMATIC PILOT MECHANISMS AND AIRBORNE GYRO COMPONENTS","$17,150,978.36"
"2020","1700","DEPT OF THE NAVY","6625","ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS","$4,128,153.43"
"2020","1700","DEPT OF THE NAVY","6910","TRAINING AIDS","$9,597,490.21"
"2020","1700","DEPT OF THE NAVY","7010","INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION","$48,865,321.74"
"2020","1700","DEPT OF THE NAVY","7030","INFORMATION TECHNOLOGY SOFTWARE","$400,459.00"
"2020","1700","DEPT OF THE NAVY","8465","INDIVIDUAL EQUIPMENT","$2,408,235.00"
"2020","1700","DEPT OF THE NAVY","AC14","R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)","$3,965,275.37"
"2020","1700","DEPT OF THE NAVY","AC24","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT)","$0.00"
"2020","1700","DEPT OF THE NAVY","AC53","R&D- DEFENSE SYSTEM: WEAPONS (ADVANCED DEVELOPMENT)","$32,383,123.44"
"2020","1700","DEPT OF THE NAVY","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$5,951,921.07"
"2020","1700","DEPT OF THE NAVY","AC63","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)","$44,803,009.01"
"2020","1700","DEPT OF THE NAVY","AC64","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","$8,629,616.68"
"2020","1700","DEPT OF THE NAVY","AC65","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","$14,855,574.27"
"2020","1700","DEPT OF THE NAVY","AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)","$0.00"
"2020","1700","DEPT OF THE NAVY","AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","$116,999,876.77"
"2020","1700","DEPT OF THE NAVY","AD26","R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT)","$1,853,431.00"
"2020","1700","DEPT OF THE NAVY","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$364,826,255.79"
"2020","1700","DEPT OF THE NAVY","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$11,845,013.14"
"2020","1700","DEPT OF THE NAVY","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$3,633,810.00"
"2020","1700","DEPT OF THE NAVY","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$34,177,414.05"
"2020","1700","DEPT OF THE NAVY","AT33","R&D- OTHER TRANSPORTATION: NAVIGATION AND NAVIGATIONAL AIDS (ADVANCED DEVELOPMENT)","$199,892.49"
"2020","1700","DEPT OF THE NAVY","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$3,033,774.00"
"2020","1700","DEPT OF THE NAVY","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","$1,404,900.00"
"2020","1700","DEPT OF THE NAVY","D305","IT AND TELECOM - TELEPROCESSING, TIMESHARE, CLOUD COMPUTING, AND HIGH PERFORMANCE COMPUTING","$3,779,957.90"
"2020","1700","DEPT OF THE NAVY","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","$1,968,547.77"
"2020","1700","DEPT OF THE NAVY","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","$58,167,357.69"
"2020","1700","DEPT OF THE NAVY","R415","SUPPORT- PROFESSIONAL: TECHNOLOGY SHARING/UTILIZATION","$0.00"
"2020","1700","DEPT OF THE NAVY","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","$103,276.00"
"2020","1700","DEPT OF THE NAVY","R499","SUPPORT- PROFESSIONAL: OTHER","$0.00"
"2020","1700","DEPT OF THE NAVY","R799","SUPPORT- MANAGEMENT: OTHER","$0.00"
"2020","1700","DEPT OF THE NAVY","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES","$0.00"
"2020","2100","DEPT OF THE ARMY","1005","GUNS, THROUGH 30MM","$7,965,019.94"
"2020","2100","DEPT OF THE ARMY","1025","GUNS, OVER 150MM THROUGH 200MM","$9,954.60"
"2020","2100","DEPT OF THE ARMY","1090","ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES","$371,399.00"
"2020","2100","DEPT OF THE ARMY","1095","MISCELLANEOUS WEAPONS","$17,732,178.38"
"2020","2100","DEPT OF THE ARMY","1240","OPTICAL SIGHTING AND RANGING EQUIPMENT","$0.00"
"2020","2100","DEPT OF THE ARMY","1290","MISCELLANEOUS FIRE CONTROL EQUIPMENT","$49,200.00"
"2020","2100","DEPT OF THE ARMY","1305","AMMUNITION, THROUGH 30MM","$2,642,658.40"
"2020","2100","DEPT OF THE ARMY","1310","AMMUNITION, OVER 30MM UP TO 75MM","$2,261,759.38"
"2020","2100","DEPT OF THE ARMY","1386","UNDERWATER USE EXPLOSIVE ORDNANCE DISPOSAL AND SWIMMER WEAPONS SYSTEMS TOOLS AND EQUIPMENT","$6,756,835.64"
"2020","2100","DEPT OF THE ARMY","1395","MISCELLANEOUS AMMUNITION","$0.00"
"2020","2100","DEPT OF THE ARMY","1410","GUIDED MISSILES","$0.00"
"2020","2100","DEPT OF THE ARMY","1420","GUIDED MISSILE COMPONENTS","$384,238,000.00"
"2020","2100","DEPT OF THE ARMY","1520","AIRCRAFT, ROTARY WING","$2,537,782.00"
"2020","2100","DEPT OF THE ARMY","1725","SPACE VEHICLE LAUNCHERS","$0.00"
"2020","2100","DEPT OF THE ARMY","3424","METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT","$16,950.00"
"2020","2100","DEPT OF THE ARMY","4230","DECONTAMINATING AND IMPREGNATING EQUIPMENT","$900,000.00"
"2020","2100","DEPT OF THE ARMY","5810","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS","$600,000.00"
"2020","2100","DEPT OF THE ARMY","5895","MISCELLANEOUS COMMUNICATION EQUIPMENT","$7,910,374.75"
"2020","2100","DEPT OF THE ARMY","6140","BATTERIES, RECHARGEABLE","$2,437,731.00"
"2020","2100","DEPT OF THE ARMY","6605","NAVIGATIONAL INSTRUMENTS","$3,996,647.00"
"2020","2100","DEPT OF THE ARMY","6660","METEOROLOGICAL INSTRUMENTS AND APPARATUS","$0.00"
"2020","2100","DEPT OF THE ARMY","6810","CHEMICALS","$769,000.00"
"2020","2100","DEPT OF THE ARMY","6910","TRAINING AIDS","$87,917,741.57"
"2020","2100","DEPT OF THE ARMY","7030","INFORMATION TECHNOLOGY SOFTWARE","$46,432,131.25"
"2020","2100","DEPT OF THE ARMY","9330","PLASTICS FABRICATED MATERIALS","($2,673.95)"
"2020","2100","DEPT OF THE ARMY","AC12","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2020","2100","DEPT OF THE ARMY","AC14","R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)","$13,077,850.00"
"2020","2100","DEPT OF THE ARMY","AC21","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (BASIC RESEARCH)","$1,520,691.00"
"2020","2100","DEPT OF THE ARMY","AC23","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)","$37,976,614.00"
"2020","2100","DEPT OF THE ARMY","AC41","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH)","$0.00"
"2020","2100","DEPT OF THE ARMY","AC43","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ADVANCED DEVELOPMENT)","$89,767,822.41"
"2020","2100","DEPT OF THE ARMY","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","$2,815,859,206.43"
"2020","2100","DEPT OF THE ARMY","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$59,687,437.46"
"2020","2100","DEPT OF THE ARMY","AC64","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","$25,763,143.68"
"2020","2100","DEPT OF THE ARMY","AC66","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (MANAGEMENT/SUPPORT)","$0.00"
"2020","2100","DEPT OF THE ARMY","AC94","R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ENGINEERING DEVELOPMENT)","$0.00"
"2020","2100","DEPT OF THE ARMY","AC95","R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (OPERATIONAL SYSTEMS DEVELOPMENT)","$0.00"
"2020","2100","DEPT OF THE ARMY","AD13","R&D- DEFENSE OTHER: AMMUNITION (ADVANCED DEVELOPMENT)","$37,324,882.31"
"2020","2100","DEPT OF THE ARMY","AD14","R&D- DEFENSE OTHER: AMMUNITION (ENGINEERING DEVELOPMENT)","$10,957,795.19"
"2020","2100","DEPT OF THE ARMY","AD17","R&D- DEFENSE OTHER: AMMUNITION (COMMERCIALIZED)","$26,152.48"
"2020","2100","DEPT OF THE ARMY","AD22","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$3,474,453.95"
"2020","2100","DEPT OF THE ARMY","AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","$5,539,688,300.25"
"2020","2100","DEPT OF THE ARMY","AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)","$21,690,374.00"
"2020","2100","DEPT OF THE ARMY","AD25","R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)","$12,914,428.67"
"2020","2100","DEPT OF THE ARMY","AD91","R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)","$1,499,676,855.91"
"2020","2100","DEPT OF THE ARMY","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$3,009,116.00"
"2020","2100","DEPT OF THE ARMY","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$17,500,991.15"
"2020","2100","DEPT OF THE ARMY","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$297,993,034.59"
"2020","2100","DEPT OF THE ARMY","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","($300,000.00)"
"2020","2100","DEPT OF THE ARMY","AE13","R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (ADVANCED DEVELOPMENT)","$81,710,822.17"
"2020","2100","DEPT OF THE ARMY","AJ13","R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ADVANCED DEVELOPMENT)","$0.00"
"2020","2100","DEPT OF THE ARMY","AJ25","R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)","$8,768,657.37"
"2020","2100","DEPT OF THE ARMY","AJ41","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (BASIC RESEARCH)","$0.00"
"2020","2100","DEPT OF THE ARMY","AJ53","R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (ADVANCED DEVELOPMENT)","$0.00"
"2020","2100","DEPT OF THE ARMY","AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)","$255,000.00"
"2020","2100","DEPT OF THE ARMY","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$561,149,019.25"
"2020","2100","DEPT OF THE ARMY","AN13","R&D- MEDICAL: BIOMEDICAL (ADVANCED DEVELOPMENT)","$54,081,640.00"
"2020","2100","DEPT OF THE ARMY","AN14","R&D- MEDICAL: BIOMEDICAL (ENGINEERING DEVELOPMENT)","$26,621,203.00"
"2020","2100","DEPT OF THE ARMY","AN93","R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)","$263,903,695.87"
"2020","2100","DEPT OF THE ARMY","AN94","R&D- MEDICAL: OTHER (ENGINEERING DEVELOPMENT)","$21,815,658.90"
"2020","2100","DEPT OF THE ARMY","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$46,479,666.20"
"2020","2100","DEPT OF THE ARMY","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$103,168,540.15"
"2020","2100","DEPT OF THE ARMY","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$5,689,318.26"
"2020","2100","DEPT OF THE ARMY","AZ14","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","$78,288,074.74"
"2020","2100","DEPT OF THE ARMY","AZ15","R&D- OTHER RESEARCH AND DEVELOPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","$193,725,756.00"
"2020","2100","DEPT OF THE ARMY","B504","SPECIAL STUDIES/ANALYSIS- CHEMICAL/BIOLOGICAL","$6,870,929.42"
"2020","2100","DEPT OF THE ARMY","B541","SPECIAL STUDIES/ANALYSIS- DEFENSE","$12,139,410.99"
"2020","2100","DEPT OF THE ARMY","B599","SPECIAL STUDIES/ANALYSIS- OTHER","$3,932,386.02"
"2020","2100","DEPT OF THE ARMY","D302","IT AND TELECOM- SYSTEMS DEVELOPMENT","$46,663,514.62"
"2020","2100","DEPT OF THE ARMY","D306","IT AND TELECOM- SYSTEMS ANALYSIS","$11,598,709.27"
"2020","2100","DEPT OF THE ARMY","K070","MODIFICATION OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","$0.00"
"2020","2100","DEPT OF THE ARMY","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","$37,526,459.04"
"2020","2100","DEPT OF THE ARMY","R499","SUPPORT- PROFESSIONAL: OTHER","$188,966,966.48"
"2020","2100","DEPT OF THE ARMY","T014","PHOTO/MAP/PRINT/PUBLICATION- TOPOGRAPHY","$550,000.00"
"2020","2100","DEPT OF THE ARMY","V126","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH","$1,500,000.00"
"2020","5700","DEPT OF THE AIR FORCE","1510","AIRCRAFT, FIXED WING","$70,280,900.00"
"2020","5700","DEPT OF THE AIR FORCE","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS","$0.00"
"2020","5700","DEPT OF THE AIR FORCE","2310","PASSENGER MOTOR VEHICLES","$1,339,748.00"
"2020","5700","DEPT OF THE AIR FORCE","2845","ROCKET ENGINES AND COMPONENTS","$544,677.00"
"2020","5700","DEPT OF THE AIR FORCE","5826","RADIO NAVIGATION EQUIPMENT, AIRBORNE","$223,223.00"
"2020","5700","DEPT OF THE AIR FORCE","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE","$1,985,005.11"
"2020","5700","DEPT OF THE AIR FORCE","7030","INFORMATION TECHNOLOGY SOFTWARE","$139,710,339.81"
"2020","5700","DEPT OF THE AIR FORCE","8475","SPECIALIZED FLIGHT CLOTHING AND ACCESSORIES","$14,000,000.00"
"2020","5700","DEPT OF THE AIR FORCE","9999","MISCELLANEOUS ITEMS","$19,500.00"
"2020","5700","DEPT OF THE AIR FORCE","AC12","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$44,281,385.00"
"2020","5700","DEPT OF THE AIR FORCE","AC14","R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)","$0.00"
"2020","5700","DEPT OF THE AIR FORCE","AC22","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$1,261,378,764.96"
"2020","5700","DEPT OF THE AIR FORCE","AC52","R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$23,851,384.10"
"2020","5700","DEPT OF THE AIR FORCE","AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$81,348,816.00"
"2020","5700","DEPT OF THE AIR FORCE","AC67","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (COMMERCIALIZED)","$15,849,672.00"
"2020","5700","DEPT OF THE AIR FORCE","AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)","$5,807,746.00"
"2020","5700","DEPT OF THE AIR FORCE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$201,844,743.98"
"2020","5700","DEPT OF THE AIR FORCE","AN95","R&D- MEDICAL: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$422,312.21"
"2020","5700","DEPT OF THE AIR FORCE","AR75","R&D- SPACE: COMMERCIAL PROGRAMS (OPERATIONAL SYSTEMS DEVELOPMENT)","$0.00"
"2020","5700","DEPT OF THE AIR FORCE","AR94","R&D- SPACE: OTHER (ENGINEERING DEVELOPMENT)","$697,272.03"
"2020","5700","DEPT OF THE AIR FORCE","AZ15","R&D- OTHER RESEARCH AND DEVELOPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","$1,000,000.00"
"2020","5700","DEPT OF THE AIR FORCE","D305","IT AND TELECOM - TELEPROCESSING, TIMESHARE, CLOUD COMPUTING, AND HIGH PERFORMANCE COMPUTING","$22,678,258.00"
"2020","5700","DEPT OF THE AIR FORCE","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","$109,150,000.00"
"2020","5700","DEPT OF THE AIR FORCE","D325","IT AND TELECOM- DATA CENTERS AND STORAGE","$145,173,900.05"
"2020","5700","DEPT OF THE AIR FORCE","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","$9,999,999.98"
"2020","5700","DEPT OF THE AIR FORCE","J010","MAINT/REPAIR/REBUILD OF EQUIPMENT- WEAPONS","$572,000.00"
"2020","5700","DEPT OF THE AIR FORCE","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","$98,567,402.00"
"2020","5700","DEPT OF THE AIR FORCE","U013","EDUCATION/TRAINING- COMBAT","$10,021,000.91"
"2020","5700","DEPT OF THE AIR FORCE","U099","EDUCATION/TRAINING- OTHER","$403,591.41"
"2020","7001","OFFICE OF PROCUREMENT OPERATIONS","AJ42","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2020","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$0.00"
"2020","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$9,684,251.71"
"2020","7001","OFFICE OF PROCUREMENT OPERATIONS","Q402","MEDICAL- NURSING HOME CARE CONTRACTS","$45,619,499.64"
"2020","7013","TRANSPORTATION SECURITY ADMINISTRATION","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$3,963,481.03"
"2020","7013","TRANSPORTATION SECURITY ADMINISTRATION","B599","SPECIAL STUDIES/ANALYSIS- OTHER","$0.00"
"2020","7013","TRANSPORTATION SECURITY ADMINISTRATION","C1BE","ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS","$67,199,826.08"
"2020","7013","TRANSPORTATION SECURITY ADMINISTRATION","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","$6,463,251.95"
