Description_of_Requirement,second,descrip_row_number
LAUNCHER  PROTOTYPE,Second,9475
PROTOTYPE WIFI DETECTION SYSTEM,Second,9476
"BENCHMARKS FOR EVALUATING ADVERSARIAL ML ROBUSTNESS
A SYSTEMATIC CONSTRUCTION OF ADAPTIVE EVALUATIONS FOR ML SYSTEMS",Second,9477
"BENCHMARKS FOR EVALUATING ADVERSARIAL ML ROBUSTNESS A SYSTEMATIC
CONSTRUCTION OF ADAPTIVE EVALUATIONS FOR ML SYSTEMS",Second,9478
IGF::OT::IGF TO ADD AND FUND MILESTONE 21.,Second,9479
IGF::OT::IGF FUND MILESTONE 18 AND EXTEND POP,Second,9480
SBIR PHASE II DEVELOPMENT AND PROTOTYPE - NO COST 90-DAY EXTENSION AND CORRECT THE CONTRACTOR'S ADDRESS AT THE BASE CONTRACT LEVEL AS THIS WAS INADVERTENTLY OVERLOOK IN THE PREPARATION OF P00001.,Second,9481
IG::OT::IG OTA AWARD FOR BLUE UAS ARCHITECTURE 2.0 WITH IMMERVISION,Second,9482
SEA TRAIN PHASE 1 AND 2,Second,9483
GEO-TRAIT'S RESULTING MODEL WILL ENABLE A HIGHER-LEVEL UNDERSTANDING OF POPULATIONS FOR WHICH WE HAVE LITTLE EXPLICIT DATA ON THEIR VIEWS.,Second,9484
ROUND IV IN-SCOPE EXPANSION,Second,9485
IGF::OT::IGF TO FUND MILESTONES 12 AND 13,Second,9486
ARTICULATED RESISTANCE MINIMIZED AUTONOMOUS DEPLOYMENT ASSET (ARMADA),Second,9487
"""COVID-19"" PROTOTYPE: MONOCLONAL ANTIBODY (MAB) THERAPEUTICS INFUSION CAPACITY FOR COVID-19",Second,9488
DEFINITIZED LETTER AGREEMENT AND PROVIDED INCREMENTAL FUNDING.,Second,9489
POTA-MAB THERAPEUTICS INFUSION CAPACITY_,Second,9490
"""COVID-19""
NO COST EXTENSION FOR 30 DAYS",Second,9491
"""COVID-19""
NO COST EXTENSION.",Second,9492
ROUND IV IN-SCOPE MODIFICATION,Second,9493
CDM SOFTWARE PHOTOTYPE,Second,9494
"COVID-19 DIB DOD 20.R SBIR CSO, TOPIC #AF20R-DCSO1 RESEARCH AND DEVELOPMENT OF NANO DISPLAY FABRICATION USING WAFER TO WAFER BONDING",Second,9495
IGF::OT:IGF EXTEND PERIOD OF PERFORMANCE BY TWO MONTHS.,Second,9496
POINT-OF-INJURY REBOA THROUGH REAL-TIME SENSING AND ADAPTIVE BLEEDING CONTROL AND RESUSCITATION,Second,9497
"BLACKJACK PROGRAM, BLACKJACK WILL DEVELOP AND
DEMONSTRATE A LOW EARTH ORBIT CONSTELLATION THAT PROVIDES GLOBAL PERSISTENT COVERAGE.",Second,9498
"BLACKJACK PROGRAM TRACK B PHASE 2, BLACKJACK WILL DEVELOP AND
DEMONSTRATE A LOW EARTH ORBIT CONSTELLATION THAT PROVIDES GLOBAL PERSISTENT COVERAGE.",Second,9499
"BLACKJACK PROGRAM TRACK B PHASE 2, BLACKJACK WILL DEVELOP AND DEMONSTRATE A LOW EARTH ORBIT CONSTELLATION THAT PROVIDES GLOBAL PERSISTENT COVERAGE.",Second,9500
IGF::OT::IGF ADD MILESTONES FOR THE INCLUSION OF A STUDY ON BEHALF OF THE MISSILE DEFENSE AGENCY (MDA) TO THE PROJECT.,Second,9501
"""COVID-19"" PROJECT 20-03, PROCUREMENT, COMMISSIONING AND  QUALIFICATION OF TWO 300 L SINGLE-USE FERMENTORS AT THE DOD ADM FACILITY",Second,9502
"""COVID-19""-FUNDING UNDER PROJECT 20-03 PROCUREMENT, COMMISSIONING AND QUALIFICATION OF TWO 300 L SINGLE-USE FERMENTORS AT THE
DOD ADM FACILITY",Second,9503
"""COVID-19"" PROJECT ORDER 20-04 RAPID PRODUCTION OF MONOCLONAL ANTIBODIES AS MEDICAL
COUNTERMEASURES AGAINST COVID&#8208;19,",Second,9504
"SCEC-18-0004, PERFORMANCE",Second,9505
DEVELOPMENT OF THE US NAVY'S UNDERSEA WEAPON SYSTEMSOTA BASIC,Second,9506
FUEL CUTOFF VALVE,Second,9507
AIR-LAUNCHED RESCUE PACKAGE DELIVERY SYSTEM,Second,9508
"CONTROL OF REVOLUTIONARY AIRCRAFT WITH NOVEL EFFECTORS (CRANE)
PHASE 0 - CONCEPT DESIGN",Second,9509
ELECTRONIC VEHICLE SECURITY SYSTEM,Second,9510
GAMMA RAY INSPECTION TECHNOLOGY (GRIT),Second,9511
"IGF::OT::IGF THE PURPOSE OF THIS MOD IS TO INCORPORATE
MODIFICATIONS TO THE SOW FOR PLATFORM 3 IN THE AMOUNT OF
$1,499,049, INCREASING TOTAL VALUE OF THIS TRANSACTION TO
$3,779,049. THIS MODIFICATION ALSO EXTENDS THE POP FOR PLATFORM 3 BY 18 MONTHS",Second,9512
"IGF::OT::IGF THE PURPOSE OF THIS MOD IS TO FUND DELIVERABLE 3 IN THE AMOUNT OF $849,831, INCREASING TOTAL AMOUNT OF THIS TRANSACTION TO $4,628,880",Second,9513
"IGF::OT::IGF THE PURPOSE OF THIS MOD IS TO INCREMENTALLY FUND MILESTONE 5 (5A) IN THE AMOUNT OF $480,800, INCREASING TOTAL AMOUNT OF THIS TRANSACTION TO $5,109,680",Second,9514
"IGF::OT::IGF THE PURPOSE OF THIS MOD IS TO INCREMENTALLY FUND
MILESTONE 5 (5B) IN THE AMOUNT OF $269,200, INCREASING TOTAL
AMOUNT OF THIS TRANSACTION TO $5,378,880",Second,9515
"IGF::OT::IGF THE PURPOSE OF THIS MOD IS TO INCREMENTALLY FUND
MILESTONE 5 (5) IN THE AMOUNT OF $750,000, INCREASING TOTAL
AMOUNT OF THIS TRANSACTION TO $6,128,880",Second,9516
PROJECT 20-05,Second,9517
RESPONSIVE LAUNCH II AOI IN SUPPORT OF DEFENSE INNOVATION UNIT,Second,9518
COMPOUND EYE OTA,Second,9519
NEXT GENERATION CYBER INFRASTRUCTURE (NGCI) APEX PROGRAM.  THE GOAL OF THE NGCI APEX PROGRAM IS TO PROVIDE THE FINANCE SECTOR WITH TOOLS AND TECHNOLOGY TO MEET THEIR CYBER REQUIREMENTS.,Second,9520
THE PURPOSE OF MODIFICATION P00001 IS TO ADD LANGUAGE INTO SECTION 3.2.1 OF ATTACHMENT 1 TO THE OTA.  THIS MODIFICATION DOES NOT CHANGE THE FUNDED VALUE OF THE OTA.,Second,9521
"""COVID-19""
ADDITIONAL COST, SCHEDULE AND PERFORMANCE DUE TO FDA REQUIREMENTS.",Second,9522
IGF::OT::IGF FUND MILESTONE 16,Second,9523
SITATION AWARENESS BOUNDARY ENFORECEMENT AND RESPONSE COPPER TAP AND AGGREGATER UNIT,Second,9524
NO COST EXTENSION AND FUNDING REALIGNMENT.,Second,9525
IGF::OT::IGF FULLY FUND PHASE 2C,Second,9526
"OFFENSIVE SWARM ENABLED TACTICS SWARM SPRINT 5 (OFFSET)

EO14042",Second,9527
EO14042 GRAPH THEORY - MILESTONE 1,Second,9528
MISSION ELECTRONICS SUBSYSTEM (MES) PROTOTYPE PROJECT,Second,9529
PROJECT SIMPSON,Second,9530
PHASE 1 (ME2021-0101) PYRACELL ROAD BUILDING SYSTEM (PRBS) FOR RAPID TRANSIT OF THE WARFIGHTER FORCE FROM NEARSHORE NAVAL VESSELS ACROSS THE SURF ZONE AND BEACH TO A COASTAL COMBAT ROAD,Second,9531
IGF::OT::IGF    REVISE SOW TO INCORPORATE FIVE OPTIONAL PROTOTYPE REQUIREMENTS.,Second,9532
ENHANCED 3D AUTONOMY AND THREAT DETECTIO,Second,9533
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION 4 & 5.,Second,9534
RESEARCH IAW OT FOR PROTOTYPE,Second,9535
RSCH IAW OT FOR PROTOTYPE - ADMINISTRATIVE MODIFICATION TO INCLUDE MIPR NUMBERS FOR ASSOCIATED PRS,Second,9536
RSCH IAW OT FOR PROTOTYPE HR0011942893,Second,9537
"RSCH IAW OT FOR PROTOTYPE HR0011942893
P00003 - INCORPORATE REV PAYMENT MILESTONE SCHEDULE",Second,9538
HH60W VIRTUAL REALITY MIXED REALITY OTHER TRANSISTOR,Second,9539
HH60W VIRTUAL REALITY-MIXED REALITY OTHER TRANSACTION AGREEMENT-PROTOTYPE,Second,9540
"PROVIDE HH-60W_USAF INSTALLER (IETM) AS GOVERNMENT FURNISHED
INFORMATION.",Second,9541
TREBUCHET IN RESPONSE TO THE DATA PROTECTION IN VIRTUAL ENVIRONMENTS (DPRIVE) BAA,Second,9542
"TREBUCHET
IN RESPONSE TO THE DATA PROTECTION IN VIRTUAL ENVIRONMENTS (DPRIVE) BAA
HR001120S0032, IN SUPPORT OF THE ELECTRONICS RESURGENCE INITIATIVE (ERI)
INITIATIVE",Second,9543
"TREBUCHET IN RESPONSE TO THE DATA PROTECTION IN VIRTUAL ENVIRONMENTS (DPRIVE) BAA HR001120S0032, IN SUPPORT OF THE ELECTRONICS RESURGENCE INITIATIVE (ERI) INITIATIVE",Second,9544
PROTOTYPE BOOTS.,Second,9545
OTAP PROTOTYPE DESIGN MALE 10 R,Second,9546
"GUIDED AQUATIC MINIATURE MAGNETOMETER ARRAY
(GAMMA)",Second,9547
COMMERCIAL SOLUTIONS OPENING (CSO) FOR DATA LABELING AND DATA READINESS AGAINST CSO ANNOUNCEMENT W52P1J-21-S-CJKE,Second,9548
PORTABLE SYSTEM FOR AUDITORY SITUATIONAL AWARENESS ASSESSMENT AND TRAINING,Second,9549
PORTABLE SYSTEM FOR AUDITORY SITUATIONAL AWARENESS ASSESSMENT AND TRAINING. MOD 01: ADMIN,Second,9550
"PROTOTYPE OF MULTI-THREAT TORSO PLATES FOR SOLDIER
PROTECTION",Second,9551
BASE POTA,Second,9552
GAMMA RAY INSPECTION TECHNOLOGY (GRIT).  PERIOD OF PERFORMANCE EXTENSION DUE TO COVID-19.,Second,9553
ESPM SW ANALYSIS SUITE DEVELOPMENT,Second,9554
"120MM HERO TANK PRIMERS.  CHANGE THE DELIVERY ADDRESS
FOR THE 523 2-PIECE THICK WALL HERO PRIMERS FROM ABERDEEN PROVING GROUNDS (APG) TO GENERAL DYNAMICS
ORDNANCE AND TACTICAL SYSTEMS (GD-OTS), MARION, IL.",Second,9555
THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE INCREMENTAL FUNDING UNDER TASK 9.,Second,9556
"THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE INCREMENTAL FUNDING UNDER TASK 13 - MILESTONES 1, 2 AND 3.",Second,9557
PROTOTYPE CONTAINERIZED ICE MAKING SYSTEM.,Second,9558
"""COVID-19""
CORRECT DELIVERY DATES.",Second,9559
"""COVID-19""
FUNDING DEOBLIGATION",Second,9560
"""COVID-19""
ADDITIONAL OLOGY PHASE II.",Second,9561
"PROTOTYPE PROJECT AWARDED UNDER THE DEFENSE INNOVATION UNIT
(DIU) AREA OF INTEREST(AOI)DISMOUNTED ASSURED POSITIONING,
NAVIGATION, AND TIMING (PNT) SYSTEM (DAPS).",Second,9562
PROTOTYPE OTA BOOTS.,Second,9563
MOBILE RADIO FREQUENCY (RF)-INTEGRATED UNMANNED AIRCRAFT SYSTEM (UAS) SUPPRESSOR (MORFIUS),Second,9564
MOBILE RADIO FREQUENCY (RF) INTEGRATED UNMANNED AIRCRAFT SYSTEM (UAS) SUPPRESSOR (MORFIUS),Second,9565
MOBILE RADIO FREQUENCY INTEGRATED UNMANNED AIRCRAFT SYSTEM SUPPRESSOR,Second,9566
"SCEC-18-0006, PHASES 2A, 2B, 3B, 5,6 & 7",Second,9567
"DESIGN VEHICLE BODY/PAYLOAD SECTIWNS THAT WILL SURVIVE FULL OCEAN DEPTH PRESSURES (6000M), WITH AN UNSUPPORTED INTERNAL LENGTH WF 50 INCH, WITH NUMINAL WATER DIAMETER (OD)",Second,9568
PHYSICS-BASED PLATFORM DESIGN TOOLS,Second,9569
SBIR PH II SOCOM181 T3 6-MONTH NO COST EXTENSION DUE TO COVID,Second,9570
ADMINISTRATIVE CORRECTION.,Second,9571
ADDITIONAL PROTOYPE MATERIALS FOR TESTING AND EVALUATION.,Second,9572
IGF::OT::IGF UPDATE POP BY 5 MONTHS TO MAY 2022,Second,9573
IGF::OT::IGF INCORPORATE SOW. UPDATED SOW WAS MISSING FROM PREVIOUS MODIFICATION.,Second,9574
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE AND FUND PILOT 1 PHASE 4.,Second,9575
IGF::OT::IGF 6-MONTH NCE TO THE PERIOD OF PERFORMANCE,Second,9576
IGF::OT::IGF UPDATE PHASE 5,Second,9577
"INFRASTRUCTURE AND ENERGY TECHNOLOGY COMMERCIALIZATION, OPTION III",Second,9578
INCREMENTAL FUNDING OF OPTION III,Second,9579
MEASURING INFORMATION CONTROL ENVIRONMENT,Second,9580
HIGH-DYNAMIC-RANGE LARGE FORMAT DIGITAL PIXEL IMAGERS FOR AVIATION OTA.,Second,9581
PERFORMANCE,Second,9582
MODIFICATION ADDING FUNDING,Second,9583
"CHANGE ORDER FOR FOR INTEGRATION AND BUILD OF DEVICE DEVELOPED UNDER THE EXISTING DEVELOPMENT PROGRAM WITH EXISTING SYSTEMS FOR OPERATIONAL USE, REVISE SOW, REVISE  MILESTONE PAYMENT SCHEDULE, AND ADD INCREMENTAL FUNDS",Second,9584
COVID-19 DIB - A BLOCKCHAIN APPROACH FOR SUPPLY CHAIN ADDITIVE MANUFACTURING PARTS (BASECAMP) PROTOTYPE,Second,9585
"FUNDING MODIFICATION, PERFORMANCE",Second,9586
UPDATING SOW AND MILESTONES,Second,9587
FUNDING PERFORMANCE FOR MILESTONES 13 AND 17,Second,9588
MODULAR SOFTWARE RADIO PROGRAM DEVELOPMENT,Second,9589
IGF::OTA::IGF FUND MILESTONES 12-13,Second,9590
"APPLICATION OF OBFUSCATION (LOGIC LOCKING) TECHNIQUES ON THE
COMMON EVALUATION PLATFORM (CEP)  EO14042",Second,9591
COVID-19 DIB PERFORM RESEARCH AND DEVELOPMENT OF A SURROGATE UNMANNED AERIAL SYSTEM TO ASSIST WITH TRAINING WHEN OPERATIONAL ASSETS ARE UNAVAILABLE.,Second,9592
COVID-19 DIB - CARESTARTER PLATFORM FOR SCALING AND AUTOMATING CARE MANAGEMENT,Second,9593
SBIR PHASE II SOCOM 192-002 ADVANCED DECOMPRESSION PUMP FOR MANNED SUBMERSIBLES WITH A DIVER-LOCK CHAMBER,Second,9594
"COVID-19 DIB -SBIR PHASE II 19.3, TOPIC #AF193-CSO1 AWARD FOR BALLOON BASED AERIAL SENSING PLATFORM FOR ATMOSPHERIC DATA AND TARGETED WEATHER",Second,9595
"COVID-19 DIB - SBIR PHASE II 19.3, TOPIC #AF193-CSO1 AWARD FOR BALLOON BASED AERIAL SENSING PLATFORM FOR ATMOSPHERIC DATA AND TARGETED WEATHER",Second,9596
COVID-19 DIB DESIGN AND DEPLOY AGOLO PLATFORM TO ALLOW INCREASED CAPABILITIES TO BUILD KNOWLEDGE GRAPHS.,Second,9597
SBIR PHASE II SOCOM 21.1-D004 INTEGRATED CYBER AND ELECTRONIC WARFARE INFRASTRUCTURE PROTOTYPE DEVELOPMENT,Second,9598
SMALL TACTICAL UNMANNED AERIAL SYSTEM STANDARDIZATION OTA PROTOTYPE,Second,9599
FORM FIT FUNCTION REDESIGN OF THE A-10 CENTRAL INTERFACE CONTROL UNIT.,Second,9600
"FORM, FIT, FUNCTION REDESIGN OF THE A-10 CENTRAL INTERFACE CONTROL UNIT",Second,9601
"""COVID-19"" PROTOTYPE CLINICAL TRIAL, HUMIRA.",Second,9602
"""COVID*19""
STOP WORK ORDER FOR A PERIOD OF 30 DAYS PENDING FDA FEEDBACK.",Second,9603
"""COVID-19""
REDUCTION IN FUNDING IN PREPARATION FOR TERMINATION.",Second,9604
"NO COST EXTENSION OF CLINS 0001, 0002, 0011.",Second,9605
IGF::OT::IGF EXTEND POP BY 6 MONTHS AT NO COST TO GOVERNMENT,Second,9606
"NUWC, DIVISION KEYPORT RANGE RECAPITALIZATION PRO",Second,9607
IGF::OTA::IGF INCORPORATE ADDITIONAL TASKS FOR HIL INTEGRATION,Second,9608
EO14042 INNOVATIVE CONCEPTS THAT BENEFIT THE WARFIGHTER BY LEVERAGING DEEP LEARNING APPROACHES.,Second,9609
MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE END DATE FROM 24 NOVEMBER 2021 TO 01 JULY 2022 AT NO ADDITIONAL COST TO THE GOVERNMENT,Second,9610
MODIFICATION P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE END DATE FROM 24 NOVEMBER 2021 TO 01 JULY 2022 AT NO ADDITIONAL COST TO THE GOVERNMENT,Second,9611
IGF::OT::IGF INCREMENTAL FUNDING MOD FOR MILESTONES 19-21.,Second,9612
MODIFICATION P00002 IS TO INCORPORATE GOVERNMENT FURNISHED PROPERTY GFP - CUE TESTS,Second,9613
DECREASE FUNDING AND INCORPORATE GFP,Second,9614
DISTRIBUTED MARITIME OPERATIONS MODEL,Second,9615
"IGF::OT::IGF ADD MILESTONES FOR THE INCLUSION OF A STUDY ON
BEHALF OF THE MISSILE DEFENSE AGENCY (MDA) TO THE PROJECT.",Second,9616
QCUT: QUANTUM COMPILATION OF UNITARIES AND TENSORS,Second,9617
FUND SUB-AGREEMENT #2,Second,9618
BRADLEY HYBRID ELECTRIC VEHICLE (BHEV) POTA,Second,9619
R&D DEFENSE OTHER (ENGINEERING DEVELOPMENT),Second,9620
MODIFICATION P00001- ADMINISTRATIVE UPDATE TO INCORPORATE DUTY FREE LANGUAGE.,Second,9621
BHEV DESIGN,Second,9622
MODIFICATION P00003- IN SCOPE MODIFICATION,Second,9623
IGF::OT::IGF UPDATE THE SOW,Second,9624
AUTONOMOUS UNMANNED AERIAL SYSTEM (UAS) ELECTRONIC EMISSION CAPTURE AND 3D DATA VISUALIZATION FOR AN AIR FORCE BASE,Second,9625
PROTOTYPE MAPD SYSTEM,Second,9626
SEMANTIC FORENSICS FOR FALSIFIED SYNTHETIC MULTIMEDIA RESEARCH,Second,9627
IGF::OT:IGF BASIC AGREEMENT AWARD TO ONED MATERIAL FOR AOI HIGH SPECIFIC ENERGY,Second,9628
IGF::OT:IGF MODIFICATION P00001 DEOBLIGATES FUNDS UNDER MILESTONE 15.,Second,9629
PROTOTYPE MIDAZOLAM AUTOINJECTOR,Second,9630
ADDITIONAL DEVELOPMENT AND INCREMENTAL FUNDING,Second,9631
ADDITIONAL TESTING REQUIREMENTS,Second,9632
CORRECT TOTAL ON SF26 TO MATCH OTA AMOUNT. SBIR PHASE II SOCOM 21.1-D004,Second,9633
ADDITIONAL DEVELOPMENT COSTS FOR HUMAN FACTORS STUDY.,Second,9634
FUNDING ONLY. SBIR PHASE II SOCOM 21.1-D004,Second,9635
SBIR PHASE II SOCOM 21.1-D004 CHANGE THE INVOICE INSTRUCTIONS,Second,9636
IGF::OT::IGF INCREMENTALLY FUND MILESTONE 2,Second,9637
IGF::OT::IGF DE-OBLIGATE FUNDS FOR MILESTONES 5-8,Second,9638
MOSAIC SCATTERED WIDE-AREA RESILIENT NETWORKS (MSCWRN),Second,9639
"NOVEL ON-ORBIT HYPERSPECTRAL SENSOR FOR SPACECRAFT RENDEZVOUS AND
PROXIMITY OPERATIONS (RPO) AND INSPECTION",Second,9640
"""COUNTERMEASURES FOR VIRAL PATHOGENS.  THIS IS A TRANSFER FROM THE DEPARTMENT OF INTERIOR AGREEMENT NO.: D18AC00002 AMEND. 0010.  THAT DOCUMENT DOES NOT EXISTS IN FPDS-NG.",Second,9641
"PANDEMIC PREVENTION PLATFORM (P3), THIS IS THE FIRST EXECUTED DARPA MODIFICATION TO AN OT-P TRANSFERRED FROM THE DEPARTMENT OF THE INTERIOR.",Second,9642
PANDEMIC PREVENTION PLATFORM (P3),Second,9643
PROTOTYPE OPTICAL ARCHITECTURE SIMULATOR (OAS),Second,9644
OTA FOR PROTOTYPE - ENHANCED BALLISTIC SPECTACLE AND VISOR,Second,9645
IGF::OT::IGF SOLDIER ROBOTIC CONTROLLER AUTERION AWARD,Second,9646
PROTOTYPE OTA FOR THE DEVELOPMENT OF HEAD-BORNE PROTECTION.,Second,9647
SBIR PHASE II SOCOM 203-D009 INTEROPERABLE SIMULATION & GAMING MESH,Second,9648
SBIR PHASE II SOCOM 203-D009,Second,9649
"ROBOTIC AUTONOMY IN COMPLEX ENVIRONMENTS WITH
RESILIENCY SIMULATION (RACER SIM)",Second,9650
ADVANCED SIMULATION ENVIRONMENT FOR RACER (RACER-SIM),Second,9651
ELECTRIC POWER TAKE-OFF (EPTO),Second,9652
IGF::OT::IGF SOLDIER ROBOTIC CONTROLLER AWARD TO KUTTA,Second,9653
ANALYSIS ENVIRONMENT FOR EVALUATION EXERCISES/COLLABORATIVE CYBER ANALYSIS ENVIRONMENT (A3E).,Second,9654
"ANALYSIS ENVIRONMENT FOR EVALUATION EXERCISES/COLLABORATIVE CYBER ANALYSIS ENVIRONMENT (A3E), THE PURPOSE OF THIS MODIFICATION IS TO INCREASE THE VALUE OF MILESTONE 1.1.1 AND PROVIDE FUNDING.",Second,9655
ANALYSIS ENVIRONMENT FOR EVALUATION EXERCISES/COLLABORATIVE CYBER ANALYSIS ENVIRONMENT (A3E),Second,9656
ANALYSIS ENVIRONMENT FOR EVALUATION EXERCISES/COLLABORATIVE CYBER ANALYSIS ENVIRONMENT,Second,9657
"""COVID-19"" MAB THERAPEUTIC PROTOTYPE",Second,9658
"""CPVOD-19"" INCORPORATE HRPAS RATING",Second,9659
"""COVID-19"" CLIN 0004 AND 0008 REALIGNMENT",Second,9660
"""COVID-19"" COST DEFINITIZATION",Second,9661
COLD SPRAY FOR LARGE CALIBER WEAPON SYSTEMS,Second,9662
"""COVID-19"" COST REDUCTION AND REVISIONS TO ARTICLES 4 AND 6.",Second,9663
"""COVID-19"" CHANGE OTAO AND DOCUMENT P0004 WILL NOT BE EXECUTED.",Second,9664
"""COVID-19"" RESCIND HRPAS RATING.",Second,9665
MS 12 STORMCHASER-MOBILE UNITS,Second,9666
SBIR PHASE II SOCOM 20.3-D009 INTEROPERABLE SIMULATION & GAMING MESH,Second,9667
SBIR PHASE II SOCOM 20.3-D009 SBIR FUNDING ACTION,Second,9668
"ADVANCED SIMULATION ENVIRONMENT FOR RACER (RACER-SIM) 

EO14042",Second,9669
INTERNET OF THINGS IN ACTION,Second,9670
IGF::OT::IGF AWARD FOR AOI PRIVATE 5G TO NOKIA,Second,9671
PROTOTYPE HEAVY ADVANCE CARGO PARACHUTE RELEASE SYSTEM (HACPRS-2),Second,9672
HYPERSONICS CHALLENGE,Second,9673
"IGF::OT:::IGF AWARD OF DPA3 COVID-19 DIB FUNDED PROJECT IN SUPPORT OF DIU AOI CLEAN SWEEP WITH LEIDOS, INC.",Second,9674
"10 USC 2373 - ACEY DEFENSE EXPERIMENTATION USING COMMERCIAL SPACE INTERNET (DEUCSI)
OTHER TRANSACTION FOR EXPERIMENTATION (OTE)",Second,9675
10 USC 2373 - ACEY DEFENSE EXPERIMENTATION USING COMMERCIAL SPACE INTERNET (DEUCSI) OTHER TRANSACTION FOR EXPERIMENTATION (OTE),Second,9676
10 USC 2373 - ACEY DEFENSE EXPERIMENTATION USING COMMERCIAL SPACE INTERNET (DEUCSI),Second,9677
IGF::OT::IGF INCORPORATE SOW UPDATES AND UPDATE ASSOCCIATED MILESTONES,Second,9678
FUND CLINS 0001 AND 0002,Second,9679
10 USC 2373 ACEY DEFENSE EXPERIMENTATION USING COMMERCIAL SPACE INTERNET (DEUCSI),Second,9680
R&D - DEFENSE SYSTEMS:,Second,9681
"BLACKJACK TRACK B PHASES 2 & 3, THE GOAL OF THE BLACKJACK PROGRAM IS TO DEVELOP AND DEMONSTRATE THE CRITICAL TECHNICAL ELEMENTS FOR BUILDING A GLOBAL HIGH-SPEED NETWORK BACKBONE IN LOW EARTH ORBIT (LEO).",Second,9682
COVID-19 DIB SBIR PHASE IIB AF19.2 RESEARCH AND DEVELOPMENT OF A BIOMANUFACTURING APPROACH WHICH COMBINES HIGH OUTPUT MICROFLUIDIC EXTRUSION WITH ROBUST TEXTILE AND ADDITIVE MANUFACTURING TECHNOLOGIES TO PRODUCE COLLAGEN CONSTRUCTS.,Second,9683
COVID-19 DIB SBIR PHASE IIB AF19.2 RESEARCH AND DEVELOPMENT OF A BIOMANUFACTURING APPROACH WHICH COMBINES HIGH OUTPUT MICROFLUIDIC EXTRUSION WITH ROBUST TEXTILE AND ADDITIVE MANUFACTURING,Second,9684
PROTOTYPE REDESIGN FOR MULTIPLE THREAT EMITTER SYSTEMS.,Second,9685
PROTOTYPE AV ARK SYSTEMS,Second,9686
"IGF;;OT;;IGF
FOLLOW-ON PRODUCTION - OTHER TRANSACTION AGREEMENT (P-OTA) FOR END POINT MANAGEMENT SOLUTION.",Second,9687
IGF::OT::IGF BASE AWARD FOR PRIVATE 5G TO SOMEWEAR LABS,Second,9688
EXPERIMENTAL M829A4 CARTRIDGES. AWARDED IN ACCORDANCE WITH 10USC 2373,Second,9689
ARMY ENTERPRISE IT AS A SERVICE BASE OTA AWARD. AT&T.,Second,9690
IGF::OT::IGF  THIS IS THE BASE ARMY ENTERPRISE IT AS A SERVICE OTA AWARD WITH MICROSOFT.,Second,9691
IGF::OT::IGF  THIS IS THE BASE AWARD FOR THE ARMY ENTERPRISE IT AS A SERVICE OTA WITH VERIZON.,Second,9692
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND PHASE 2 MILESTONES.,Second,9693
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDING AND RE-ARRANGE PHASE 2 MILESTONE PAYMENTS TO FACILITATE MORE EFFICIENT PERFORMANCE.,Second,9694
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND PHASE 2, AND ADJUST DUE DATES FOR CERTAIN MILESTONES.",Second,9695
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDING FOR MILESTONE 4.,Second,9696
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDING FOR MILESTONE 4B.,Second,9697
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDING FOR MILESTONE 5.,Second,9698
IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDING FOR MILESTONE 5 AND TO UPDATE THE MILESTONE PAYMENT TABLE.,Second,9699
"IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE MILESTONE PAYMENT SCHEDULE AND TO FUND MILESTONE 5B IN THE AMOUNT OF $2,466,810.20 AND MILESTONE 6B IN THE AMOUNT OF $1,578,825.89.",Second,9700
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE AOR AND TO REVISE THE DEFINITIONS AND THE DELIVERY DATES ON CLINS 1002AA - 1002AD.,Second,9701
SPECIAL STUDIES/ANALYSIS- OTHER,Second,9702
IGF::OT::IGF THE PURPOSE OF THIS MODIFICATION IS TO EXTEND PHASE 2 FOR TWO MONTHS AND ADD AN ADDITIONAL FOUR MILESTONES; MILESTONE 6 THROUGH MILESTONE 9.,Second,9703
"IGF::OT::IGF   THE PURPOSE OF THE PROPOSED MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE OF PHASE II, PLAN AND PREPARE, FOR TWO MONTHS.",Second,9704
"IGF::OT::IGF  THE PURPOSE OF THIS MODIFICATION IS TO EXTEND PHASE 2 FOR TWO MONTHS AND ADD FIVE MILESTONES, MSS 8 THROUGH 12.",Second,9705
